Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.88,-20080.0,512.0
70.0,-3.88,-20082.0,513.0
70.0,-3.88,-20086.0,513.0
70.0,-3.88,-20088.0,513.0
70.0,-3.88,-20091.0,513.0
70.0,-3.88,-20092.0,512.0
70.0,-3.88,-20095.0,512.0
70.0,-3.88,-20097.0,512.0
70.0,-3.88,-20100.0,512.0
70.0,-3.88,-20103.0,512.0
70.0,-3.88,-20105.0,513.0
70.0,-3.88,-20107.0,512.0
70.0,-3.88,-20110.0,512.0
70.0,-3.88,-20112.0,512.0
70.0,-3.88,-20115.0,512.0
70.0,-3.88,-20116.0,512.0
70.0,-3.88,-20119.0,513.0
70.0,-3.88,-20121.0,513.0
70.0,-3.88,-20123.0,513.0
70.0,-3.88,-20124.0,512.0
70.0,-3.88,-20127.0,513.0
70.0,-3.88,-20128.0,513.0
70.0,-3.88,-20129.0,512.0
70.0,-3.88,-20130.0,513.0
70.0,-3.88,-20131.0,512.0
70.0,-3.88,-20133.0,513.0
70.0,-3.88,-20134.0,513.0
70.0,-3.88,-20134.0,512.0
70.0,-3.88,-20136.0,512.0
70.0,-3.88,-20136.0,512.0
70.0,-3.88,-20138.0,512.0
70.0,-3.88,-20139.0,513.0
70.0,-3.88,-20140.0,512.0
70.0,-3.88,-20141.0,512.0
70.0,-3.88,-20142.0,513.0
70.0,-3.88,-20143.0,513.0
70.0,-3.88,-20145.0,512.0
70.0,-3.88,-20145.0,513.0
70.0,-3.88,-20147.0,513.0
70.0,-3.88,-20148.0,513.0
70.0,-3.88,-20148.0,512.0
70.0,-3.88,-20149.0,512.0
70.0,-3.88,-20150.0,512.0
70.0,-3.88,-20151.0,513.0
70.0,-3.88,-20152.0,512.0
70.0,-3.88,-20153.0,512.0
70.0,-3.88,-20153.0,512.0
60.0,-3.88,-20163.0,513.0
60.0,-3.88,-20164.0,512.0
60.0,-3.88,-20165.0,512.0
60.0,-3.88,-20166.0,512.0
60.0,-3.88,-20166.0,512.0
60.0,-3.88,-20166.0,512.0
60.0,-3.88,-20167.0,512.0
60.0,-3.88,-20168.0,513.0
60.0,-3.88,-20168.0,513.0
60.0,-3.88,-20169.0,513.0
60.0,-3.88,-20170.0,512.0
60.0,-3.88,-20170.0,512.0
60.0,-3.88,-20171.0,512.0
60.0,-3.88,-20172.0,513.0
60.0,-3.88,-20172.0,512.0
60.0,-3.88,-20172.0,512.0
60.0,-3.88,-20172.0,513.0
60.0,-3.88,-20174.0,512.0
60.0,-3.88,-20173.0,512.0
60.0,-3.88,-20174.0,512.0
60.0,-3.88,-20176.0,513.0
60.0,-3.88,-20176.0,512.0
60.0,-3.88,-20176.0,512.0
60.0,-3.88,-20177.0,513.0
60.0,-3.88,-20177.0,513.0
60.0,-3.88,-20177.0,512.0
60.0,-3.88,-20178.0,513.0
60.0,-3.88,-20178.0,512.0
60.0,-3.88,-20180.0,513.0
60.0,-3.88,-20183.0,512.0
60.0,-3.88,-20184.0,512.0
60.0,-3.88,-20184.0,512.0
60.0,-3.88,-20185.0,512.0
60.0,-3.88,-20187.0,512.0
60.0,-3.88,-20186.0,513.0
60.0,-3.88,-20186.0,513.0
60.0,-3.88,-20187.0,512.0
60.0,-3.88,-20188.0,512.0
60.0,-3.88,-20188.0,513.0
60.0,-3.88,-20189.0,512.0
60.0,-3.88,-20188.0,512.0
60.0,-3.88,-20190.0,512.0
60.0,-3.88,-20191.0,513.0
60.0,-3.88,-20191.0,513.0
60.0,-3.88,-20192.0,513.0
60.0,-3.88,-20192.0,512.0
60.0,-3.88,-20193.0,513.0
60.0,-3.88,-20192.0,512.0
60.0,-3.88,-20193.0,512.0
60.0,-3.88,-20194.0,512.0
50.0,-3.88,-20199.0,512.0
50.0,-3.88,-20200.0,513.0
50.0,-3.88,-20200.0,512.0
50.0,-3.88,-20201.0,512.0
50.0,-3.88,-20201.0,512.0
50.0,-3.88,-20200.0,512.0
50.0,-3.88,-20200.0,513.0
50.0,-3.88,-20201.0,513.0
50.0,-3.88,-20202.0,513.0
50.0,-3.88,-20201.0,513.0
50.0,-3.88,-20202.0,513.0
50.0,-3.88,-20202.0,513.0
50.0,-3.88,-20202.0,513.0
50.0,-3.88,-20203.0,513.0
50.0,-3.88,-20202.0,513.0
50.0,-3.88,-20203.0,512.0
50.0,-3.88,-20203.0,512.0
50.0,-3.88,-20204.0,513.0
50.0,-3.88,-20204.0,512.0
50.0,-3.88,-20204.0,512.0
50.0,-3.88,-20204.0,512.0
50.0,-3.88,-20204.0,512.0
50.0,-3.88,-20205.0,512.0
50.0,-3.88,-20205.0,513.0
50.0,-3.88,-20205.0,513.0
50.0,-3.88,-20206.0,512.0
50.0,-3.88,-20204.0,513.0
