Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.13,-30652.0,515.0
70.0,-3.31,-30648.0,515.0
70.0,-3.38,-30659.0,515.0
70.0,-3.5,-30663.0,515.0
70.0,-3.56,-30672.0,515.0
70.0,-3.63,-30663.0,515.0
70.0,-3.63,-30667.0,515.0
70.0,-3.69,-30673.0,515.0
70.0,-3.75,-30666.0,515.0
70.0,-3.75,-30665.0,515.0
70.0,-3.75,-30667.0,515.0
70.0,-3.75,-30660.0,515.0
70.0,-3.75,-30666.0,515.0
70.0,-3.75,-30668.0,515.0
70.0,-3.75,-30666.0,515.0
70.0,-3.75,-30668.0,515.0
70.0,-3.75,-30667.0,515.0
70.0,-3.75,-30663.0,515.0
70.0,-3.75,-30662.0,515.0
70.0,-3.75,-30656.0,515.0
70.0,-3.75,-30670.0,515.0
70.0,-3.75,-30676.0,515.0
70.0,-3.75,-30670.0,515.0
70.0,-3.75,-30667.0,515.0
70.0,-3.75,-30666.0,515.0
70.0,-3.75,-30665.0,515.0
70.0,-3.75,-30664.0,515.0
70.0,-3.75,-30662.0,515.0
70.0,-3.75,-30665.0,515.0
70.0,-3.75,-30672.0,515.0
70.0,-3.75,-30673.0,514.0
70.0,-3.75,-30668.0,515.0
70.0,-3.75,-30662.0,515.0
70.0,-3.75,-30661.0,515.0
70.0,-3.75,-30665.0,515.0
70.0,-3.75,-30657.0,515.0
70.0,-3.75,-30662.0,515.0
70.0,-3.75,-30660.0,515.0
70.0,-3.75,-30657.0,515.0
70.0,-3.75,-30657.0,515.0
70.0,-3.75,-30658.0,515.0
70.0,-3.75,-30662.0,515.0
70.0,-3.75,-30660.0,515.0
70.0,-3.75,-30655.0,515.0
70.0,-3.75,-30658.0,515.0
70.0,-3.75,-30655.0,515.0
70.0,-3.75,-30655.0,515.0
60.0,-16.06,-29620.0,478.0
60.0,-16.06,-29623.0,478.0
60.0,-16.06,-29625.0,477.0
60.0,-16.06,-29629.0,478.0
60.0,-16.06,-29633.0,478.0
60.0,-16.06,-29632.0,478.0
60.0,-16.06,-29649.0,480.0
60.0,-15.63,-29724.0,478.0
60.0,-16.06,-29661.0,478.0
60.0,-16.06,-29663.0,477.0
60.0,-16.06,-29663.0,477.0
60.0,-16.06,-29672.0,477.0
60.0,-16.06,-29669.0,477.0
60.0,-16.06,-29670.0,477.0
60.0,-16.06,-29676.0,478.0
60.0,-16.06,-29687.0,478.0
60.0,-16.06,-29674.0,477.0
60.0,-16.06,-29666.0,477.0
60.0,-16.06,-29678.0,477.0
60.0,-16.06,-29678.0,477.0
60.0,-16.06,-29689.0,478.0
60.0,-16.06,-29689.0,478.0
60.0,-16.06,-29698.0,478.0
60.0,-16.06,-29694.0,477.0
60.0,-16.06,-29692.0,477.0
60.0,-16.06,-29689.0,477.0
60.0,-16.06,-29686.0,477.0
60.0,-16.06,-29691.0,477.0
60.0,-16.06,-29693.0,478.0
60.0,-16.06,-29694.0,477.0
60.0,-16.06,-29687.0,477.0
60.0,-16.06,-29698.0,478.0
60.0,-16.06,-29700.0,478.0
60.0,-16.06,-29697.0,477.0
60.0,-16.06,-29700.0,477.0
60.0,-16.06,-29693.0,478.0
60.0,-16.06,-29699.0,478.0
60.0,-16.06,-29698.0,477.0
60.0,-16.06,-29700.0,478.0
60.0,-16.06,-29705.0,478.0
60.0,-16.06,-29706.0,478.0
60.0,-16.06,-29705.0,478.0
60.0,-16.06,-29703.0,477.0
60.0,-16.06,-29700.0,477.0
60.0,-16.06,-29715.0,478.0
60.0,-16.06,-29707.0,478.0
60.0,-16.06,-29702.0,478.0
60.0,-16.06,-29702.0,478.0
60.0,-16.06,-29705.0,477.0
60.0,-16.06,-29713.0,477.0
50.0,-30.37,-27704.0,434.0
50.0,-30.37,-27719.0,433.0
50.0,-30.37,-27726.0,433.0
50.0,-30.37,-27735.0,434.0
50.0,-30.37,-27741.0,434.0
50.0,-30.37,-27746.0,433.0
50.0,-30.37,-27747.0,434.0
50.0,-30.37,-27753.0,433.0
50.0,-30.37,-27758.0,433.0
50.0,-30.37,-27758.0,433.0
50.0,-30.37,-27767.0,433.0
50.0,-30.37,-27779.0,433.0
50.0,-30.37,-27786.0,434.0
50.0,-30.37,-27788.0,433.0
50.0,-30.37,-27794.0,433.0
50.0,-30.37,-27789.0,434.0
50.0,-30.37,-27803.0,434.0
50.0,-30.37,-27803.0,433.0
50.0,-30.37,-27804.0,434.0
50.0,-30.37,-27806.0,433.0
50.0,-30.31,-27823.0,433.0
50.0,-30.31,-27821.0,433.0
50.0,-30.31,-27829.0,434.0
50.0,-30.31,-27834.0,433.0
50.0,-30.31,-27828.0,434.0
50.0,-30.31,-27834.0,434.0
50.0,-30.31,-27835.0,434.0
