Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
70.0,-3.56,-8174.0,512.0
70.0,-3.69,-8179.0,512.0
70.0,-3.75,-8175.0,512.0
70.0,-3.81,-8180.0,513.0
70.0,-3.88,-8181.0,513.0
70.0,-3.94,-8182.0,512.0
70.0,-4.0,-8183.0,512.0
70.0,-4.0,-8181.0,512.0
70.0,-4.0,-8183.0,513.0
70.0,-4.0,-8184.0,513.0
70.0,-4.0,-8184.0,513.0
70.0,-4.0,-8184.0,513.0
70.0,-4.0,-8186.0,512.0
70.0,-4.0,-8186.0,512.0
70.0,-4.0,-8184.0,512.0
70.0,-4.0,-8191.0,512.0
70.0,-4.0,-8190.0,512.0
70.0,-4.0,-8188.0,513.0
70.0,-4.0,-8184.0,512.0
70.0,-4.0,-8186.0,513.0
70.0,-4.0,-8187.0,513.0
70.0,-4.0,-8191.0,512.0
70.0,-4.0,-8189.0,513.0
70.0,-4.0,-8190.0,512.0
70.0,-4.0,-8182.0,513.0
70.0,-4.0,-8189.0,512.0
70.0,-4.0,-8189.0,513.0
70.0,-4.0,-8191.0,512.0
70.0,-4.0,-8190.0,513.0
70.0,-4.0,-8185.0,513.0
70.0,-4.0,-8190.0,512.0
70.0,-4.0,-8190.0,512.0
70.0,-4.0,-8193.0,513.0
70.0,-4.0,-8195.0,512.0
70.0,-4.0,-8183.0,513.0
70.0,-4.0,-8187.0,512.0
70.0,-4.0,-8194.0,511.0
70.0,-4.0,-8189.0,512.0
70.0,-4.0,-8185.0,512.0
70.0,-4.0,-8194.0,512.0
70.0,-4.0,-8189.0,513.0
70.0,-4.0,-8191.0,513.0
70.0,-4.0,-8193.0,513.0
70.0,-4.0,-8194.0,512.0
70.0,-4.0,-8192.0,513.0
70.0,-4.0,-8192.0,512.0
70.0,-4.0,-8191.0,513.0
60.0,-16.5,-7565.0,475.0
60.0,-16.5,-7560.0,475.0
60.0,-16.5,-7564.0,475.0
60.0,-16.5,-7566.0,475.0
60.0,-16.5,-7567.0,475.0
60.0,-16.5,-7564.0,475.0
60.0,-16.5,-7564.0,474.0
60.0,-16.5,-7570.0,475.0
60.0,-16.5,-7570.0,474.0
60.0,-16.5,-7566.0,474.0
60.0,-16.5,-7566.0,475.0
60.0,-16.5,-7564.0,475.0
60.0,-16.5,-7567.0,475.0
60.0,-16.5,-7570.0,475.0
60.0,-16.5,-7569.0,475.0
60.0,-16.5,-7566.0,474.0
60.0,-16.5,-7569.0,475.0
60.0,-16.5,-7567.0,475.0
60.0,-16.5,-7568.0,475.0
60.0,-16.5,-7568.0,475.0
60.0,-16.5,-7571.0,475.0
60.0,-16.5,-7571.0,475.0
60.0,-16.5,-7569.0,474.0
60.0,-16.5,-7574.0,474.0
60.0,-16.5,-7572.0,475.0
60.0,-16.5,-7574.0,474.0
60.0,-16.5,-7563.0,474.0
60.0,-16.5,-7571.0,475.0
60.0,-16.5,-7575.0,474.0
60.0,-16.5,-7574.0,475.0
60.0,-16.5,-7571.0,474.0
60.0,-16.5,-7573.0,474.0
60.0,-16.5,-7576.0,474.0
60.0,-16.5,-7572.0,475.0
60.0,-16.5,-7573.0,475.0
60.0,-16.5,-7573.0,475.0
60.0,-16.5,-7570.0,475.0
60.0,-16.5,-7572.0,475.0
60.0,-16.5,-7573.0,474.0
60.0,-16.5,-7573.0,474.0
60.0,-16.5,-7572.0,475.0
60.0,-16.5,-7572.0,474.0
60.0,-16.5,-7573.0,475.0
60.0,-16.5,-7575.0,475.0
60.0,-16.5,-7569.0,475.0
60.0,-16.5,-7570.0,475.0
60.0,-16.5,-7574.0,474.0
60.0,-16.5,-7571.0,475.0
60.0,-16.5,-7574.0,474.0
60.0,-16.5,-7576.0,475.0
50.0,-30.81,-6521.0,431.0
50.0,-30.81,-6519.0,431.0
50.0,-30.81,-6519.0,431.0
50.0,-30.81,-6519.0,431.0
50.0,-30.81,-6520.0,430.0
50.0,-30.81,-6523.0,431.0
50.0,-30.81,-6521.0,431.0
50.0,-30.81,-6524.0,431.0
50.0,-30.81,-6522.0,431.0
50.0,-30.81,-6523.0,431.0
50.0,-30.81,-6528.0,431.0
50.0,-30.81,-6526.0,431.0
50.0,-30.81,-6526.0,431.0
50.0,-30.81,-6525.0,431.0
50.0,-30.81,-6518.0,431.0
50.0,-30.81,-6523.0,431.0
50.0,-30.81,-6522.0,432.0
50.0,-30.81,-6528.0,431.0
50.0,-30.81,-6521.0,431.0
50.0,-30.81,-6524.0,431.0
50.0,-30.81,-6527.0,431.0
50.0,-30.81,-6524.0,431.0
50.0,-30.81,-6525.0,431.0
50.0,-30.81,-6528.0,431.0
50.0,-30.81,-6526.0,431.0
50.0,-30.81,-6528.0,430.0
50.0,-30.81,-6533.0,432.0
