scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
0,-10.937211,-2.1451876,19.506214,-9.58209,-2.2796648,20.267014,-8.876298,-2.4291558,21.434053,-7.777884,-2.7821877,23.740297
1,-10.932363,-2.1451323,19.501251,-9.570433,-2.2827377,20.260923,-8.866408,-2.4331894,21.425476,-7.772229,-2.7830653,23.738155
2,-10.918321,-2.1460104,19.48968,-9.558085,-2.2831933,20.244724,-8.851272,-2.436437,21.40435,-7.760965,-2.7833629,23.715097
3,-10.906796,-2.1436546,19.492188,-9.558896,-2.2819266,20.24723,-8.851558,-2.4359534,21.405378,-7.760965,-2.7833629,23.715097
4,-10.870786,-2.127264,19.43665,-9.559618,-2.280797,20.249468,-8.853353,-2.4329238,21.411814,-7.761761,-2.7818327,23.71883
5,-10.819139,-2.1055706,19.375017,-9.5627,-2.276092,20.245094,-8.85631,-2.4260635,21.402063,-7.759681,-2.7784853,23.706408
6,-10.731356,-2.0835316,19.313753,-9.56333,-2.2719135,20.224617,-8.861438,-2.421747,21.389975,-7.763306,-2.7736714,23.702059
7,-10.626171,-2.0531275,19.266056,-9.566732,-2.2698069,20.22309,-8.866727,-2.4187465,21.391785,-7.7683554,-2.7686203,23.700125
8,-10.493332,-2.0440109,19.17481,-9.569399,-2.264839,20.2149,-8.873516,-2.4170282,21.387407,-7.7702,-2.7662435,23.692686
9,-10.381088,-2.0206559,19.146137,-9.569399,-2.264839,20.2149,-8.874388,-2.4191067,21.383827,-7.772388,-2.766282,23.693472
10,-10.252888,-2.0029964,19.10231,-9.56936,-2.2628973,20.218266,-8.876687,-2.4196174,21.38377,-7.775265,-2.7674665,23.69016
11,-10.101756,-1.9906085,19.07955,-9.57612,-2.2631497,20.237877,-8.877153,-2.4201608,21.383102,-7.7784295,-2.7666743,23.693619
12,-9.985345,-1.978846,19.080067,,,,-8.877082,-2.420509,21.38252,-7.778406,-2.7668376,23.693274
13,-9.863827,-1.9620835,19.08944,,,,-8.878174,-2.421506,21.386412,-7.7759423,-2.768709,23.688728
14,-9.720168,-1.9585221,19.080976,,,,-8.87785,-2.4226756,21.38922,-7.776489,-2.770685,23.689932
15,-9.617693,-1.9480387,19.109182,,,,-8.877345,-2.423208,21.389229,-7.7761836,-2.7714877,23.688042
16,,,,,,,-8.876202,-2.4235537,21.388378,-7.7750583,-2.7723348,23.685984
17,-9.357171,-1.952829,19.080912,,,,-8.877471,-2.422972,21.390148,-7.7743163,-2.772503,23.684782
18,,,,,,,,,,-7.773283,-2.7728646,23.68382
19,-9.152327,-1.9490317,19.116882,,,,-8.874387,-2.4229107,21.388544,-7.773028,-2.7725594,23.68456
20,,,,,,,-8.872187,-2.4221394,21.38928,-7.7720385,-2.7727084,23.685015
21,,,,,,,-8.870668,-2.423091,21.38914,-7.771881,-2.7718532,23.687094
22,,,,,,,-8.871209,-2.4233286,21.39125,-7.772526,-2.7716432,23.688139
23,,,,,,,-8.871209,-2.4233286,21.39125,,,
24,,,,,,,-8.871534,-2.4232235,21.391474,,,
25,,,,,,,-8.874793,-2.4213462,21.383766,,,
26,,,,,,,-8.880781,-2.4231946,21.37789,,,
27,,,,,,,-8.894868,-2.426511,21.364656,,,
28,,,,,,,-8.894011,-2.4279485,21.36161,,,
29,,,,,,,-8.894011,-2.4279485,21.36161,,,
30,,,,,,,-8.894636,-2.4283378,21.364378,,,
31,,,,,,,-8.890272,-2.4291341,21.362944,,,
32,,,,,,,-8.885413,-2.4323788,21.366352,-7.7834053,-2.7831945,23.667997
33,,,,,,,-8.88508,-2.4323401,21.370764,-7.781747,-2.7833304,23.667349
34,,,,,,,-8.882564,-2.4336526,21.373823,-7.7815766,-2.7829943,23.666792
35,,,,,,,-8.882709,-2.4339526,21.375706,-7.781732,-2.781675,23.67
36,-9.631756,-1.9587942,19.099073,,,,-8.88288,-2.4340112,21.376223,-7.781732,-2.781675,23.67
37,-9.795626,-1.9710844,19.061989,,,,-8.884087,-2.434171,21.378395,-7.783608,-2.7807107,23.672377
38,-9.9674635,-1.9877862,19.05936,,,,-8.884916,-2.4361837,21.377556,-7.7858505,-2.7805378,23.67774
39,-10.1200075,-2.0092366,19.04891,-9.592244,-2.2756994,20.228678,-8.885501,-2.4365299,21.377554,-7.7870483,-2.7808383,23.681543
40,-10.287449,-2.0283482,19.094063,-9.592909,-2.2762775,20.231432,-8.886016,-2.436821,21.379065,-7.787815,-2.781181,23.684473
41,-10.437014,-2.0542643,19.126644,-9.590651,-2.2829714,20.21894,-8.885588,-2.4375257,21.382048,-7.786312,-2.7815266,23.68404
42,-10.600887,-2.0664818,19.219069,-9.591202,-2.2827506,20.219378,-8.885437,-2.4375558,21.383808,-7.787219,-2.780245,23.690273
43,-10.762573,-2.0960307,19.30683,-9.592312,-2.2834613,20.2233,-8.885634,-2.4382854,21.386969,-7.7866626,-2.7802136,23.690609
44,-10.858047,-2.123544,19.385902,-9.592176,-2.2827787,20.225416,-8.884247,-2.438356,21.388775,-7.7842307,-2.7810302,23.689617
45,-10.942819,-2.1590874,19.481674,-9.589353,-2.2805085,20.232344,-8.880203,-2.4396548,21.389305,-7.7811503,-2.783078,23.696205
46,-11.009304,-2.186043,19.573093,-9.580551,-2.282085,20.236143,-8.87181,-2.4421668,21.394688,-7.776519,-2.7852132,23.701843
47,-11.0746975,-2.2141864,19.667639,-9.572354,-2.285908,20.243637,-8.862686,-2.4431841,21.40159,-7.769036,-2.7875435,23.69898
48,,,,-9.569937,-2.2843378,20.245874,-8.862486,-2.4407737,21.406044,-7.7679787,-2.7879574,23.699957
49,,,,-9.569723,-2.2836537,20.247307,-8.863018,-2.4387958,21.410246,-7.768179,-2.7881007,23.701303
50,,,,-9.569904,-2.2835681,20.250078,-8.860583,-2.4391253,21.409176,-7.7671967,-2.7872927,23.701471
