timestamp,euler1,euler2
180509217819,"(0.99945068359375, 0.0323486328125, -0.00164794921875, -0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
180509230854,"(0.99945068359375, 0.03228759765625, -0.00164794921875, -0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
180509243297,"(0.99945068359375, 0.03228759765625, -0.00946044921875, -0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
180509255183,"(0.99945068359375, 0.03228759765625, -0.00164794921875, -0.00030517578125)","(0.0, 0.0, 0.0, 0.0)"
180509266646,"(0.99945068359375, 0.03228759765625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509276700,"(0.99945068359375, 0.03228759765625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509286720,"(0.99945068359375, 0.03228759765625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509296171,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509305793,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509315893,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
180509325631,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(0.76934814453125, 0.63861083984375, 0.0189208984375, 0.0)"
180509335684,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(0.76934814453125, 0.63861083984375, 0.0189208984375, 0.0)"
180509345613,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(0.76934814453125, 0.63861083984375, 0.0189208984375, 0.0)"
180509355956,"(0.99945068359375, 0.0322265625, -0.00164794921875, -0.00030517578125)","(0.76934814453125, 0.63861083984375, 0.0189208984375, 0.0)"
180509365807,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.00030517578125)","(0.77716064453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509376234,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.00030517578125)","(0.76934814453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509385431,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.000244140625)","(0.76934814453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509395225,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.000244140625)","(0.76934814453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509405698,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.00030517578125)","(0.76934814453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509415515,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.00030517578125)","(0.76934814453125, 0.6385498046875, 0.0189208984375, 0.0)"
180509425598,"(0.99945068359375, 0.0322265625, -0.0015869140625, -0.00030517578125)","(0.76934814453125, 0.63848876953125, 0.0189208984375, 0.0)"
180509435691,"(0.99951171875, 0.03216552734375, -0.0015869140625, -0.00030517578125)","(0.76934814453125, 0.63848876953125, 0.0189208984375, 0.0)"
180509445930,"(0.99951171875, 0.03216552734375, -0.0015869140625, -0.000244140625)","(0.76934814453125, 0.63848876953125, 0.0189208984375, 0.0)"
180509455921,"(0.99951171875, 0.03216552734375, -0.0015869140625, -0.000244140625)","(0.7694091796875, 0.63848876953125, 0.0189208984375, 0.0)"
180509466027,"(0.99951171875, 0.03216552734375, -0.0015869140625, -0.000244140625)","(0.7694091796875, 0.63848876953125, 0.01885986328125, 0.0)"
180509475588,"(0.99951171875, 0.03216552734375, -0.0015869140625, -0.000244140625)","(0.7694091796875, 0.63848876953125, 0.01885986328125, 0.0)"
