scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-1.4388068,-3.2985358,42.70832,4.3375993,-1.7302071,26.826557,5.210904,-1.4709687,24.186527,7.548749,-1.5609933,16.967735,8.591195,-1.403142,13.750254
1,-1.442745,-3.3050733,42.71252,4.3335094,-1.7301201,26.83653,5.2058854,-1.4725397,24.198097,7.5457287,-1.562476,16.97103,8.578577,-1.4077644,13.746964
2,-1.4176506,-3.3158054,42.6706,4.349908,-1.7272025,26.803577,5.220656,-1.4689926,24.160551,7.5515895,-1.5586637,16.946867,8.584173,-1.4052303,13.732217
3,-1.4243209,-3.3124366,42.681538,4.348811,-1.7291156,26.802416,5.221548,-1.4708517,24.15801,7.5517945,-1.5597631,16.94567,8.590002,-1.4013004,13.726608
4,-1.4167078,-3.300321,42.67035,4.351246,-1.7336419,26.799871,5.2217484,-1.4691666,24.155643,7.552746,-1.5591009,16.943422,8.590423,-1.4004945,13.725775
5,-1.4167244,-3.3009348,42.675507,4.351575,-1.7358354,26.799664,5.223321,-1.47046,24.154234,7.5532875,-1.5597917,16.942158,8.5900755,-1.4015527,13.725237
6,-1.4258785,-3.2929702,42.692986,4.34788,-1.7256407,26.802372,5.2195487,-1.4664717,24.158228,7.5515165,-1.5581924,16.943975,8.589037,-1.401005,13.7251835
7,-1.4207795,-3.3076217,42.710068,4.3554835,-1.7334362,26.796316,5.2257633,-1.4725882,24.154922,7.5564427,-1.5597857,16.942568,8.585967,-1.4060005,13.728123
8,-1.476556,-3.2783513,42.818607,4.3362045,-1.724162,26.825909,5.212252,-1.4676895,24.17897,7.5474,-1.5603724,16.955305,8.577993,-1.4076543,13.732759
9,-1.4941392,-3.2560284,42.872513,4.3307056,-1.7315892,26.840744,5.210619,-1.4721402,24.18538,7.5417767,-1.5614703,16.957207,8.580205,-1.4133222,13.737905
10,-1.5630609,-3.160711,43.103214,4.3256106,-1.7286574,26.847292,5.2024026,-1.462446,24.185793,7.53503,-1.5617337,16.960464,8.574078,-1.4126588,13.737296
11,-1.7425442,-2.9657278,43.567913,4.313279,-1.7317683,26.855606,5.2052917,-1.4633911,24.18423,7.535245,-1.5606185,16.958157,8.573148,-1.4112663,13.735679
12,-1.8992265,-2.5635722,44.255325,4.3031116,-1.7360779,26.876568,5.208042,-1.4629197,24.170881,7.5398993,-1.5598329,16.95246,8.577807,-1.4119984,13.735302
13,-1.9337269,-2.0182762,44.68746,4.2954516,-1.7441198,26.892553,5.207222,-1.4635084,24.172892,7.537399,-1.5604069,16.953056,8.572191,-1.411267,13.729848
14,-1.6748573,-1.3386079,44.424614,4.2870736,-1.737463,26.901333,5.2030697,-1.4598902,24.17207,7.5359364,-1.5568268,16.951431,8.568628,-1.4060414,13.72285
15,-1.1205525,-0.71243757,43.1959,4.294303,-1.7359546,26.861141,5.2120743,-1.459664,24.159996,7.5385695,-1.5555793,16.942867,8.566352,-1.4072042,13.724827
16,-0.47749943,-0.24813254,41.642517,4.301067,-1.7299491,26.827234,5.216593,-1.4544635,24.1239,7.540276,-1.5495739,16.932554,8.5666485,-1.4028642,13.718525
17,0.21798584,0.04369179,39.848606,4.3359275,-1.7311212,26.73374,5.2463737,-1.4586064,24.04169,7.5607967,-1.5480458,16.890661,8.574755,-1.3995303,13.694527
18,0.70794314,0.17191787,38.513977,4.3942018,-1.7197967,26.547869,5.3002777,-1.4581145,23.892336,7.5853624,-1.5457894,16.811314,8.597488,-1.385201,13.654432
19,0.90003175,0.16287619,38.008423,4.4946523,-1.7301425,26.257614,5.387562,-1.4571626,23.623266,7.6356845,-1.5351062,16.652925,8.623633,-1.3722954,13.561015
20,0.8047242,0.08482181,38.243347,4.550742,-1.7351359,26.058113,5.4333963,-1.4509513,23.472233,7.6595397,-1.5259248,16.576567,8.636922,-1.3734385,13.508598
21,0.3200162,-0.093103684,39.46089,4.511962,-1.7333516,26.188442,5.402787,-1.456633,23.575304,7.641735,-1.5337017,16.635002,8.623388,-1.3746579,13.554923
22,-0.3142139,-0.3700782,41.175694,4.4359045,-1.7352608,26.401676,5.339807,-1.4546713,23.766203,7.6093473,-1.5386604,16.729353,8.62377,-1.3810017,13.605045
23,-1.0660231,-0.84382623,43.022972,4.3709245,-1.7313784,26.64212,5.2890677,-1.4579079,23.928482,7.583616,-1.5494406,16.8209,8.601511,-1.3973812,13.646173
24,-1.6904193,-1.5427762,44.327103,4.322307,-1.7225591,26.821865,5.2346134,-1.4519783,24.086145,7.5569825,-1.5511663,16.912006,8.572194,-1.4075415,13.69112
25,-1.9255719,-2.3069549,44.47782,4.3157864,-1.737759,26.847544,5.221323,-1.4540089,24.129345,7.5430317,-1.552874,16.928461,8.56607,-1.4109368,13.703325
26,-1.6516639,-2.977585,43.350563,4.3296313,-1.72078,26.799007,5.215164,-1.4531686,24.14031,7.539736,-1.5576913,16.928106,8.56414,-1.4110533,13.70236
27,-1.2835011,-3.4160354,42.262547,4.3373284,-1.7233733,26.792582,5.210009,-1.4547606,24.156809,7.5390515,-1.5625591,16.935217,8.565612,-1.4156538,13.701688
28,-1.1626513,-3.5171502,41.831963,4.350608,-1.717684,26.764961,5.2166224,-1.4521062,24.138357,7.5408683,-1.5517296,16.930014,8.561733,-1.4096365,13.70246
29,-1.2319341,-3.3443716,42.18777,4.3887424,-1.7113504,26.680452,5.2554197,-1.4617358,24.031376,7.564033,-1.5559974,16.857922,8.584298,-1.4028857,13.646954
30,-1.5474833,-2.9333425,43.13038,4.3795133,-1.7119484,26.69416,5.250757,-1.4561254,24.023615,7.5569243,-1.5497092,16.848173,8.575739,-1.4012448,13.639629
31,-1.8314626,-2.31916,44.159496,4.3420553,-1.7344733,26.75429,5.2427287,-1.4615004,24.04719,7.548713,-1.5608779,16.85188,8.565947,-1.4197307,13.638057
32,-1.6742734,-1.5388547,44.23046,4.324225,-1.7336112,26.766903,5.2334185,-1.4559584,24.059929,7.536973,-1.5557599,16.860111,8.55016,-1.4215139,13.644417
33,-1.1305219,-0.80573773,43.201557,4.3269777,-1.7283772,26.754808,5.2344365,-1.4518744,24.05202,7.545156,-1.5504986,16.859577,8.560347,-1.4099834,13.650721
34,-0.48286104,-0.32385993,41.630398,4.338826,-1.7244276,26.702703,5.258047,-1.4512082,24.017408,7.5612564,-1.5443952,16.848616,8.567239,-1.4026499,13.650284
35,0.13646378,0.015277516,40.10038,4.3426576,-1.7167912,26.709723,5.2573237,-1.4499449,24.010878,7.559844,-1.5444274,16.849384,8.569724,-1.4011166,13.649671
36,0.46271017,0.13088909,39.22227,4.355507,-1.7241199,26.683117,5.266011,-1.4541509,23.992731,7.568053,-1.5478262,16.835613,8.582591,-1.3962841,13.640174
37,0.51190007,0.122663185,39.064358,4.408066,-1.7270635,26.516619,5.3112283,-1.4366746,23.868433,7.591412,-1.541027,16.768713,8.598954,-1.3902799,13.607739
38,0.43708304,-0.0015919684,39.25098,4.476121,-1.7310054,26.301283,5.375247,-1.4391819,23.653875,7.620904,-1.5312278,16.657412,8.606457,-1.3851318,13.548066
39,0.031429786,-0.20416915,40.268486,4.4892178,-1.7279767,26.243294,5.3888383,-1.4410846,23.605778,7.627385,-1.5280328,16.635569,8.606869,-1.3808519,13.537859
40,-0.5654771,-0.58358157,41.79964,4.4560623,-1.7307034,26.38336,5.3516774,-1.4476222,23.734657,7.609199,-1.5356647,16.693502,8.605291,-1.3898058,13.563213
41,-1.351701,-1.1701587,43.677055,4.382662,-1.7219009,26.625364,5.2859244,-1.4423571,23.929806,7.5840993,-1.5470753,16.798271,8.595973,-1.3949732,13.61757
42,-1.7461871,-1.9347125,44.277817,4.359374,-1.7221519,26.721539,5.260262,-1.452199,24.005054,7.5621896,-1.5475745,16.842102,8.579862,-1.4012527,13.631435
43,-1.6644149,-2.8260894,43.442677,4.350657,-1.7244973,26.773083,5.2320576,-1.4545487,24.079334,7.5478654,-1.5596884,16.875013,8.563872,-1.4117163,13.65447
44,-1.1769933,-3.463311,41.891273,4.3711214,-1.7150974,26.719948,5.2194796,-1.4524851,24.10211,7.540394,-1.5596429,16.88574,8.558493,-1.4152689,13.656727
45,-0.5269568,-3.9410117,39.85951,4.380789,-1.7099915,26.664,5.224634,-1.4620924,24.100723,7.5430737,-1.5652124,16.883362,8.562143,-1.4215807,13.651617
46,-0.26921102,-3.9713948,39.070045,4.3750243,-1.7084981,26.606255,5.239837,-1.4550203,24.048018,7.5534825,-1.5536948,16.858799,8.573508,-1.4053956,13.637965
47,-0.43504784,-3.8388293,39.552525,4.439203,-1.6924112,26.490862,5.2682505,-1.4463922,23.968534,7.582421,-1.5531666,16.794834,8.587415,-1.4064612,13.597
48,-0.887424,-3.51198,41.03877,4.431991,-1.7145065,26.507315,5.2756195,-1.4480612,23.952908,7.5715694,-1.5527539,16.787361,8.579895,-1.4050102,13.592526
49,-1.5089288,-2.9237185,43.0151,4.402362,-1.7060121,26.583378,5.254982,-1.4486153,23.972353,7.565078,-1.5575969,16.78964,8.574149,-1.413117,13.589081
50,-1.7084664,-2.1328678,44.08418,4.387979,-1.7225472,26.662125,5.2624125,-1.4568579,23.962095,7.5725307,-1.5627187,16.779552,8.571826,-1.423004,13.584102
51,-1.4606115,-1.2561171,43.844532,4.3444586,-1.71968,26.691385,5.251119,-1.4511566,23.9992,7.552544,-1.5570855,16.809206,8.56309,-1.414861,13.604035
52,-0.8792994,-0.6144748,42.665646,4.3342605,-1.7280447,26.713951,5.2480464,-1.4501731,24.02888,7.553202,-1.5526778,16.84169,8.569771,-1.4085845,13.636325
53,-0.25918442,-0.18007405,41.096287,4.341742,-1.7182248,26.712757,5.2565155,-1.4535642,24.014252,7.562154,-1.5478426,16.852295,8.578925,-1.3974111,13.645656
