scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1508.1642,807.7228,0.6858446,1190.4143,804.16327,0.85763675,1101.8607,796.0879,0.86265326,762.8742,726.9536,0.99896276,566.0681,701.79517,0.8600185
1,1508.1816,807.8582,0.6876285,1190.8036,804.4608,0.8551119,1102.3479,796.4405,0.85824984,763.2142,727.6351,0.9784939,565.6655,703.325,0.8387736
2,1506.9509,805.5105,0.71211237,1189.8727,803.92554,0.8590509,1100.8978,795.7907,0.8439394,761.8253,727.6166,0.96901417,564.79254,703.4029,0.90335953
3,1506.8247,805.14545,0.72275555,1189.6741,803.736,0.8520137,1100.6201,795.34955,0.8430867,761.6593,727.3956,0.976572,564.6113,703.2659,0.91267735
4,1506.7455,804.9818,0.72812545,1189.6562,803.6753,0.85384184,1100.4133,795.14215,0.83289915,761.45764,727.15875,0.9613948,564.4883,703.072,0.91749424
5,1506.9349,805.06946,0.7355271,1189.685,803.7241,0.85525477,1100.4944,795.29224,0.84097373,761.4841,727.36487,0.9640142,564.506,703.2771,0.91269374
6,1507.0927,805.1404,0.7324702,1189.6844,803.87695,0.85384583,1100.4907,795.2839,0.8401147,761.49426,727.33,0.96789795,564.3832,703.1347,0.9122362
7,1507.9082,805.3594,0.70425886,1189.8859,804.06366,0.8565431,1100.7836,795.5609,0.84549403,761.7661,727.52795,0.982564,564.5196,703.3132,0.90637225
