timestamp,quat1,quat2
184844402268,"(0.52508544921875, -0.226806640625, -0.82025146484375, 0.00341796875)","(0.0, 0.0, 0.0, 0.0)"
184844413886,"(0.525146484375, -0.2266845703125, -0.82025146484375, 0.00347900390625)","(0.0, 0.0, 0.0, 0.0)"
184844425317,"(0.52508544921875, -0.2266845703125, -0.8203125, 0.00360107421875)","(0.0, 0.0, 0.0, 0.0)"
184844437615,"(0.52508544921875, -0.2266845703125, -0.8203125, 0.00372314453125)","(0.0, 0.0, 0.0, 0.0)"
184844451267,"(0.52508544921875, -0.2266845703125, -0.82025146484375, 0.00384521484375)","(1.0, 0.0, 0.00067138671875, 0.0)"
184844461371,"(0.525146484375, -0.2266845703125, -0.82025146484375, 0.00390625)","(1.0078125, 0.0, 0.000732421875, 0.0)"
184844471500,"(0.525146484375, -0.22662353515625, -0.82025146484375, 0.00396728515625)","(1.0078125, 0.0, 0.00079345703125, 0.0)"
184844481547,"(0.52520751953125, -0.22662353515625, -0.82025146484375, 0.0040283203125)","(1.0078125, 0.0, 0.00079345703125, 0.0)"
184844491880,"(0.52520751953125, -0.22662353515625, -0.82025146484375, 0.00408935546875)","(1.0078125, 0.0, 0.00079345703125, 0.0)"
184844501644,"(0.52520751953125, -0.22650146484375, -0.82025146484375, 0.00408935546875)","(1.0, 6.103515625e-05, 0.00079345703125, 0.0)"
184844510947,"(0.52520751953125, -0.22650146484375, -0.82025146484375, 0.00408935546875)","(0.9921875, -0.1201171875, 0.03448486328125, -0.0001220703125)"
184844521816,"(0.52520751953125, -0.22650146484375, -0.82025146484375, 0.00408935546875)","(0.9921875, -0.1201171875, 0.03448486328125, -0.0001220703125)"
184844531710,"(0.5252685546875, -0.22662353515625, -0.8201904296875, 0.00408935546875)","(None, None, None, None)"
184844537212,"(0.525390625, -0.22674560546875, -0.82012939453125, 0.004150390625)","(0.9921875, -0.12005615234375, 0.03460693359375, -0.0001220703125)"
184844541429,"(0.525390625, -0.22674560546875, -0.82012939453125, 0.004150390625)","(0.9921875, -0.12005615234375, 0.03460693359375, -0.0001220703125)"
184844548299,"(0.525390625, -0.226806640625, -0.820068359375, 0.00433349609375)","(0.9921875, -0.12005615234375, 0.03466796875, -0.0001220703125)"
184844552349,"(0.525390625, -0.226806640625, -0.820068359375, 0.00433349609375)","(0.9921875, -0.12005615234375, 0.03466796875, -0.0001220703125)"
184844558655,"(0.52545166015625, -0.226806640625, -0.82000732421875, 0.00439453125)","(0.99212646484375, -0.12005615234375, 0.0347900390625, -0.0001220703125)"
184844562158,"(0.52545166015625, -0.226806640625, -0.82000732421875, 0.00439453125)","(None, None, None, None)"
184844567343,"(0.52545166015625, -0.2269287109375, -0.82000732421875, 0.00445556640625)","(0.99212646484375, -0.12005615234375, 0.03485107421875, -0.00018310546875)"
184844572216,"(0.52545166015625, -0.2269287109375, -0.82000732421875, 0.00445556640625)","(0.99212646484375, -0.12005615234375, 0.03485107421875, -0.00018310546875)"
184844580612,"(0.52545166015625, -0.2269287109375, -0.82000732421875, 0.00445556640625)","(0.99212646484375, -0.12005615234375, 0.03497314453125, -0.00018310546875)"
184844587832,"(0.5255126953125, -0.2269287109375, -0.8199462890625, 0.00445556640625)","(0.99212646484375, -0.1199951171875, 0.03509521484375, -0.00018310546875)"
184844592402,"(0.5255126953125, -0.2269287109375, -0.8199462890625, 0.00445556640625)","(0.99212646484375, -0.1199951171875, 0.03509521484375, -0.00018310546875)"
184844599544,"(0.525634765625, -0.2269287109375, -0.81988525390625, 0.00445556640625)","(0.9921875, -0.11993408203125, 0.03515625, -0.00018310546875)"
184844602990,"(0.525634765625, -0.2269287109375, -0.81988525390625, 0.00445556640625)","(None, None, None, None)"
184844607681,"(0.52569580078125, -0.2269287109375, -0.81982421875, 0.00439453125)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844611713,"(0.52569580078125, -0.2269287109375, -0.81982421875, 0.00439453125)","(None, None, None, None)"
184844616195,"(0.5257568359375, -0.2269287109375, -0.81982421875, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844621349,"(0.5257568359375, -0.2269287109375, -0.81982421875, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844627779,"(0.5257568359375, -0.2269287109375, -0.81982421875, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844632055,"(0.5257568359375, -0.2269287109375, -0.81982421875, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844639758,"(0.52581787109375, -0.2269287109375, -0.81976318359375, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844644222,"(0.52581787109375, -0.2269287109375, -0.81976318359375, 0.00445556640625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844651237,"(0.52581787109375, -0.22705078125, -0.81976318359375, 0.0045166015625)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.000244140625)"
184844654641,"(0.52581787109375, -0.22705078125, -0.81976318359375, 0.0045166015625)","(None, None, None, None)"
184844658315,"(0.52581787109375, -0.22711181640625, -0.8197021484375, 0.00457763671875)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00030517578125)"
184844662287,"(0.52581787109375, -0.22711181640625, -0.8197021484375, 0.00457763671875)","(None, None, None, None)"
184844666774,"(0.52581787109375, -0.22711181640625, -0.8197021484375, 0.00457763671875)","(None, None, None, None)"
184844669733,"(0.52581787109375, -0.22711181640625, -0.8197021484375, 0.00457763671875)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.00030517578125)"
184844673826,"(0.52581787109375, -0.22711181640625, -0.8197021484375, 0.00457763671875)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.00030517578125)"
184844680715,"(0.52581787109375, -0.22705078125, -0.8197021484375, 0.0045166015625)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.00030517578125)"
184844686358,"(0.52581787109375, -0.22705078125, -0.8197021484375, 0.0045166015625)","(None, None, None, None)"
184844688987,"(0.52581787109375, -0.22705078125, -0.8197021484375, 0.0045166015625)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.00030517578125)"
184844693334,"(0.52581787109375, -0.22705078125, -0.8197021484375, 0.0045166015625)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.00030517578125)"
184844698497,"(0.52587890625, -0.22705078125, -0.8197021484375, 0.00457763671875)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.000244140625)"
184844702972,"(0.52587890625, -0.22705078125, -0.8197021484375, 0.00457763671875)","(0.9921875, -0.11981201171875, 0.03521728515625, -0.000244140625)"
184844708093,"(0.52593994140625, -0.22698974609375, -0.81964111328125, 0.004638671875)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844712579,"(0.52593994140625, -0.22698974609375, -0.81964111328125, 0.004638671875)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844719660,"(0.5260009765625, -0.22698974609375, -0.81964111328125, 0.0047607421875)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844724868,"(0.5260009765625, -0.22698974609375, -0.81964111328125, 0.0048828125)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844731061,"(0.5260009765625, -0.22698974609375, -0.81964111328125, 0.0048828125)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844737471,"(0.52593994140625, -0.22698974609375, -0.8197021484375, 0.0050048828125)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
184844742815,"(0.52593994140625, -0.22698974609375, -0.8197021484375, 0.0050048828125)","(0.9921875, -0.11981201171875, 0.0352783203125, -0.00018310546875)"
