timestamp,euler1,euler2
192143042588,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
192143053682,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
192143066136,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
192143076088,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
192143086346,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
192143095721,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00048828125)","(1.0, 0.0, 0.00018310546875, 0.0)"
192143105188,"(0.6993408203125, -0.70989990234375, -0.08319091796875, 0.00054931640625)","(1.0078125, 0.0, 0.00018310546875, 0.0)"
192143113164,"(0.6993408203125, -0.70989990234375, -0.08319091796875, 0.00054931640625)","(1.0078125, 0.0, 0.00018310546875, 0.0)"
192143122104,"(0.6993408203125, -0.70989990234375, -0.0831298828125, 0.0006103515625)","(1.0, 0.0, 0.00018310546875, 0.0)"
192143132156,"(0.6993408203125, -0.70989990234375, -0.08319091796875, 0.0006103515625)","(1.0078125, 0.0, 0.0001220703125, 0.0)"
192143141791,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.0006103515625)","(1.0078125, 6.103515625e-05, 0.0001220703125, 0.0)"
192143149685,"(0.6993408203125, -0.70989990234375, -0.08331298828125, 0.0006103515625)","(0.7593994140625, 0.1173095703125, 0.64910888671875, 0.0)"
192143159095,"(0.6993408203125, -0.70989990234375, -0.08331298828125, 0.0006103515625)","(0.7593994140625, 0.1173095703125, 0.64910888671875, 0.0)"
192143167212,"(0.6993408203125, -0.70989990234375, -0.08331298828125, 0.0006103515625)","(0.7593994140625, 0.1173095703125, 0.64910888671875, 0.0)"
192143174450,"(0.6993408203125, -0.70989990234375, -0.08331298828125, 0.0006103515625)","(0.75933837890625, 0.1173095703125, 0.649169921875, 0.0)"
192143183443,"(0.6993408203125, -0.70989990234375, -0.083251953125, 0.00067138671875)","(0.75927734375, 0.1173095703125, 0.64923095703125, 0.0)"
192143192637,"(0.6993408203125, -0.70989990234375, -0.08319091796875, 0.000732421875)","(0.75927734375, 0.1173095703125, 0.64923095703125, 0.0)"
192143201105,"(0.6993408203125, -0.70989990234375, -0.08306884765625, 0.00079345703125)","(0.75921630859375, 0.1173095703125, 0.64935302734375, 0.0)"
192143209474,"(0.6993408203125, -0.7099609375, -0.08294677734375, 0.00091552734375)","(0.7591552734375, 0.1173095703125, 0.6494140625, 0.0)"
192143216490,"(0.6993408203125, -0.7099609375, -0.0828857421875, 0.0010986328125)","(0.751220703125, 0.1173095703125, 0.6495361328125, 6.103515625e-05)"
192143223272,"(0.6993408203125, -0.7099609375, -0.0828857421875, 0.0010986328125)","(0.759033203125, 0.1173095703125, 0.6495361328125, 6.103515625e-05)"
192143232406,"(0.6993408203125, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143241688,"(0.6993408203125, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75115966796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143249400,"(0.69940185546875, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143255132,"(0.69940185546875, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143262740,"(0.69940185546875, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143272081,"(0.69940185546875, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143281467,"(0.69940185546875, -0.7099609375, -0.08282470703125, 0.00115966796875)","(0.75897216796875, 0.1173095703125, 0.64959716796875, 6.103515625e-05)"
192143289651,"(0.69940185546875, -0.7099609375, -0.082763671875, 0.001220703125)","(0.7589111328125, 0.1173095703125, 0.649658203125, 6.103515625e-05)"
192143295555,"(0.69940185546875, -0.7099609375, -0.082763671875, 0.001220703125)","(0.7587890625, 0.1173095703125, 0.6497802734375, 6.103515625e-05)"
192143303294,"(0.69940185546875, -0.70989990234375, -0.08270263671875, 0.00128173828125)","(0.7587890625, 0.1173095703125, 0.6497802734375, 6.103515625e-05)"
192143312443,"(0.699462890625, -0.70989990234375, -0.08258056640625, 0.0013427734375)","(0.7586669921875, 0.11737060546875, 0.64990234375, 6.103515625e-05)"
192143322952,"(0.69952392578125, -0.7098388671875, -0.08251953125, 0.00146484375)","(0.75860595703125, 0.11737060546875, 0.6500244140625, 6.103515625e-05)"
192143333099,"(0.6995849609375, -0.70977783203125, -0.08245849609375, 0.00152587890625)","(0.75848388671875, 0.11737060546875, 0.65020751953125, 0.0001220703125)"
192143343234,"(0.6995849609375, -0.7098388671875, -0.08233642578125, 0.00164794921875)","(0.7584228515625, 0.11737060546875, 0.6502685546875, 0.0001220703125)"
192143352564,"(0.6995849609375, -0.7098388671875, -0.082275390625, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143362762,"(0.6995849609375, -0.7098388671875, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143373158,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143383452,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143393463,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143402428,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143412445,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143422091,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75836181640625, 0.11737060546875, 0.65032958984375, 0.0001220703125)"
192143431891,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.001708984375)","(0.75830078125, 0.11737060546875, 0.650390625, 0.0001220703125)"
192143440264,"(0.6995849609375, -0.70977783203125, -0.08221435546875, 0.00177001953125)","(0.75830078125, 0.1173095703125, 0.650390625, 0.00018310546875)"
192143446079,"(0.6995849609375, -0.7098388671875, -0.0821533203125, 0.0018310546875)","(0.75830078125, 0.1173095703125, 0.650390625, 0.00018310546875)"
192143454239,"(0.6995849609375, -0.7098388671875, -0.0821533203125, 0.0018310546875)","(0.75042724609375, 0.1173095703125, 0.65045166015625, 0.00018310546875)"
192143463865,"(0.6995849609375, -0.7098388671875, -0.0821533203125, 0.0018310546875)","(0.7503662109375, 0.1173095703125, 0.6505126953125, 0.00018310546875)"
192143473495,"(0.6995849609375, -0.7098388671875, -0.0821533203125, 0.0018310546875)","(0.75811767578125, 0.11737060546875, 0.65057373046875, 0.0001220703125)"
192143483540,"(0.6995849609375, -0.7098388671875, -0.08209228515625, 0.00189208984375)","(0.758056640625, 0.11737060546875, 0.65069580078125, 0.00018310546875)"
192143493567,"(0.6995849609375, -0.7098388671875, -0.08197021484375, 0.001953125)","(0.7579345703125, 0.11737060546875, 0.6507568359375, 0.00018310546875)"
192143499684,"(0.6995849609375, -0.7098388671875, -0.08184814453125, 0.0020751953125)","(0.75787353515625, 0.11737060546875, 0.65087890625, 0.00018310546875)"
192143506281,"(0.6995849609375, -0.7098388671875, -0.08184814453125, 0.0020751953125)","(0.75787353515625, 0.11737060546875, 0.65087890625, 0.00018310546875)"
192143513938,"(0.69964599609375, -0.70977783203125, -0.08172607421875, 0.00213623046875)","(0.7578125, 0.11737060546875, 0.65093994140625, 0.00018310546875)"
192143523151,"(0.69964599609375, -0.7098388671875, -0.0816650390625, 0.002197265625)","(0.7498779296875, 0.117431640625, 0.65106201171875, 0.0001220703125)"
192143532907,"(0.69964599609375, -0.7098388671875, -0.08160400390625, 0.00225830078125)","(0.74981689453125, 0.117431640625, 0.65118408203125, 0.0001220703125)"
192143541604,"(0.69964599609375, -0.7098388671875, -0.08154296875, 0.00238037109375)","(0.749755859375, 0.117431640625, 0.6512451171875, 0.00018310546875)"
192143548264,"(0.69964599609375, -0.7098388671875, -0.08148193359375, 0.00244140625)","(0.749755859375, 0.117431640625, 0.6512451171875, 0.00018310546875)"
192143554796,"(0.69964599609375, -0.7098388671875, -0.08148193359375, 0.00244140625)","(0.74969482421875, 0.117431640625, 0.65130615234375, 0.00018310546875)"
192143564025,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.00244140625)","(0.7496337890625, 0.11737060546875, 0.6513671875, 0.0001220703125)"
192143573448,"(0.69964599609375, -0.7098388671875, -0.08135986328125, 0.00250244140625)","(0.7496337890625, 0.11737060546875, 0.6513671875, 0.0001220703125)"
192143582969,"(0.69964599609375, -0.7098388671875, -0.08135986328125, 0.00250244140625)","(0.7496337890625, 0.11737060546875, 0.6513671875, 0.0001220703125)"
192143591331,"(0.69964599609375, -0.7098388671875, -0.08135986328125, 0.00250244140625)","(0.74969482421875, 0.11737060546875, 0.65130615234375, 0.0001220703125)"
192143597122,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.74969482421875, 0.11737060546875, 0.65130615234375, 0.0001220703125)"
192143605212,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.74969482421875, 0.11737060546875, 0.65130615234375, 0.0001220703125)"
192143614756,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.74969482421875, 0.11737060546875, 0.65130615234375, 0.0001220703125)"
192143624133,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.74969482421875, 0.11737060546875, 0.65130615234375, 0.0001220703125)"
192143634253,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.7496337890625, 0.11737060546875, 0.6513671875, 0.0001220703125)"
192143643446,"(0.69964599609375, -0.7098388671875, -0.0814208984375, 0.0025634765625)","(0.74957275390625, 0.11737060546875, 0.65142822265625, 0.0001220703125)"
192143651266,"(0.69964599609375, -0.7098388671875, -0.08135986328125, 0.0025634765625)","(0.74945068359375, 0.117431640625, 0.65155029296875, 6.103515625e-05)"
192143659813,"(0.69964599609375, -0.7098388671875, -0.08135986328125, 0.0025634765625)","(0.74932861328125, 0.1175537109375, 0.65167236328125, 0.0)"
192143666771,"(0.69964599609375, -0.7098388671875, -0.081298828125, 0.00262451171875)","(0.74932861328125, 0.1175537109375, 0.65167236328125, 0.0)"
192143675626,"(0.69964599609375, -0.7098388671875, -0.081298828125, 0.00262451171875)","(0.74920654296875, 0.11767578125, 0.65179443359375, -6.103515625e-05)"
192143685494,"(0.69964599609375, -0.7098388671875, -0.08123779296875, 0.002685546875)","(0.74908447265625, 0.1177978515625, 0.65191650390625, -0.0001220703125)"
192143694173,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.00274658203125)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.00018310546875)"
192143700716,"(0.69964599609375, -0.70989990234375, -0.08111572265625, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143707843,"(0.69964599609375, -0.70989990234375, -0.0810546875, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143715695,"(0.69964599609375, -0.70989990234375, -0.0810546875, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143724185,"(0.69964599609375, -0.70989990234375, -0.0810546875, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143733474,"(0.69964599609375, -0.70989990234375, -0.0810546875, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143741589,"(0.69964599609375, -0.70989990234375, -0.08111572265625, 0.00286865234375)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143747777,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143755664,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143764841,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143774331,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.11785888671875, 0.652099609375, -0.00018310546875)"
192143783245,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.11785888671875, 0.652099609375, -0.00018310546875)"
192143790879,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.11785888671875, 0.652099609375, -0.00018310546875)"
192143798124,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.11785888671875, 0.652099609375, -0.00018310546875)"
192143805737,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.11785888671875, 0.652099609375, -0.00018310546875)"
192143814242,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.7489013671875, 0.1177978515625, 0.652099609375, -0.00018310546875)"
192143823868,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.0001220703125)"
192143833265,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.0001220703125)"
192143841708,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.00018310546875)"
192143848034,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.00018310546875)"
192143856445,"(0.69964599609375, -0.70989990234375, -0.0811767578125, 0.0028076171875)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.00018310546875)"
192143865580,"(0.69964599609375, -0.7098388671875, -0.081298828125, 0.00274658203125)","(0.74896240234375, 0.1177978515625, 0.65203857421875, -0.00018310546875)"
