timestamp,euler1,euler2
192911252875,"(0.717529296875, -0.68353271484375, 0.13385009765625, 0.0035400390625)","(0.0, 0.0, 0.0, 0.0)"
192911264779,"(0.71759033203125, -0.68353271484375, 0.13372802734375, 0.00360107421875)","(0.0, 0.0, 0.0, 0.0)"
192911276809,"(0.71746826171875, -0.68359375, 0.13372802734375, 0.00384521484375)","(0.0, 0.0, 0.0, 0.0)"
192911287233,"(0.717529296875, -0.68359375, 0.1336669921875, 0.00390625)","(0.0, 0.0, 0.0, 0.0)"
192911297670,"(0.717529296875, -0.68359375, 0.1336669921875, 0.00396728515625)","(0.0, 0.0, 0.0, 0.0)"
192911307664,"(0.71746826171875, -0.68359375, 0.13372802734375, 0.0040283203125)","(1.0, -0.0003662109375, 0.0001220703125, -0.0003662109375)"
192911317480,"(0.71746826171875, -0.68359375, 0.1337890625, 0.00408935546875)","(1.0, -0.0003662109375, 0.0001220703125, -0.00048828125)"
192911327999,"(0.717529296875, -0.68353271484375, 0.13385009765625, 0.004150390625)","(1.0, -0.0003662109375, 0.0001220703125, -0.00054931640625)"
192911338891,"(0.717529296875, -0.68353271484375, 0.13397216796875, 0.00421142578125)","(1.0, -0.0003662109375, 0.0001220703125, -0.0006103515625)"
192911350365,"(0.717529296875, -0.68353271484375, 0.13397216796875, 0.00433349609375)","(1.0, -0.0003662109375, 0.0001220703125, -0.0006103515625)"
192911361319,"(0.717529296875, -0.6834716796875, 0.134033203125, 0.00433349609375)","(0.69439697265625, 0.0875244140625, 0.71429443359375, -0.00018310546875)"
192911372979,"(0.717529296875, -0.6834716796875, 0.13409423828125, 0.00439453125)","(0.69439697265625, 0.08746337890625, 0.71429443359375, -0.0001220703125)"
192911381089,"(0.71759033203125, -0.6834716796875, 0.134033203125, 0.00445556640625)","(0.69439697265625, 0.08746337890625, 0.71429443359375, -0.0001220703125)"
192911386534,"(0.71759033203125, -0.68341064453125, 0.134033203125, 0.0045166015625)","(0.69439697265625, 0.08734130859375, 0.71429443359375, 0.0)"
192911391557,"(0.71759033203125, -0.68341064453125, 0.134033203125, 0.0045166015625)","(0.69439697265625, 0.08734130859375, 0.71429443359375, 0.0)"
192911396560,"(0.71759033203125, -0.68341064453125, 0.13397216796875, 0.00457763671875)","(0.69439697265625, 0.0872802734375, 0.71429443359375, 6.103515625e-05)"
