timestamp,euler1,euler2
195504583612,"(0.69256591796875, -0.71978759765625, -0.047119140625, -0.00091552734375)","(0.0, 0.0, 0.0, 0.0)"
195504593802,"(0.69256591796875, -0.71978759765625, -0.04705810546875, -0.0008544921875)","(0.0, 0.0, 0.0, 0.0)"
195504605496,"(0.69256591796875, -0.71978759765625, -0.0469970703125, -0.00079345703125)","(0.0, 0.0, 0.0, 0.0)"
195504617021,"(0.69256591796875, -0.71978759765625, -0.046875, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
195504628693,"(0.7003173828125, -0.7198486328125, -0.04681396484375, -0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
195504637362,"(0.6925048828125, -0.7198486328125, -0.04681396484375, -0.00054931640625)","(1.0078125, -0.00048828125, -0.00018310546875, 0.0)"
195504646144,"(0.69244384765625, -0.71990966796875, -0.0467529296875, -0.00054931640625)","(1.0078125, -0.00067138671875, -0.0003662109375, -6.103515625e-05)"
195504656214,"(0.6923828125, -0.719970703125, -0.0467529296875, -0.00054931640625)","(1.0078125, -0.0008544921875, -0.00048828125, -6.103515625e-05)"
195504665557,"(0.6923828125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(1.0078125, -0.0010986328125, -0.00067138671875, -6.103515625e-05)"
195504675765,"(0.6923828125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(1.0078125, -0.00128173828125, -0.00079345703125, -6.103515625e-05)"
195504684567,"(0.7001953125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(1.0, -0.00128173828125, -0.00079345703125, -6.103515625e-05)"
195504692896,"(0.6923828125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(0.78564453125, 0.16937255859375, 0.59503173828125, 0.0006103515625)"
195504703263,"(0.7001953125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(0.78570556640625, 0.1693115234375, 0.594970703125, 0.00079345703125)"
195504712875,"(0.7001953125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(0.7857666015625, 0.169189453125, 0.59490966796875, 0.00091552734375)"
195504722834,"(0.7001953125, -0.72003173828125, -0.0467529296875, -0.00054931640625)","(0.793701171875, 0.1690673828125, 0.5948486328125, 0.00103759765625)"
195504730100,"(0.7001953125, -0.72003173828125, -0.04669189453125, -0.00048828125)","(0.79376220703125, 0.16888427734375, 0.5947265625, 0.00115966796875)"
195504736879,"(0.7001953125, -0.72003173828125, -0.04669189453125, -0.00048828125)","(0.7939453125, 0.16876220703125, 0.5946044921875, 0.00128173828125)"
195504745080,"(0.70013427734375, -0.7200927734375, -0.046630859375, -0.00042724609375)","(0.7939453125, 0.16876220703125, 0.5946044921875, 0.00128173828125)"
195504753188,"(0.7000732421875, -0.7200927734375, -0.046630859375, -0.00042724609375)","(0.7940673828125, 0.16851806640625, 0.59442138671875, 0.00140380859375)"
