timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
200053074237,0,0,0,12606566
200053074237,0,0,0,12616123
200053074237,0,0,0,12624656
200053074237,0,0,0,12614928
200053074237,1161,0,0,12620390
200053097887,1844,0,0,12609467
200053097887,5086,0,0,12608955
200053097887,990,0,0,12616294
200053097887,0,0,0,12605030
200053097887,0,0,0,12609296
200053103202,0,0,0,12614758
200053103202,1673,0,0,12616976
200053103202,2697,0,0,12619366
200053103202,0,0,0,12618512
200053103202,0,0,0,12617830
200053112402,990,0,0,12613734
200053112402,0,0,0,12608272
200053112402,0,0,0,12617318
200053112402,2185,0,0,12610320
200053112402,2356,0,0,12623120
200053118298,0,0,0,12616123
200053118298,0,0,0,12610320
200053118298,0,0,0,12618000
200053118298,0,0,0,12623632
200053118298,0,0,0,12617318
200053126170,4916,0,0,12611003
200053126170,0,0,0,12613392
200053126170,2185,0,0,12614416
200053126170,0,0,0,12619707
200053126170,10377,0,0,12621072
200053132371,0,0,0,12613563
200053132371,0,0,0,12616635
200053132371,0,0,0,12617147
200053132371,0,0,0,12620048
200053132371,478,0,0,12620048
200053139263,2014,0,0,12611344
200053139263,0,0,0,12617830
200053139263,0,0,0,12613392
200053139263,0,0,0,12619536
200053139263,2185,0,0,12617659
200053146788,308,0,0,12616464
200053146788,3038,0,0,12621243
200053146788,0,0,0,12621243
200053146788,1844,0,0,12611515
200053146788,0,0,0,12616464
200053153857,0,0,0,12619536
200053153857,1844,0,0,12620902
200053153857,0,0,0,12615270
200053153857,0,0,0,12619024
200053153857,0,0,0,12615782
200053161549,649,0,0,12610491
200053161549,0,0,0,12610491
200053161549,0,0,0,12616976
200053161549,0,0,0,12629264
200053161549,3038,0,0,12627557
200053168007,3209,0,0,12613392
200053168007,0,0,0,12612198
200053168007,0,0,0,12615440
200053168007,0,0,0,12621755
200053168007,7476,0,0,12627045
200053176847,820,0,0,12618171
200053176847,0,0,0,12617147
200053176847,0,0,0,12610491
200053176847,0,0,0,12622779
200053176847,0,0,0,12617147
200053181283,0,0,0,12613222
200053181283,0,0,0,12612539
200053181283,3038,0,0,12616294
200053181283,0,0,0,12617659
200053181283,0,0,0,12625851
200053189021,0,0,0,12609979
200053189021,0,0,0,12617659
200053189021,0,0,0,12620048
200053189021,820,0,0,12613904
200053189021,0,0,0,12606736
200053195940,0,0,0,12616806
200053195940,3209,0,0,12617318
200053195940,0,0,0,12615440
200053195940,4574,0,0,12619707
200053195940,0,0,0,12618512
200053202784,0,0,0,12628923
200053202784,0,0,0,12623803
200053202784,137,0,0,12623803
200053202784,0,0,0,12623120
200053202784,1844,0,0,12619024
200053209637,4745,0,0,12616123
200053209637,5086,0,0,12618854
200053209637,2356,0,0,12623973
200053209637,4062,0,0,12626021
200053209637,2697,0,0,12616976
200053217402,2356,0,0,12611856
200053217402,3550,0,0,12618000
200053217402,820,0,0,12618342
200053217402,1673,0,0,12623291
200053217402,12425,0,0,12618342
200053224189,0,0,0,12622608
200053224189,0,0,0,12612710
200053224189,1502,0,0,12622608
200053224189,5598,0,0,12620390
200053224189,0,0,0,12625339
200053231288,0,0,0,12612880
200053231288,0,0,0,12620902
200053231288,0,0,0,12612198
200053231288,3209,0,0,12620048
200053231288,990,0,0,12625339
200053239006,990,0,0,12611686
