timestamp,quat1,quat2
202558263245,"(0.71771240234375, -0.6943359375, -0.05316162109375, 0.00201416015625)","(0.0, 0.0, 0.0, 0.0)"
202558275865,"(0.71771240234375, -0.6943359375, -0.052978515625, 0.002197265625)","(0.0, 0.0, 0.0, 0.0)"
202558290268,"(0.71771240234375, -0.6943359375, -0.05291748046875, 0.00225830078125)","(0.0, 0.0, 0.0, 0.0)"
202558301410,"(0.71771240234375, -0.6943359375, -0.05291748046875, 0.00225830078125)","(0.0, 0.0, 0.0, 0.0)"
202558312252,"(0.71771240234375, -0.6943359375, -0.05291748046875, 0.00225830078125)","(0.0078125, 0.0, 0.0, 0.0)"
202558321561,"(0.7177734375, -0.69427490234375, -0.05291748046875, 0.00225830078125)","(1.0, -0.0001220703125, 0.000244140625, 6.103515625e-05)"
202558332446,"(0.71783447265625, -0.6942138671875, -0.05291748046875, 0.00225830078125)","(1.0078125, -0.0001220703125, 0.00042724609375, 0.000244140625)"
202558343672,"(0.7178955078125, -0.69415283203125, -0.052978515625, 0.0023193359375)","(1.0078125, -0.00018310546875, 0.00048828125, 0.00030517578125)"
202558355055,"(0.71795654296875, -0.694091796875, -0.052978515625, 0.00238037109375)","(1.0078125, -0.000244140625, 0.00048828125, 0.00042724609375)"
202558363959,"(0.718017578125, -0.69403076171875, -0.052978515625, 0.00238037109375)","(1.0078125, -0.0003662109375, 0.00048828125, 0.00042724609375)"
202558373148,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00244140625)","(0.74542236328125, 0.1304931640625, 0.66253662109375, 0.0006103515625)"
202558383919,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00244140625)","(0.73760986328125, 0.1304931640625, 0.66253662109375, 0.00067138671875)"
202558392675,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00238037109375)","(0.73760986328125, 0.1304931640625, 0.66253662109375, 0.00067138671875)"
202558401900,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00238037109375)","(0.73760986328125, 0.13043212890625, 0.66253662109375, 0.000732421875)"
202558410278,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00244140625)","(0.73760986328125, 0.13037109375, 0.66253662109375, 0.00079345703125)"
202558415921,"(0.71807861328125, -0.6939697265625, -0.052978515625, 0.00244140625)","(0.73760986328125, 0.13037109375, 0.66253662109375, 0.0008544921875)"
202558423395,"(0.71807861328125, -0.69390869140625, -0.052978515625, 0.00244140625)","(0.73760986328125, 0.13037109375, 0.66253662109375, 0.0008544921875)"
202558431909,"(0.71807861328125, -0.69390869140625, -0.05291748046875, 0.00244140625)","(0.73760986328125, 0.13037109375, 0.66253662109375, 0.0008544921875)"
202558440682,"(0.71807861328125, -0.69390869140625, -0.05291748046875, 0.00250244140625)","(0.73760986328125, 0.13037109375, 0.6624755859375, 0.0008544921875)"
202558448609,"(0.71807861328125, -0.69390869140625, -0.05291748046875, 0.00250244140625)","(0.73760986328125, 0.13031005859375, 0.6624755859375, 0.00079345703125)"
202558454326,"(0.71807861328125, -0.69390869140625, -0.05291748046875, 0.00250244140625)","(0.73760986328125, 0.13031005859375, 0.6624755859375, 0.00079345703125)"
