timestamp,quat1,quat2
211502004480,"(0.60205078125, -0.69842529296875, -0.386962890625, -0.0015869140625)","(0.0, 0.0, 0.0, 0.0)"
211502014943,"(0.601806640625, -0.69854736328125, -0.3870849609375, -0.00177001953125)","(0.0, 0.0, 0.0, 0.0)"
211502025262,"(0.6016845703125, -0.69866943359375, -0.38714599609375, -0.00189208984375)","(0.0078125, 0.0, 0.0, 0.0)"
211502035626,"(0.6092529296875, -0.69879150390625, -0.38726806640625, -0.0020751953125)","(0.0078125, 0.0, 0.0, 0.0)"
211502046204,"(0.609130859375, -0.6988525390625, -0.3873291015625, -0.00225830078125)","(0.0078125, 0.0, 0.0, 0.0)"
211502055237,"(0.60894775390625, -0.69891357421875, -0.387451171875, -0.00238037109375)","(0.0078125, 0.0, 0.0, 0.0)"
211502063249,"(0.60882568359375, -0.698974609375, -0.3875732421875, -0.0025634765625)","(1.0, 0.0, -0.00103759765625, -0.000244140625)"
211502072557,"(0.60870361328125, -0.69903564453125, -0.38763427734375, -0.0028076171875)","(1.0078125, 0.0, -0.0013427734375, -0.000244140625)"
211502082475,"(0.60076904296875, -0.6990966796875, -0.38775634765625, -0.00299072265625)","(1.0078125, 0.0, -0.0015869140625, -0.000244140625)"
211502092964,"(0.6005859375, -0.6990966796875, -0.387939453125, -0.003173828125)","(1.0, 0.0, -0.00189208984375, -0.000244140625)"
211502103950,"(0.60833740234375, -0.69915771484375, -0.3880615234375, -0.00347900390625)","(1.0, 0.0, -0.002197265625, -0.000244140625)"
211502113196,"(0.608154296875, -0.69921875, -0.38818359375, -0.00372314453125)","(0.83941650390625, 0.098388671875, 0.54656982421875, -0.00048828125)"
211502122248,"(0.6002197265625, -0.69927978515625, -0.38824462890625, -0.00396728515625)","(0.83197021484375, 0.09844970703125, 0.54608154296875, -0.0006103515625)"
211502133924,"(0.60003662109375, -0.6993408203125, -0.38836669921875, -0.0042724609375)","(0.83197021484375, 0.09844970703125, 0.54608154296875, -0.0006103515625)"
211502142539,"(0.59991455078125, -0.699462890625, -0.388427734375, -0.00457763671875)","(0.83209228515625, 0.09844970703125, 0.54583740234375, -0.000732421875)"
211502148430,"(0.5997314453125, -0.6995849609375, -0.388427734375, -0.00482177734375)","(0.8321533203125, 0.09857177734375, 0.545654296875, -0.00091552734375)"
211502154832,"(0.5997314453125, -0.6995849609375, -0.388427734375, -0.00482177734375)","(0.8321533203125, 0.09857177734375, 0.545654296875, -0.00091552734375)"
211502161354,"(0.599609375, -0.69970703125, -0.388427734375, -0.005126953125)","(0.83221435546875, 0.09869384765625, 0.54559326171875, -0.0010986328125)"
211502166741,"(0.599609375, -0.69970703125, -0.388427734375, -0.005126953125)","(0.83221435546875, 0.09869384765625, 0.54559326171875, -0.0010986328125)"
211502173320,"(0.59942626953125, -0.69989013671875, -0.3883056640625, -0.00537109375)","(0.83221435546875, 0.09881591796875, 0.5455322265625, -0.00128173828125)"
211502182287,"(0.59930419921875, -0.70001220703125, -0.38824462890625, -0.005615234375)","(0.832275390625, 0.0989990234375, 0.54547119140625, -0.00146484375)"
211502187604,"(0.59930419921875, -0.70001220703125, -0.38824462890625, -0.005615234375)","(0.832275390625, 0.0989990234375, 0.54547119140625, -0.00146484375)"
211502194864,"(0.59918212890625, -0.7001953125, -0.38824462890625, -0.005859375)","(0.83233642578125, 0.09918212890625, 0.54534912109375, -0.00164794921875)"
