timestamp,euler1,euler2
224100676854,"(0.70733642578125, -0.6768798828125, -0.2037353515625, 0.00238037109375)","(0.0, 0.0, 0.0, 0.0)"
224100688801,"(0.71514892578125, -0.67681884765625, -0.20379638671875, 0.00225830078125)","(0.0, 0.0, 0.0, 0.0)"
224100699337,"(0.70745849609375, -0.67669677734375, -0.20391845703125, 0.0020751953125)","(0.0, 0.0, 0.0, 0.0)"
224100708273,"(0.70751953125, -0.6766357421875, -0.203857421875, 0.00213623046875)","(0.0, 0.0, 0.0, 0.0)"
224100718271,"(0.70758056640625, -0.67657470703125, -0.203857421875, 0.00213623046875)","(0.0, 0.0, 0.0, 0.0)"
224100728245,"(0.70758056640625, -0.67657470703125, -0.203857421875, 0.00213623046875)","(1.0, -0.00091552734375, 0.00018310546875, 0.00018310546875)"
224100741145,"(0.70758056640625, -0.67657470703125, -0.20391845703125, 0.00213623046875)","(1.0, -0.0010986328125, 0.00018310546875, 0.00018310546875)"
224100751097,"(0.70758056640625, -0.67657470703125, -0.20379638671875, 0.00225830078125)","(1.0, -0.0013427734375, 0.000244140625, 0.00018310546875)"
224100760550,"(0.71539306640625, -0.6766357421875, -0.20367431640625, 0.00238037109375)","(1.0078125, -0.00164794921875, 0.00030517578125, 0.00018310546875)"
224100767811,"(0.71539306640625, -0.6766357421875, -0.20367431640625, 0.00238037109375)","(1.0078125, -0.00164794921875, 0.00030517578125, 0.00018310546875)"
224100775809,"(0.71539306640625, -0.67669677734375, -0.2034912109375, 0.0025634765625)","(1.0, -0.00189208984375, 0.00030517578125, 0.00018310546875)"
224100784102,"(0.71539306640625, -0.67669677734375, -0.203369140625, 0.002685546875)","(1.0078125, -0.0020751953125, 0.00030517578125, 0.00018310546875)"
224100791734,"(0.71539306640625, -0.6767578125, -0.20330810546875, 0.00274658203125)","(0.76177978515625, 0.17608642578125, 0.63287353515625, 0.00164794921875)"
224100797670,"(0.70758056640625, -0.6767578125, -0.20330810546875, 0.00274658203125)","(0.76177978515625, 0.17608642578125, 0.63287353515625, 0.00164794921875)"
224100806128,"(0.71539306640625, -0.6767578125, -0.20330810546875, 0.00274658203125)","(0.7618408203125, 0.17596435546875, 0.6328125, 0.001708984375)"
224100815630,"(0.71539306640625, -0.6767578125, -0.20330810546875, 0.00274658203125)","(0.761962890625, 0.17584228515625, 0.6326904296875, 0.0018310546875)"
224100825431,"(0.71539306640625, -0.67669677734375, -0.203369140625, 0.002685546875)","(0.7542724609375, 0.17572021484375, 0.63262939453125, 0.00201416015625)"
224100832367,"(0.71539306640625, -0.67669677734375, -0.203369140625, 0.00274658203125)","(0.76214599609375, 0.175537109375, 0.63262939453125, 0.00225830078125)"
224100838831,"(0.71539306640625, -0.67669677734375, -0.203369140625, 0.00274658203125)","(0.76226806640625, 0.17529296875, 0.632568359375, 0.00250244140625)"
224100846691,"(0.70758056640625, -0.67669677734375, -0.20343017578125, 0.0028076171875)","(0.75445556640625, 0.17529296875, 0.632568359375, 0.00250244140625)"
224100855813,"(0.70758056640625, -0.67669677734375, -0.2034912109375, 0.00286865234375)","(0.76239013671875, 0.175048828125, 0.6324462890625, 0.00274658203125)"
224100866303,"(0.70751953125, -0.67669677734375, -0.20361328125, 0.0029296875)","(0.76251220703125, 0.1748046875, 0.63238525390625, 0.0029296875)"
224100876510,"(0.71533203125, -0.6766357421875, -0.2037353515625, 0.00286865234375)","(0.7625732421875, 0.1746826171875, 0.63232421875, 0.00311279296875)"
224100886379,"(0.70751953125, -0.6766357421875, -0.203857421875, 0.00286865234375)","(0.7625732421875, 0.17449951171875, 0.63232421875, 0.0032958984375)"
224100896561,"(0.70751953125, -0.6766357421875, -0.20379638671875, 0.0029296875)","(0.7625732421875, 0.17431640625, 0.63238525390625, 0.00341796875)"
224100906908,"(0.70751953125, -0.67669677734375, -0.20361328125, 0.00311279296875)","(0.76263427734375, 0.17425537109375, 0.63232421875, 0.003662109375)"
224100916842,"(0.71527099609375, -0.6767578125, -0.20355224609375, 0.00323486328125)","(0.7626953125, 0.1741943359375, 0.63232421875, 0.00384521484375)"
224100926768,"(0.70745849609375, -0.67681884765625, -0.2034912109375, 0.00335693359375)","(0.7626953125, 0.17413330078125, 0.63232421875, 0.00390625)"
224100936203,"(0.70745849609375, -0.6768798828125, -0.20343017578125, 0.00341796875)","(0.7626953125, 0.17401123046875, 0.63232421875, 0.00396728515625)"
224100946588,"(0.71527099609375, -0.6768798828125, -0.203369140625, 0.0035400390625)","(0.7626953125, 0.173828125, 0.63238525390625, 0.004150390625)"
224100956681,"(0.70745849609375, -0.67694091796875, -0.20318603515625, 0.003662109375)","(0.76263427734375, 0.17364501953125, 0.63250732421875, 0.00433349609375)"
224100966928,"(0.71527099609375, -0.67694091796875, -0.20306396484375, 0.00384521484375)","(0.76263427734375, 0.1734619140625, 0.632568359375, 0.00457763671875)"
224100976082,"(0.71527099609375, -0.67694091796875, -0.20294189453125, 0.00396728515625)","(0.7626953125, 0.17327880859375, 0.632568359375, 0.0048828125)"
224100982244,"(0.71527099609375, -0.677001953125, -0.20281982421875, 0.00408935546875)","(0.76275634765625, 0.17315673828125, 0.63250732421875, 0.005126953125)"
224100988762,"(0.71527099609375, -0.677001953125, -0.20281982421875, 0.00408935546875)","(0.76275634765625, 0.17315673828125, 0.63250732421875, 0.005126953125)"
224100997011,"(0.71527099609375, -0.677001953125, -0.2027587890625, 0.004150390625)","(0.76275634765625, 0.17303466796875, 0.63250732421875, 0.00531005859375)"
224101006576,"(0.71533203125, -0.677001953125, -0.20269775390625, 0.00421142578125)","(0.7628173828125, 0.17291259765625, 0.63250732421875, 0.0054931640625)"
224101016469,"(0.71533203125, -0.67694091796875, -0.20269775390625, 0.00421142578125)","(0.762939453125, 0.17279052734375, 0.63238525390625, 0.005615234375)"
224101025046,"(0.71533203125, -0.67694091796875, -0.2027587890625, 0.00433349609375)","(0.762939453125, 0.17266845703125, 0.63238525390625, 0.00579833984375)"
224101031475,"(0.71533203125, -0.677001953125, -0.20281982421875, 0.0045166015625)","(0.755126953125, 0.17266845703125, 0.63238525390625, 0.00579833984375)"
224101037366,"(0.70751953125, -0.677001953125, -0.20281982421875, 0.0045166015625)","(0.75518798828125, 0.172607421875, 0.63238525390625, 0.0059814453125)"
224101041628,"(0.70745849609375, -0.677001953125, -0.20281982421875, 0.004638671875)","(None, None, None, None)"
224101044664,"(0.71527099609375, -0.677001953125, -0.20281982421875, 0.004638671875)","(0.762939453125, 0.17254638671875, 0.63238525390625, 0.00616455078125)"
224101051260,"(0.71527099609375, -0.677001953125, -0.20281982421875, 0.004638671875)","(0.755126953125, 0.17254638671875, 0.63238525390625, 0.00616455078125)"
224101058480,"(0.70745849609375, -0.677001953125, -0.20281982421875, 0.004638671875)","(0.755126953125, 0.1724853515625, 0.6324462890625, 0.00640869140625)"
224101068267,"(0.71527099609375, -0.677001953125, -0.20281982421875, 0.0047607421875)","(0.76287841796875, 0.17236328125, 0.63250732421875, 0.00677490234375)"
224101076250,"(0.71527099609375, -0.67706298828125, -0.20263671875, 0.0050048828125)","(0.7628173828125, 0.17218017578125, 0.6326904296875, 0.0072021484375)"
224101082811,"(0.71527099609375, -0.6771240234375, -0.2025146484375, 0.00531005859375)","(0.76275634765625, 0.17193603515625, 0.6328125, 0.0074462890625)"
224101089214,"(0.71527099609375, -0.6771240234375, -0.202392578125, 0.00537109375)","(0.76275634765625, 0.17193603515625, 0.6328125, 0.0074462890625)"
224101098090,"(0.71527099609375, -0.6771240234375, -0.202392578125, 0.00537109375)","(0.76275634765625, 0.1717529296875, 0.6328125, 0.007568359375)"
224101107791,"(0.71533203125, -0.67706298828125, -0.202392578125, 0.00543212890625)","(0.76275634765625, 0.17169189453125, 0.6328125, 0.00762939453125)"
224101117435,"(0.71533203125, -0.67706298828125, -0.202392578125, 0.00555419921875)","(0.76275634765625, 0.171630859375, 0.6329345703125, 0.0076904296875)"
224101125718,"(0.71533203125, -0.6771240234375, -0.20233154296875, 0.0057373046875)","(0.76263427734375, 0.17156982421875, 0.633056640625, 0.0078125)"
224101131653,"(0.71527099609375, -0.6771240234375, -0.2022705078125, 0.00592041015625)","(0.76263427734375, 0.17156982421875, 0.633056640625, 0.0078125)"
224101138329,"(0.71527099609375, -0.6771240234375, -0.2022705078125, 0.00592041015625)","(0.76251220703125, 0.1715087890625, 0.6331787109375, 0.0079345703125)"
224101145499,"(0.71527099609375, -0.67718505859375, -0.2021484375, 0.00604248046875)","(0.76251220703125, 0.17138671875, 0.63323974609375, 0.008056640625)"
224101153835,"(0.71527099609375, -0.67718505859375, -0.2021484375, 0.00616455078125)","(0.76251220703125, 0.17120361328125, 0.63323974609375, 0.00823974609375)"
224101160976,"(0.71527099609375, -0.67718505859375, -0.20208740234375, 0.00628662109375)","(0.76251220703125, 0.17120361328125, 0.63323974609375, 0.00823974609375)"
224101169384,"(0.71527099609375, -0.67718505859375, -0.20208740234375, 0.00628662109375)","(0.76251220703125, 0.17095947265625, 0.63336181640625, 0.0084228515625)"
224101176557,"(0.71527099609375, -0.67724609375, -0.2020263671875, 0.00653076171875)","(0.762451171875, 0.1707763671875, 0.63348388671875, 0.0086669921875)"
224101182908,"(0.71527099609375, -0.67730712890625, -0.20196533203125, 0.00665283203125)","(0.762451171875, 0.17059326171875, 0.633544921875, 0.0087890625)"
224101189852,"(0.70745849609375, -0.67730712890625, -0.20196533203125, 0.00665283203125)","(0.762451171875, 0.17059326171875, 0.633544921875, 0.0087890625)"
224101197872,"(0.71527099609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.762451171875, 0.17059326171875, 0.633544921875, 0.0087890625)"
224101208795,"(0.71527099609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.76239013671875, 0.170654296875, 0.63360595703125, 0.0087890625)"
224101219366,"(0.70745849609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.76226806640625, 0.17071533203125, 0.6336669921875, 0.00872802734375)"
224101226870,"(0.71527099609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.76214599609375, 0.17071533203125, 0.63385009765625, 0.0087890625)"
224101233424,"(0.71527099609375, -0.67730712890625, -0.2017822265625, 0.00677490234375)","(0.76214599609375, 0.17071533203125, 0.63385009765625, 0.0087890625)"
224101239529,"(0.71527099609375, -0.67730712890625, -0.2017822265625, 0.00677490234375)","(0.75421142578125, 0.17071533203125, 0.63397216796875, 0.0087890625)"
224101247562,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.0068359375)","(0.761962890625, 0.17071533203125, 0.634033203125, 0.00885009765625)"
224101257038,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.754150390625, 0.17071533203125, 0.63409423828125, 0.00885009765625)"
224101264370,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.754150390625, 0.17071533203125, 0.63409423828125, 0.00885009765625)"
224101270862,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.754150390625, 0.17071533203125, 0.63409423828125, 0.00885009765625)"
224101277861,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.75408935546875, 0.17071533203125, 0.6341552734375, 0.00885009765625)"
224101283501,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.0069580078125)","(0.75408935546875, 0.17071533203125, 0.6341552734375, 0.00885009765625)"
224101290568,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.0069580078125)","(0.75408935546875, 0.17071533203125, 0.6341552734375, 0.00885009765625)"
224101298984,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.0069580078125)","(0.75408935546875, 0.1707763671875, 0.6341552734375, 0.00885009765625)"
224101306982,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.7540283203125, 0.1707763671875, 0.6341552734375, 0.00885009765625)"
224101315077,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.7540283203125, 0.1707763671875, 0.63421630859375, 0.0089111328125)"
224101322122,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.7540283203125, 0.1707763671875, 0.63421630859375, 0.0089111328125)"
224101328899,"(0.70745849609375, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.7540283203125, 0.1707763671875, 0.63421630859375, 0.0089111328125)"
224101337161,"(0.70751953125, -0.67730712890625, -0.20166015625, 0.00689697265625)","(0.75408935546875, 0.17083740234375, 0.6341552734375, 0.0087890625)"
224101345250,"(0.70751953125, -0.67724609375, -0.2017822265625, 0.00677490234375)","(0.75408935546875, 0.17095947265625, 0.634033203125, 0.00872802734375)"
224101351417,"(0.70745849609375, -0.67724609375, -0.20184326171875, 0.00665283203125)","(0.75408935546875, 0.17095947265625, 0.634033203125, 0.00872802734375)"
224101359534,"(0.70745849609375, -0.67724609375, -0.20184326171875, 0.00665283203125)","(0.76190185546875, 0.1710205078125, 0.634033203125, 0.0086669921875)"
224101368874,"(0.70745849609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.7618408203125, 0.1710205078125, 0.63409423828125, 0.0086669921875)"
224101376894,"(0.71527099609375, -0.67724609375, -0.201904296875, 0.00665283203125)","(0.76177978515625, 0.1710205078125, 0.6341552734375, 0.0086669921875)"
224101382928,"(0.71527099609375, -0.67724609375, -0.20184326171875, 0.0067138671875)","(0.76177978515625, 0.1710205078125, 0.6341552734375, 0.0086669921875)"
224101390993,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.00677490234375)","(0.76171875, 0.17108154296875, 0.63427734375, 0.0086669921875)"
224101400011,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.00677490234375)","(0.7615966796875, 0.17120361328125, 0.63433837890625, 0.00860595703125)"
224101409353,"(0.70745849609375, -0.67730712890625, -0.20172119140625, 0.00677490234375)","(0.76153564453125, 0.17132568359375, 0.6343994140625, 0.00848388671875)"
224101417955,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.00677490234375)","(0.761474609375, 0.17144775390625, 0.63446044921875, 0.0084228515625)"
224101425916,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.00677490234375)","(0.76141357421875, 0.17156982421875, 0.634521484375, 0.00836181640625)"
224101432802,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.0068359375)","(0.76141357421875, 0.17156982421875, 0.634521484375, 0.00836181640625)"
224101438722,"(0.71527099609375, -0.67730712890625, -0.20172119140625, 0.0068359375)","(0.7613525390625, 0.17169189453125, 0.63458251953125, 0.00830078125)"
224101446603,"(0.70745849609375, -0.67730712890625, -0.20159912109375, 0.00689697265625)","(0.76123046875, 0.17181396484375, 0.6346435546875, 0.0081787109375)"
224101455414,"(0.71527099609375, -0.6773681640625, -0.2015380859375, 0.00701904296875)","(0.75335693359375, 0.171875, 0.63470458984375, 0.0081787109375)"
