timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
224250082770,1844,0,0,12636603
224250082770,0,0,0,12631824
224250082770,0,0,0,12652645
224250082770,2014,0,0,12644965
224250082770,0,0,0,12640869
224250105435,0,0,0,12642917
224250105435,0,0,0,12636261
224250105435,0,0,0,12640869
224250105435,0,0,0,12631653
224250105435,0,0,0,12643429
224250111340,137,0,0,12644112
224250111340,0,0,0,12645648
224250111340,0,0,0,12639845
224250111340,137,0,0,12642405
224250111340,0,0,0,12629435
224250119937,0,0,0,12634896
224250119937,0,0,0,12647866
224250119937,0,0,0,12650085
224250119937,0,0,0,12643088
224250119937,1673,0,0,12638821
224250127834,0,0,0,12643429
224250127834,0,0,0,12636261
224250127834,8329,0,0,12645306
224250127834,0,0,0,12652986
224250127834,0,0,0,12641211
224250134406,6281,0,0,12638992
224250134406,820,0,0,12637968
224250134406,2185,0,0,12646501
224250134406,0,0,0,12641552
224250134406,0,0,0,12642235
224250143395,0,0,0,12641552
224250143395,0,0,0,12648720
224250143395,0,0,0,12644453
224250143395,0,0,0,12648720
224250143395,0,0,0,12643259
224250148301,0,0,0,12635920
224250148301,0,0,0,12632165
224250148301,2868,0,0,12642747
224250148301,0,0,0,12648890
224250148301,0,0,0,12644965
224250154061,0,0,0,12641040
224250154061,0,0,0,12638992
224250154061,0,0,0,12641723
224250154061,0,0,0,12637456
224250154061,820,0,0,12637627
224250161296,0,0,0,12643429
224250161296,0,0,0,12647525
224250161296,0,0,0,12643941
224250161296,0,0,0,12644965
224250161296,0,0,0,12648549
224250168492,0,0,0,12637115
224250168492,308,0,0,12640528
224250168492,0,0,0,12643600
224250168492,0,0,0,12642235
224250168492,5086,0,0,12649402
224250175503,1161,0,0,12642064
224250175503,4062,0,0,12647013
224250175503,2014,0,0,12644794
224250175503,5428,0,0,12639504
224250175503,4062,0,0,12645477
224250182827,137,0,0,12642747
224250182827,0,0,0,12644453
224250182827,308,0,0,12642576
224250182827,1502,0,0,12649402
224250182827,0,0,0,12639675
224250190040,0,0,0,12639163
224250190040,0,0,0,12641211
224250190040,2356,0,0,12645648
224250190040,2014,0,0,12639504
224250190040,0,0,0,12651109
224250197620,0,0,0,12635237
224250197620,0,0,0,12639504
224250197620,0,0,0,12646672
224250197620,0,0,0,12637797
224250197620,649,0,0,12638139
224250204315,3380,0,0,12636603
224250204315,5940,0,0,12647354
224250204315,0,0,0,12651621
224250204315,0,0,0,12640869
224250204315,0,0,0,12645818
224250211157,0,0,0,12643941
224250211157,0,0,0,12638821
224250211157,2868,0,0,12642235
224250211157,0,0,0,12641552
224250211157,0,0,0,12641552
224250218590,0,0,0,12648890
224250218590,2356,0,0,12644794
224250218590,0,0,0,12638309
224250218590,3380,0,0,12631483
224250218590,3380,0,0,12649061
224250225291,2356,0,0,12652133
224250225291,820,0,0,12643259
224250225291,0,0,0,12642917
224250225291,1673,0,0,12646501
224250225291,5598,0,0,12655205
224250232515,0,0,0,12645818
224250232515,308,0,0,12648208
224250232515,137,0,0,12642405
224250232515,0,0,0,12645648
224250232515,0,0,0,12644453
224250240021,0,0,0,12641552
224250240021,0,0,0,12652304
224250240021,0,0,0,12646330
224250240021,5940,0,0,12641893
224250240021,5086,0,0,12644453
224250246750,0,0,0,12637627
224250246750,0,0,0,12637115
224250246750,0,0,0,12641040
224250246750,0,0,0,12647525
224250246750,0,0,0,12631483
224250254149,0,0,0,12635920
224250254149,2868,0,0,12647013
224250254149,0,0,0,12641893
224250254149,3209,0,0,12640699
224250254149,1844,0,0,12642064
224250260648,2697,0,0,12644112
224250260648,0,0,0,12645648
224250260648,2356,0,0,12645136
224250260648,0,0,0,12649232
224250260648,0,0,0,12656058
224250268290,0,0,0,12637797
224250268290,137,0,0,12650768
224250268290,0,0,0,12639504
224250268290,0,0,0,12641211
224250268290,6281,0,0,12642917
224250275150,2014,0,0,12641723
224250275150,7988,0,0,12649744
224250275150,0,0,0,12639163
224250275150,0,0,0,12648549
224250275150,5086,0,0,12650768
224250282885,0,0,0,12650085
224250282885,0,0,0,12654693
224250282885,0,0,0,12652645
224250282885,0,0,0,12644965
224250282885,0,0,0,12642747
224250289531,0,0,0,12640016
224250289531,0,0,0,12640528
224250289531,0,0,0,12634896
224250289531,0,0,0,12637285
224250289531,0,0,0,12649232
224250297491,2697,0,0,12642917
224250297491,0,0,0,12646160
224250297491,0,0,0,12654352
