timestamp,euler1,euler2
225107471682,"(0.70703125, -0.70648193359375, -0.031005859375, -0.0040283203125)","(0.0, 0.0, 0.0, 0.0)"
225107483742,"(0.70703125, -0.70648193359375, -0.03021240234375, -0.00347900390625)","(0.0078125, 0.0, 0.0, 0.0)"
225107493538,"(0.71490478515625, -0.70654296875, -0.02947998046875, -0.0030517578125)","(0.0078125, 0.0, 0.0, 0.0)"
225107504036,"(0.70709228515625, -0.70648193359375, -0.029052734375, -0.0028076171875)","(0.0078125, 0.0, 0.0, 0.0)"
225107513355,"(0.7071533203125, -0.70648193359375, -0.0289306640625, -0.0028076171875)","(0.0078125, 0.0, 0.0, 0.0)"
225107521784,"(0.70709228515625, -0.70654296875, -0.0289306640625, -0.0029296875)","(0.0078125, 0.0, 0.0, 0.0)"
225107530651,"(0.70709228515625, -0.70654296875, -0.02899169921875, -0.00299072265625)","(1.0078125, 0.00244140625, 0.00250244140625, -0.00048828125)"
225107540279,"(0.7071533203125, -0.70648193359375, -0.0289306640625, -0.0029296875)","(1.0, 0.0029296875, 0.003173828125, -0.0003662109375)"
225107551020,"(0.70721435546875, -0.7064208984375, -0.02880859375, -0.00286865234375)","(1.0078125, 0.00335693359375, 0.00396728515625, -0.0003662109375)"
225107561029,"(0.707275390625, -0.706298828125, -0.0286865234375, -0.002685546875)","(1.0078125, 0.0037841796875, 0.00482177734375, -0.0003662109375)"
225107570152,"(0.7152099609375, -0.70623779296875, -0.0284423828125, -0.00250244140625)","(0.73358154296875, 0.235595703125, 0.6463623046875, -0.0015869140625)"
225107577992,"(0.71533203125, -0.70611572265625, -0.0281982421875, -0.00225830078125)","(0.73309326171875, 0.23577880859375, 0.64678955078125, -0.00164794921875)"
225107585431,"(0.71533203125, -0.70611572265625, -0.0281982421875, -0.00225830078125)","(0.73272705078125, 0.23590087890625, 0.647216796875, -0.00164794921875)"
225107592416,"(0.7076416015625, -0.7060546875, -0.0279541015625, -0.0020751953125)","(0.72491455078125, 0.23590087890625, 0.647216796875, -0.00164794921875)"
225107601067,"(0.70770263671875, -0.7059326171875, -0.02783203125, -0.001953125)","(0.7247314453125, 0.23590087890625, 0.64739990234375, -0.0015869140625)"
225107609770,"(0.707763671875, -0.7059326171875, -0.02783203125, -0.00189208984375)","(0.7247314453125, 0.23602294921875, 0.6473388671875, -0.0015869140625)"
225107615531,"(0.70782470703125, -0.70587158203125, -0.0279541015625, -0.00201416015625)","(0.724853515625, 0.23614501953125, 0.64715576171875, -0.00164794921875)"
