timestamp,euler1,euler2
225213918049,"(0.71795654296875, -0.69580078125, -0.00921630859375, 0.01806640625)","(0.0, 0.0, 0.0, 0.0)"
225213930045,"(0.7176513671875, -0.69610595703125, -0.00909423828125, 0.0181884765625)","(0.0, 0.0, 0.0, 0.0)"
225213941254,"(0.71697998046875, -0.69683837890625, -0.0086669921875, 0.01824951171875)","(0.0, 0.0, 0.0, 0.0)"
225213951971,"(0.7166748046875, -0.6971435546875, -0.00836181640625, 0.01824951171875)","(0.0, 0.0, 0.0, 0.0)"
225213962325,"(0.71636962890625, -0.69744873046875, -0.00799560546875, 0.018310546875)","(0.0078125, 0.0, 0.0, 0.0)"
225213973115,"(0.716064453125, -0.69775390625, -0.00762939453125, 0.01849365234375)","(1.0078125, 0.00360107421875, 0.00018310546875, -0.00140380859375)"
225213981476,"(0.7158203125, -0.697998046875, -0.00726318359375, 0.01861572265625)","(1.0078125, 0.00421142578125, 0.00018310546875, -0.0015869140625)"
225213989638,"(0.7158203125, -0.697998046875, -0.00726318359375, 0.01861572265625)","(1.0078125, 0.00482177734375, 6.103515625e-05, -0.00177001953125)"
225213999061,"(0.71563720703125, -0.69818115234375, -0.0069580078125, 0.01873779296875)","(1.0078125, 0.00531005859375, -6.103515625e-05, -0.00177001953125)"
225214009341,"(0.7154541015625, -0.6983642578125, -0.0068359375, 0.01861572265625)","(1.0078125, 0.0057373046875, -0.0001220703125, -0.00177001953125)"
225214018415,"(0.71533203125, -0.698486328125, -0.00665283203125, 0.01861572265625)","(1.0078125, 0.006103515625, -0.0001220703125, -0.00177001953125)"
225214027957,"(0.7152099609375, -0.69866943359375, -0.00640869140625, 0.01873779296875)","(1.0, 0.006103515625, -0.0001220703125, -0.00177001953125)"
225214037421,"(0.71502685546875, -0.69879150390625, -0.0062255859375, 0.01885986328125)","(0.73175048828125, 0.2752685546875, 0.632568359375, -0.005859375)"
225214048294,"(0.7149658203125, -0.69891357421875, -0.0059814453125, 0.01898193359375)","(0.73175048828125, 0.275390625, 0.6324462890625, -0.00616455078125)"
225214058899,"(0.71478271484375, -0.69903564453125, -0.00592041015625, 0.01898193359375)","(0.72393798828125, 0.275390625, 0.6324462890625, -0.00616455078125)"
225214067237,"(0.71466064453125, -0.69921875, -0.005859375, 0.0189208984375)","(0.7239990234375, 0.275390625, 0.63238525390625, -0.00634765625)"
225214070654,"(0.71466064453125, -0.69921875, -0.005859375, 0.0189208984375)","(0.7239990234375, 0.275390625, 0.63238525390625, -0.00634765625)"
225214076365,"(0.7144775390625, -0.69940185546875, -0.00579833984375, 0.01904296875)","(0.7239990234375, 0.275390625, 0.63238525390625, -0.006591796875)"
225214079814,"(0.7144775390625, -0.69940185546875, -0.00579833984375, 0.01904296875)","(0.7239990234375, 0.275390625, 0.63238525390625, -0.006591796875)"
225214085323,"(0.71435546875, -0.69952392578125, -0.00567626953125, 0.01910400390625)","(0.72393798828125, 0.27557373046875, 0.6324462890625, -0.0068359375)"
225214088821,"(0.71435546875, -0.69952392578125, -0.00567626953125, 0.01910400390625)","(0.72393798828125, 0.27557373046875, 0.6324462890625, -0.0068359375)"
225214096340,"(0.71429443359375, -0.6995849609375, -0.005615234375, 0.01922607421875)","(0.7237548828125, 0.27581787109375, 0.63250732421875, -0.007080078125)"
225214100484,"(0.71429443359375, -0.6995849609375, -0.005615234375, 0.01922607421875)","(0.7237548828125, 0.27581787109375, 0.63250732421875, -0.007080078125)"
225214107290,"(0.71417236328125, -0.69964599609375, -0.005615234375, 0.0194091796875)","(0.7235107421875, 0.27606201171875, 0.6326904296875, -0.00726318359375)"
225214112305,"(0.714111328125, -0.69976806640625, -0.005615234375, 0.0196533203125)","(0.7235107421875, 0.27606201171875, 0.6326904296875, -0.00726318359375)"
225214117815,"(0.714111328125, -0.69976806640625, -0.005615234375, 0.0196533203125)","(0.7232666015625, 0.2762451171875, 0.63287353515625, -0.00738525390625)"
225214121282,"(0.71405029296875, -0.6998291015625, -0.00567626953125, 0.0198974609375)","(0.7232666015625, 0.2762451171875, 0.63287353515625, -0.00738525390625)"
225214127692,"(0.71405029296875, -0.6998291015625, -0.00567626953125, 0.0198974609375)","(0.72314453125, 0.2764892578125, 0.63287353515625, -0.007568359375)"
225214131300,"(0.71405029296875, -0.6998291015625, -0.00567626953125, 0.0198974609375)","(0.72314453125, 0.2764892578125, 0.63287353515625, -0.007568359375)"
225214137234,"(0.7139892578125, -0.6998291015625, -0.00567626953125, 0.02001953125)","(0.72320556640625, 0.27691650390625, 0.63262939453125, -0.0078125)"
225214140703,"(0.7139892578125, -0.6998291015625, -0.00567626953125, 0.02001953125)","(0.72320556640625, 0.27691650390625, 0.63262939453125, -0.0078125)"
225214147432,"(0.7139892578125, -0.6998291015625, -0.00592041015625, 0.01995849609375)","(0.7235107421875, 0.27734375, 0.63214111328125, -0.008056640625)"
225214152995,"(0.7139892578125, -0.6998291015625, -0.00634765625, 0.01983642578125)","(0.7235107421875, 0.27734375, 0.63214111328125, -0.008056640625)"
225214158123,"(0.7139892578125, -0.6998291015625, -0.00634765625, 0.01983642578125)","(0.72381591796875, 0.27764892578125, 0.631591796875, -0.00811767578125)"
225214163992,"(0.7139892578125, -0.6998291015625, -0.00689697265625, 0.01971435546875)","(None, None, None, None)"
225214166896,"(0.7139892578125, -0.6998291015625, -0.00689697265625, 0.01971435546875)","(0.72412109375, 0.27789306640625, 0.63116455078125, -0.008056640625)"
225214170371,"(0.7139892578125, -0.6998291015625, -0.00689697265625, 0.01971435546875)","(0.72412109375, 0.27789306640625, 0.63116455078125, -0.008056640625)"
225214176120,"(0.7139892578125, -0.6998291015625, -0.00732421875, 0.01971435546875)","(0.72442626953125, 0.27801513671875, 0.6307373046875, -0.00787353515625)"
225214179581,"(0.7139892578125, -0.6998291015625, -0.00732421875, 0.01971435546875)","(0.72442626953125, 0.27801513671875, 0.6307373046875, -0.00787353515625)"
225214185021,"(0.714111328125, -0.69970703125, -0.00762939453125, 0.01971435546875)","(0.724609375, 0.27813720703125, 0.6304931640625, -0.0076904296875)"
225214188992,"(0.714111328125, -0.69970703125, -0.00762939453125, 0.01971435546875)","(0.724609375, 0.27813720703125, 0.6304931640625, -0.0076904296875)"
225214196719,"(0.7142333984375, -0.6995849609375, -0.0079345703125, 0.01971435546875)","(0.7247314453125, 0.278076171875, 0.63037109375, -0.0074462890625)"
225214200647,"(0.7142333984375, -0.6995849609375, -0.0079345703125, 0.01971435546875)","(None, None, None, None)"
225214204649,"(0.7142333984375, -0.6995849609375, -0.00830078125, 0.01971435546875)","(0.724853515625, 0.27789306640625, 0.63031005859375, -0.00714111328125)"
225214209289,"(0.7142333984375, -0.6995849609375, -0.00830078125, 0.01971435546875)","(0.724853515625, 0.27789306640625, 0.63031005859375, -0.00714111328125)"
225214215038,"(0.71417236328125, -0.6995849609375, -0.00872802734375, 0.019775390625)","(0.72503662109375, 0.277587890625, 0.6302490234375, -0.00677490234375)"
225214219136,"(0.71417236328125, -0.6995849609375, -0.00872802734375, 0.019775390625)","(0.72503662109375, 0.277587890625, 0.6302490234375, -0.00677490234375)"
225214222575,"(0.71417236328125, -0.6995849609375, -0.00872802734375, 0.019775390625)","(0.72503662109375, 0.277587890625, 0.6302490234375, -0.00677490234375)"
225214228176,"(0.71417236328125, -0.69964599609375, -0.00909423828125, 0.01983642578125)","(0.7252197265625, 0.27716064453125, 0.6302490234375, -0.0064697265625)"
225214231639,"(0.71417236328125, -0.69964599609375, -0.00909423828125, 0.01983642578125)","(0.7252197265625, 0.27716064453125, 0.6302490234375, -0.0064697265625)"
225214237514,"(0.71417236328125, -0.69964599609375, -0.0093994140625, 0.02001953125)","(0.72540283203125, 0.27691650390625, 0.630126953125, -0.0062255859375)"
225214241013,"(0.71417236328125, -0.69964599609375, -0.0093994140625, 0.02001953125)","(0.72540283203125, 0.27691650390625, 0.630126953125, -0.0062255859375)"
225214247893,"(0.714111328125, -0.69964599609375, -0.00970458984375, 0.0201416015625)","(0.72564697265625, 0.2767333984375, 0.62994384765625, -0.006103515625)"
225214253237,"(0.714111328125, -0.69964599609375, -0.01007080078125, 0.020263671875)","(0.72564697265625, 0.2767333984375, 0.62994384765625, -0.006103515625)"
225214258761,"(0.714111328125, -0.69964599609375, -0.01007080078125, 0.020263671875)","(0.72589111328125, 0.276611328125, 0.62969970703125, -0.00592041015625)"
225214264018,"(0.714111328125, -0.69964599609375, -0.01055908203125, 0.02032470703125)","(0.72589111328125, 0.276611328125, 0.62969970703125, -0.00592041015625)"
225214268923,"(0.714111328125, -0.69964599609375, -0.01055908203125, 0.02032470703125)","(0.72613525390625, 0.27655029296875, 0.62945556640625, -0.0057373046875)"
225214272561,"(0.714111328125, -0.69964599609375, -0.01055908203125, 0.02032470703125)","(0.72613525390625, 0.27655029296875, 0.62945556640625, -0.0057373046875)"
225214276685,"(0.714111328125, -0.69964599609375, -0.01104736328125, 0.02032470703125)","(0.72637939453125, 0.27655029296875, 0.62921142578125, -0.0054931640625)"
225214280743,"(0.714111328125, -0.69964599609375, -0.01104736328125, 0.02032470703125)","(0.72637939453125, 0.27655029296875, 0.62921142578125, -0.0054931640625)"
225214285674,"(0.714111328125, -0.69964599609375, -0.01153564453125, 0.02032470703125)","(0.7265625, 0.27642822265625, 0.6290283203125, -0.00506591796875)"
225214289726,"(0.714111328125, -0.69964599609375, -0.01153564453125, 0.02032470703125)","(0.7265625, 0.27642822265625, 0.6290283203125, -0.00506591796875)"
225214297575,"(0.714111328125, -0.6995849609375, -0.01190185546875, 0.0203857421875)","(0.7266845703125, 0.276123046875, 0.62896728515625, -0.004638671875)"
225214303765,"(0.714111328125, -0.6995849609375, -0.0123291015625, 0.02044677734375)","(0.7266845703125, 0.276123046875, 0.62896728515625, -0.004638671875)"
225214309124,"(0.714111328125, -0.6995849609375, -0.0123291015625, 0.02044677734375)","(0.726806640625, 0.27569580078125, 0.6290283203125, -0.004150390625)"
225214314294,"(0.714111328125, -0.69964599609375, -0.01275634765625, 0.0205078125)","(0.726806640625, 0.27569580078125, 0.6290283203125, -0.004150390625)"
225214318233,"(0.714111328125, -0.69964599609375, -0.01275634765625, 0.0205078125)","(0.72698974609375, 0.275146484375, 0.62908935546875, -0.00360107421875)"
225214321951,"(0.714111328125, -0.69964599609375, -0.01275634765625, 0.0205078125)","(0.72698974609375, 0.275146484375, 0.62908935546875, -0.00360107421875)"
225214325803,"(0.71405029296875, -0.69970703125, -0.0130615234375, 0.0206298828125)","(0.7271728515625, 0.27459716796875, 0.629150390625, -0.00311279296875)"
