timestamp,euler1,euler2
191551219917,"(0.701416015625, -0.7061767578125, -0.0966796875, -0.0009765625)","(0.0, 0.0, 0.0, 0.0)"
191551232137,"(0.7015380859375, -0.70611572265625, -0.0960693359375, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
191551245748,"(0.70172119140625, -0.7060546875, -0.09503173828125, -0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
191551255425,"(0.70184326171875, -0.7060546875, -0.09466552734375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
191551265024,"(0.701904296875, -0.70599365234375, -0.09417724609375, 0.00018310546875)","(0.0078125, 0.0, 0.0, 0.0)"
191551273871,"(0.7020263671875, -0.70599365234375, -0.09375, 0.0003662109375)","(1.0078125, 0.0006103515625, 0.0023193359375, -0.0013427734375)"
191551282268,"(0.7020263671875, -0.70599365234375, -0.09375, 0.0003662109375)","(1.0078125, 0.0006103515625, 0.0025634765625, -0.00152587890625)"
191551290795,"(0.70208740234375, -0.7059326171875, -0.09332275390625, 0.00054931640625)","(1.0078125, 0.00067138671875, 0.00274658203125, -0.00177001953125)"
191551300642,"(0.7021484375, -0.7059326171875, -0.093017578125, 0.00079345703125)","(1.0078125, 0.00079345703125, 0.0028076171875, -0.00189208984375)"
191551310492,"(0.70220947265625, -0.7059326171875, -0.09283447265625, 0.0009765625)","(1.0078125, 0.0009765625, 0.0028076171875, -0.0020751953125)"
191551320034,"(0.7021484375, -0.7059326171875, -0.09271240234375, 0.00103759765625)","(1.0, 0.0009765625, 0.0028076171875, -0.0020751953125)"
191551328979,"(0.70220947265625, -0.7059326171875, -0.0926513671875, 0.00115966796875)","(1.0, 0.00103759765625, 0.0028076171875, -0.002197265625)"
191551338900,"(0.70220947265625, -0.7059326171875, -0.09246826171875, 0.001220703125)","(0.7303466796875, 0.1358642578125, 0.66943359375, -0.00201416015625)"
191551348791,"(0.7022705078125, -0.7059326171875, -0.09228515625, 0.00128173828125)","(0.7303466796875, 0.1357421875, 0.66943359375, -0.00213623046875)"
191551359538,"(0.7022705078125, -0.7059326171875, -0.09222412109375, 0.0013427734375)","(0.7303466796875, 0.13568115234375, 0.66949462890625, -0.00225830078125)"
191551364999,"(0.7022705078125, -0.70587158203125, -0.0921630859375, 0.00140380859375)","(0.7303466796875, 0.1356201171875, 0.66949462890625, -0.0023193359375)"
191551369816,"(0.7022705078125, -0.70587158203125, -0.0921630859375, 0.00140380859375)","(0.7303466796875, 0.1356201171875, 0.66949462890625, -0.0023193359375)"
191551373489,"(0.7022705078125, -0.70587158203125, -0.09210205078125, 0.00146484375)","(0.7303466796875, 0.1356201171875, 0.66949462890625, -0.0023193359375)"
191551379223,"(0.7022705078125, -0.70587158203125, -0.09210205078125, 0.00146484375)","(0.7303466796875, 0.13555908203125, 0.66949462890625, -0.00238037109375)"
191551384909,"(0.70233154296875, -0.70587158203125, -0.092041015625, 0.00152587890625)","(0.73028564453125, 0.13543701171875, 0.6695556640625, -0.00244140625)"
191551389527,"(0.70233154296875, -0.70587158203125, -0.092041015625, 0.00152587890625)","(0.73028564453125, 0.13543701171875, 0.6695556640625, -0.00244140625)"
191551396198,"(0.70233154296875, -0.7059326171875, -0.0919189453125, 0.00164794921875)","(0.73028564453125, 0.13525390625, 0.66961669921875, -0.00238037109375)"
191551400091,"(0.70233154296875, -0.7059326171875, -0.0919189453125, 0.00164794921875)","(0.73028564453125, 0.13525390625, 0.66961669921875, -0.00238037109375)"
191551407128,"(0.70233154296875, -0.7059326171875, -0.091796875, 0.00177001953125)","(0.730224609375, 0.13519287109375, 0.669677734375, -0.00250244140625)"
191551410907,"(0.70233154296875, -0.7059326171875, -0.091796875, 0.00177001953125)","(0.730224609375, 0.13519287109375, 0.669677734375, -0.00250244140625)"
191551417127,"(0.70233154296875, -0.70587158203125, -0.09173583984375, 0.0018310546875)","(0.730224609375, 0.1351318359375, 0.669677734375, -0.0025634765625)"
191551420787,"(0.70233154296875, -0.70587158203125, -0.09173583984375, 0.0018310546875)","(0.730224609375, 0.1351318359375, 0.669677734375, -0.0025634765625)"
