timestamp,euler1,euler2
200053075880,"(0.4306640625, -0.779052734375, -0.45550537109375, 0.009765625)","(0.0, 0.0, 0.0, 0.0)"
200053088524,"(0.4305419921875, -0.77886962890625, -0.4559326171875, 0.0096435546875)","(0.0, 0.0, 0.0, 0.0)"
200053099360,"(0.43048095703125, -0.77880859375, -0.4561767578125, 0.009521484375)","(0.0, 0.0, 0.0, 0.0)"
200053109609,"(0.4302978515625, -0.7786865234375, -0.45648193359375, 0.00927734375)","(0.0, 0.0, 0.0, 0.0)"
200053119921,"(0.43011474609375, -0.77862548828125, -0.456787109375, 0.00909423828125)","(0.0, 0.0, 0.0, 0.0)"
200053129182,"(0.42987060546875, -0.778564453125, -0.45709228515625, 0.0089111328125)","(1.0, -0.0008544921875, -0.00225830078125, 0.0)"
200053139655,"(0.4296875, -0.77850341796875, -0.4573974609375, 0.00872802734375)","(1.0, -0.0009765625, -0.00262451171875, 0.0)"
200053149487,"(0.429443359375, -0.77850341796875, -0.4576416015625, 0.0086669921875)","(1.0, -0.00115966796875, -0.0028076171875, 0.0)"
200053159884,"(0.4293212890625, -0.7784423828125, -0.4578857421875, 0.00860595703125)","(1.0, -0.00128173828125, -0.00299072265625, 6.103515625e-05)"
200053169104,"(0.42919921875, -0.77838134765625, -0.4581298828125, 0.00860595703125)","(1.0, -0.00140380859375, -0.00311279296875, 0.0001220703125)"
200053181559,"(0.4290771484375, -0.7783203125, -0.458251953125, 0.0086669921875)","(1.0, -0.00152587890625, -0.003173828125, 0.00018310546875)"
200053187229,"(0.4290771484375, -0.7783203125, -0.458251953125, 0.0086669921875)","(1.0, -0.00152587890625, -0.003173828125, 0.00018310546875)"
200053193859,"(0.4290771484375, -0.77825927734375, -0.45843505859375, 0.00872802734375)","(0.9774169921875, 0.104736328125, 0.1834716796875, 0.000244140625)"
200053200882,"(0.4290771484375, -0.7781982421875, -0.45855712890625, 0.0087890625)","(0.9774169921875, 0.10467529296875, 0.18341064453125, 0.0003662109375)"
200053206027,"(0.4290771484375, -0.7781982421875, -0.45855712890625, 0.0087890625)","(0.9774169921875, 0.10467529296875, 0.18341064453125, 0.0003662109375)"
200053214531,"(0.4290771484375, -0.778076171875, -0.45867919921875, 0.00885009765625)","(0.97747802734375, 0.1046142578125, 0.18341064453125, 0.00054931640625)"
200053222419,"(0.4290771484375, -0.77801513671875, -0.458740234375, 0.009033203125)","(0.97747802734375, 0.1044921875, 0.18341064453125, 0.00067138671875)"
200053227838,"(0.4290771484375, -0.77801513671875, -0.458740234375, 0.009033203125)","(0.97747802734375, 0.1044921875, 0.18341064453125, 0.00067138671875)"
200053234674,"(0.42913818359375, -0.77801513671875, -0.45880126953125, 0.00921630859375)","(0.97747802734375, 0.1044921875, 0.18341064453125, 0.000732421875)"
200053241150,"(0.42926025390625, -0.7779541015625, -0.45880126953125, 0.0093994140625)","(0.97747802734375, 0.10443115234375, 0.18353271484375, 0.00079345703125)"
200053246865,"(0.42926025390625, -0.7779541015625, -0.45880126953125, 0.0093994140625)","(0.97747802734375, 0.10443115234375, 0.18353271484375, 0.00079345703125)"
200053255272,"(0.4293212890625, -0.77789306640625, -0.45880126953125, 0.00958251953125)","(0.9774169921875, 0.10443115234375, 0.18359375, 0.00079345703125)"
200053263870,"(0.42938232421875, -0.77783203125, -0.4588623046875, 0.00970458984375)","(0.9774169921875, 0.1043701171875, 0.1837158203125, 0.00079345703125)"
200053270176,"(0.429443359375, -0.77777099609375, -0.4588623046875, 0.00982666015625)","(0.9774169921875, 0.10430908203125, 0.1837158203125, 0.00079345703125)"
200053276404,"(0.437255859375, -0.77777099609375, -0.4588623046875, 0.00982666015625)","(0.9774169921875, 0.10430908203125, 0.1837158203125, 0.00079345703125)"
200053283892,"(0.4295654296875, -0.7777099609375, -0.4588623046875, 0.0098876953125)","(0.9774169921875, 0.1043701171875, 0.18377685546875, 0.0008544921875)"
200053293496,"(0.4373779296875, -0.7777099609375, -0.4588623046875, 0.010009765625)","(0.9774169921875, 0.1043701171875, 0.18377685546875, 0.0008544921875)"
200053303126,"(0.4373779296875, -0.7777099609375, -0.4588623046875, 0.010009765625)","(0.9774169921875, 0.1043701171875, 0.18377685546875, 0.0008544921875)"
200053310352,"(0.4296875, -0.77764892578125, -0.45880126953125, 0.01007080078125)","(0.9774169921875, 0.1043701171875, 0.18377685546875, 0.0008544921875)"
200053317253,"(0.4296875, -0.77764892578125, -0.45880126953125, 0.01007080078125)","(0.9774169921875, 0.1043701171875, 0.18377685546875, 0.0008544921875)"
200053325752,"(0.4296875, -0.77764892578125, -0.4588623046875, 0.0101318359375)","(0.9774169921875, 0.1043701171875, 0.183837890625, 0.0008544921875)"
200053333855,"(0.42974853515625, -0.777587890625, -0.4588623046875, 0.01019287109375)","(0.9774169921875, 0.1043701171875, 0.18389892578125, 0.0008544921875)"
200053342805,"(0.42987060546875, -0.777587890625, -0.45880126953125, 0.01031494140625)","(0.97735595703125, 0.1043701171875, 0.1839599609375, 0.0008544921875)"
200053348724,"(0.429931640625, -0.77752685546875, -0.45880126953125, 0.0103759765625)","(0.97735595703125, 0.1043701171875, 0.1839599609375, 0.0008544921875)"
200053356358,"(0.429931640625, -0.77752685546875, -0.45880126953125, 0.0103759765625)","(0.97735595703125, 0.1043701171875, 0.18402099609375, 0.0008544921875)"
200053365742,"(0.42999267578125, -0.7774658203125, -0.45880126953125, 0.010498046875)","(0.97735595703125, 0.1043701171875, 0.18408203125, 0.0008544921875)"
200053375898,"(0.43011474609375, -0.77740478515625, -0.45880126953125, 0.01055908203125)","(0.97735595703125, 0.1043701171875, 0.1842041015625, 0.00091552734375)"
200053383132,"(0.4302978515625, -0.77734375, -0.45880126953125, 0.0106201171875)","(0.977294921875, 0.1043701171875, 0.18426513671875, 0.00091552734375)"
200053390651,"(0.430419921875, -0.77728271484375, -0.45880126953125, 0.0107421875)","(0.977294921875, 0.1043701171875, 0.18438720703125, 0.00091552734375)"
200053397649,"(0.430419921875, -0.77728271484375, -0.45880126953125, 0.0107421875)","(0.977294921875, 0.1043701171875, 0.18438720703125, 0.00091552734375)"
200053406178,"(0.4305419921875, -0.7772216796875, -0.458740234375, 0.0108642578125)","(0.977294921875, 0.10443115234375, 0.1844482421875, 0.00091552734375)"
200053416171,"(0.4306640625, -0.77716064453125, -0.45867919921875, 0.01104736328125)","(0.97723388671875, 0.10443115234375, 0.1845703125, 0.00091552734375)"
200053424710,"(0.43072509765625, -0.77716064453125, -0.45867919921875, 0.01123046875)","(0.97723388671875, 0.10443115234375, 0.1846923828125, 0.0009765625)"
200053431243,"(0.4307861328125, -0.77716064453125, -0.4586181640625, 0.0113525390625)","(0.97723388671875, 0.10443115234375, 0.184814453125, 0.0009765625)"
200053438215,"(0.4307861328125, -0.77716064453125, -0.4586181640625, 0.0113525390625)","(0.97723388671875, 0.10443115234375, 0.184814453125, 0.0009765625)"
200053446653,"(0.430908203125, -0.77716064453125, -0.45855712890625, 0.011474609375)","(0.9771728515625, 0.1044921875, 0.1849365234375, 0.0009765625)"
200053456414,"(0.4310302734375, -0.777099609375, -0.45843505859375, 0.0115966796875)","(0.9771728515625, 0.1044921875, 0.18511962890625, 0.00091552734375)"
200053466495,"(0.43109130859375, -0.777099609375, -0.4583740234375, 0.01171875)","(0.97711181640625, 0.1044921875, 0.1851806640625, 0.0008544921875)"
200053476638,"(0.43121337890625, -0.777099609375, -0.458251953125, 0.0118408203125)","(0.97711181640625, 0.1044921875, 0.185302734375, 0.00079345703125)"
200053484607,"(0.43133544921875, -0.77716064453125, -0.4581298828125, 0.011962890625)","(0.97705078125, 0.1044921875, 0.18548583984375, 0.000732421875)"
200053492137,"(0.431396484375, -0.77716064453125, -0.4580078125, 0.0120849609375)","(0.97705078125, 0.1044921875, 0.18560791015625, 0.0006103515625)"
200053499174,"(0.431396484375, -0.77716064453125, -0.4580078125, 0.0120849609375)","(0.97705078125, 0.1044921875, 0.18560791015625, 0.0006103515625)"
200053506956,"(0.4315185546875, -0.77716064453125, -0.4578857421875, 0.01220703125)","(0.97705078125, 0.10443115234375, 0.18572998046875, 0.0006103515625)"
200053518546,"(0.431640625, -0.77716064453125, -0.45770263671875, 0.01239013671875)","(0.97698974609375, 0.1043701171875, 0.18585205078125, 0.00054931640625)"
200053527339,"(0.4317626953125, -0.77716064453125, -0.4576416015625, 0.01251220703125)","(0.97698974609375, 0.1043701171875, 0.18597412109375, 0.00042724609375)"
200053535975,"(0.4320068359375, -0.777099609375, -0.45751953125, 0.01263427734375)","(0.97698974609375, 0.10430908203125, 0.18609619140625, 0.0003662109375)"
200053543121,"(0.43218994140625, -0.77703857421875, -0.4573974609375, 0.0128173828125)","(0.9769287109375, 0.104248046875, 0.186279296875, 0.00030517578125)"
200053549092,"(0.43243408203125, -0.77703857421875, -0.457275390625, 0.01300048828125)","(0.9769287109375, 0.104248046875, 0.186279296875, 0.00030517578125)"
200053557385,"(0.43243408203125, -0.77703857421875, -0.457275390625, 0.01300048828125)","(0.9769287109375, 0.104248046875, 0.18646240234375, 0.000244140625)"
