timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
231324234080,0,0,0,12661178
231324234080,2868,0,0,12665274
231324234080,3038,0,0,12670394
231324234080,0,0,0,12666127
231324234080,0,0,0,12672271
231324258721,0,0,0,12659984
231324258721,0,0,0,12667663
231324258721,0,0,0,12666127
231324258721,0,0,0,12661008
231324258721,0,0,0,12665274
231324265587,6964,0,0,12666639
231324265587,0,0,0,12657936
231324265587,0,0,0,12667834
231324265587,0,0,0,12660154
231324265587,0,0,0,12666981
231324272168,308,0,0,12666298
231324272168,0,0,0,12666298
231324272168,649,0,0,12671247
231324272168,2185,0,0,12670394
231324272168,0,0,0,12668175
231324279042,0,0,0,12674149
231324279042,0,0,0,12672442
231324279042,9694,0,0,12676709
231324279042,9524,0,0,12667322
231324279042,2014,0,0,12668517
231324286876,820,0,0,12669029
231324286876,4233,0,0,12666639
231324286876,820,0,0,12664933
231324286876,478,0,0,12668858
231324286876,0,0,0,12662714
231324293726,3038,0,0,12662714
231324293726,649,0,0,12665786
231324293726,478,0,0,12670394
231324293726,0,0,0,12658960
231324293726,0,0,0,12667151
231324300127,0,0,0,12665957
231324300127,0,0,0,12670394
231324300127,0,0,0,12666639
231324300127,0,0,0,12663226
231324300127,0,0,0,12662714
231324309128,0,0,0,12662885
231324309128,0,0,0,12672442
231324309128,0,0,0,12662202
231324309128,0,0,0,12666127
231324309128,0,0,0,12662885
231324315097,0,0,0,12661861
231324315097,3209,0,0,12661178
231324315097,0,0,0,12671930
231324315097,0,0,0,12668175
231324315097,0,0,0,12656741
231324321700,0,0,0,12670565
231324321700,0,0,0,12671247
231324321700,0,0,0,12670906
231324321700,2868,0,0,12674319
231324321700,2356,0,0,12671247
231324328856,1161,0,0,12678245
231324328856,2697,0,0,12666810
231324328856,1332,0,0,12675514
231324328856,8841,0,0,12670223
231324328856,0,0,0,12665957
231324336597,2868,0,0,12665957
231324336597,3038,0,0,12669711
231324336597,0,0,0,12671247
231324336597,5598,0,0,12666469
231324336597,0,0,0,12665615
231324342944,0,0,0,12669199
231324342944,0,0,0,12668517
231324342944,0,0,0,12672271
231324342944,2014,0,0,12672271
231324342944,0,0,0,12666127
231324350152,0,0,0,12667322
231324350152,478,0,0,12667493
231324350152,0,0,0,12667834
231324350152,0,0,0,12672613
231324350152,0,0,0,12659984
231324357359,1332,0,0,12663226
231324357359,0,0,0,12670565
231324357359,0,0,0,12663226
231324357359,0,0,0,12669541
231324357359,0,0,0,12662885
231324363992,0,0,0,12671247
231324363992,3038,0,0,12661349
231324363992,0,0,0,12669541
231324363992,0,0,0,12660666
231324363992,0,0,0,12662714
231324371262,0,0,0,12674831
231324371262,2356,0,0,12668005
231324371262,1673,0,0,12673807
231324371262,3380,0,0,12666981
231324371262,0,0,0,12664762
231324378795,5086,0,0,12669199
231324378795,0,0,0,12668517
231324378795,2185,0,0,12668175
231324378795,4404,0,0,12678586
231324378795,0,0,0,12675685
231324385619,0,0,0,12671077
231324385619,1673,0,0,12669370
231324385619,0,0,0,12658106
231324385619,1502,0,0,12670223
231324385619,1161,0,0,12667663
231324393556,0,0,0,12662714
231324393556,0,0,0,12670735
231324393556,0,0,0,12668858
231324393556,0,0,0,12669199
231324393556,990,0,0,12672442
231324399815,0,0,0,12664933
231324399815,5769,0,0,12667151
231324399815,0,0,0,12661520
231324399815,0,0,0,12656400
231324399815,0,0,0,12661520
231324407085,649,0,0,12662544
231324407085,0,0,0,12662032
231324407085,0,0,0,12672613
231324407085,1161,0,0,12658448
231324407085,0,0,0,12668005
231324414566,0,0,0,12672783
231324414566,0,0,0,12670906
231324414566,0,0,0,12671759
231324414566,0,0,0,12673125
231324414566,0,0,0,12661520
231324421413,1673,0,0,12671930
231324421413,3550,0,0,12661690
231324421413,0,0,0,12671589
231324421413,1844,0,0,12675343
231324421413,3550,0,0,12670906
231324428355,0,0,0,12671759
231324428355,1161,0,0,12668175
231324428355,6110,0,0,12673978
231324428355,8329,0,0,12668346
231324428355,4404,0,0,12666469
231324435518,1673,0,0,12673978
231324435518,3721,0,0,12664250
231324435518,0,0,0,12668346
231324435518,2356,0,0,12659301
231324435518,0,0,0,12671418
231324443436,137,0,0,12657765
231324443436,0,0,0,12667151
231324443436,0,0,0,12667663
231324443436,0,0,0,12667322
231324443436,0,0,0,12663568
231324450285,0,0,0,12658618
231324450285,0,0,0,12670053
231324450285,0,0,0,12664591
231324450285,3380,0,0,12668858
231324450285,820,0,0,12671077
231324456968,0,0,0,12666639
231324456968,1502,0,0,12663226
231324456968,0,0,0,12663226
231324456968,0,0,0,12666810
231324456968,0,0,0,12668517
231324464209,0,0,0,12668005
231324464209,308,0,0,12664933
231324464209,0,0,0,12667493
231324464209,1502,0,0,12671759
231324464209,0,0,0,12673978
231324471897,0,0,0,12651450
231324471897,0,0,0,12671418
231324471897,1161,0,0,12667663
231324471897,0,0,0,12668858
231324471897,14131,0,0,12664762
231324478467,6452,0,0,12665615
231324478467,990,0,0,12681999
231324478467,2185,0,0,12672954
231324478467,820,0,0,12669370
231324478467,0,0,0,12659472
231324486072,0,0,0,12679781
231324486072,0,0,0,12669370
231324486072,820,0,0,12669711
231324486072,3721,0,0,12662714
231324486072,308,0,0,12665615
231324493283,308,0,0,12668858
231324493283,0,0,0,12677903
231324493283,0,0,0,12666810
231324493283,0,0,0,12664250
231324493283,0,0,0,12666810
231324500095,990,0,0,12661690
231324500095,0,0,0,12669541
231324500095,0,0,0,12672271
231324500095,0,0,0,12662544
231324500095,0,0,0,12668687
231324507505,0,0,0,12668005
231324507505,2868,0,0,12665274
231324507505,4062,0,0,12668687
231324507505,0,0,0,12663738
231324507505,0,0,0,12664421
231324514180,0,0,0,12665786
231324514180,0,0,0,12676197
231324514180,2185,0,0,12671247
231324514180,0,0,0,12660325
231324514180,4574,0,0,12658960
231324521785,2185,0,0,12660496
231324521785,0,0,0,12669541
231324521785,0,0,0,12667493
231324521785,0,0,0,12666639
231324521785,0,0,0,12675343
231324528702,4574,0,0,12659301
231324528702,5086,0,0,12667663
231324528702,0,0,0,12688143
