scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-23.485224,3.4783182,37.99038,-21.5568,1.7849172,39.228306,-19.768393,0.37063232,42.136543,-18.634604,-0.84192425,42.831608,-16.605131,-2.8263009,43.471783
1,-23.487022,3.4794474,37.99095,-21.55681,1.786837,39.2282,-19.763561,0.37443134,42.12863,-18.632082,-0.83916044,42.830242,-16.60333,-2.823155,43.469646
2,-23.486958,3.4819236,37.990295,-21.556547,1.7891684,39.227104,-19.763226,0.3735124,42.12448,-18.630926,-0.8357389,42.8259,-16.602272,-2.8214142,43.469227
3,-23.487564,3.4859307,37.996014,-21.555988,1.7885052,39.228996,-19.762367,0.3765625,42.125053,-18.62915,-0.8343999,42.82366,-16.602211,-2.8203995,43.465443
4,-23.486944,3.4863567,37.998055,-21.55416,1.7918972,39.231575,-19.762785,0.37615615,42.12873,-18.626165,-0.8320366,42.825634,-16.600563,-2.817617,43.46529
5,-23.489895,3.4856024,37.992615,-21.555857,1.7998357,39.23167,-19.764578,0.38246906,42.13012,-18.62808,-0.8296357,42.819714,-16.600975,-2.8156896,43.464237
6,-23.489983,3.4857771,37.992615,-21.555212,1.7920955,39.230217,-19.763594,0.37859288,42.129704,-18.626614,-0.8304416,42.82036,-16.598164,-2.8130012,43.45796
7,-23.49069,3.485845,37.992626,-21.555634,1.8002325,39.230164,-19.763653,0.38254184,42.128498,-18.627954,-0.8299532,42.821518,-16.596878,-2.8125093,43.455425
8,-23.492205,3.4861727,37.99032,-21.556921,1.8000699,39.227978,-19.762894,0.38095573,42.12477,-18.626558,-0.8292386,42.81605,-16.596916,-2.8099706,43.451866
9,-23.49133,3.4850175,37.987705,-21.557207,1.8015649,39.232353,-19.761671,0.38348782,42.125725,-18.626451,-0.8285257,42.814373,-16.598303,-2.8094063,43.45985
10,-23.489752,3.4811573,37.9879,-21.556171,1.7992611,39.230045,-19.762045,0.37868577,42.125797,-18.626417,-0.82983345,42.817074,-16.596102,-2.8089635,43.456448
11,-23.489756,3.4800787,37.98736,-21.555033,1.7998596,39.230133,-19.761564,0.38157058,42.123043,-18.625881,-0.8279152,42.81397,-16.595318,-2.8064227,43.45439
12,-23.487928,3.4752884,37.98584,-21.552082,1.7957678,39.23252,-19.758768,0.38284323,42.137535,-18.622704,-0.82375455,42.80805,-16.590628,-2.7970011,43.457497
13,-23.479414,3.4715252,37.98814,-21.536514,1.7993143,39.22599,-19.74306,0.38580316,42.13851,-18.611816,-0.8174033,42.81536,-16.585567,-2.792573,43.462757
14,-23.47486,3.4603896,38.017784,-21.536612,1.7948563,39.223835,-19.742773,0.38528356,42.1373,-18.613646,-0.81718147,42.819294,-16.582327,-2.7890346,43.45955
15,-23.479502,3.45173,38.020313,-21.539753,1.7846508,39.22666,-19.746965,0.38256565,42.1423,-18.614607,-0.82285595,42.82327,-16.5862,-2.7933536,43.46143
16,-23.479656,3.4416118,38.022053,-21.543098,1.7809222,39.226543,-19.750965,0.37613934,42.14697,-18.616447,-0.82749355,42.826595,-16.588667,-2.7966697,43.465725
17,-23.48674,3.429694,38.022053,-21.550049,1.7650603,39.22948,-19.751038,0.36602548,42.142197,-18.61969,-0.8354683,42.829132,-16.593567,-2.8061936,43.470955
