timestamp,euler1,euler2
134639896225,"(0.72265625, -0.66064453125, -0.2032470703125, 0.0003662109375)","(0.0, 0.0, 0.0, 0.0)"
134639907445,"(0.72265625, -0.66064453125, -0.2032470703125, 0.0003662109375)","(0.0, 0.0, 0.0, 0.0)"
134639921252,"(0.72265625, -0.66064453125, -0.20318603515625, 0.00042724609375)","(0.0, 0.0, 0.0, 0.0)"
134639933102,"(0.72265625, -0.66070556640625, -0.20318603515625, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
134639944328,"(0.72265625, -0.66070556640625, -0.203125, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
134639953968,"(0.72265625, -0.66070556640625, -0.203125, 0.00054931640625)","(1.0, 0.0, 0.00018310546875, 0.0)"
134639965962,"(0.72265625, -0.66070556640625, -0.203125, 0.00054931640625)","(1.0, 0.0, 0.000244140625, 0.0)"
134639976114,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.00054931640625)","(1.0, 0.0, 0.000244140625, 0.0)"
134639986751,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(1.0, 0.0, 0.000244140625, 0.0)"
134639995572,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(1.0, 0.0, 0.000244140625, 0.0)"
134640000823,"(0.72265625, 1.33929443359375, -0.20306396484375, 0.0006103515625)","(1.0, 0.0, 0.000244140625, 0.0)"
134640005098,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(1.0, 0.0, 0.000244140625, 0.0)"
134640012241,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(0.78399658203125, 0.1171875, 0.60955810546875, 0.0)"
134640015817,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(0.78399658203125, 0.1171875, 0.60955810546875, 0.0)"
134640023203,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(0.783935546875, 0.1171875, 0.609619140625, 6.103515625e-05)"
134640026675,"(0.72265625, -0.66070556640625, -0.20306396484375, 0.0006103515625)","(0.783935546875, 0.1171875, 0.609619140625, 6.103515625e-05)"
134640034417,"(0.72265625, -0.66070556640625, -0.2030029296875, 0.0006103515625)","(0.783935546875, 0.1171875, 0.60968017578125, 6.103515625e-05)"
134640038407,"(0.72265625, -0.66070556640625, -0.2030029296875, 0.0006103515625)","(0.783935546875, 0.1171875, 0.60968017578125, 6.103515625e-05)"
134640044757,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640048191,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640054527,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640059019,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640064834,"(-1.27734375, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640070107,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640075061,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.78387451171875, 0.1171875, 0.6097412109375, 6.103515625e-05)"
134640080916,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640085380,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640089958,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640095195,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640098588,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640104617,"(0.72265625, -0.6685791015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640109697,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640115160,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
134640121039,"(0.72265625, -0.6607666015625, -0.20294189453125, 0.00067138671875)","(0.7838134765625, 0.1171875, 0.60980224609375, 6.103515625e-05)"
