scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-26.786789,6.3357925,34.493156,-24.990614,4.732923,35.894928,-23.508629,2.4481351,38.63107,-21.906921,0.17943437,40.644787,-20.511932,-1.091673,42.2376
1,-26.789478,6.3245244,34.48826,-24.998089,4.7174163,35.89054,-23.50496,2.4372437,38.633358,-21.903166,0.17172642,40.64568,-20.511534,-1.0998253,42.23889
2,-26.77123,6.3222775,34.510227,-24.973866,4.7132583,35.891773,-23.497366,2.4376006,38.658,-21.89085,0.17011401,40.65527,-20.497272,-1.10849,42.246254
3,-26.758345,6.314898,34.522778,-24.951233,4.6951566,35.892746,-23.482174,2.4306471,38.675133,-21.878973,0.16965532,40.659687,-20.487684,-1.1075064,42.244476
4,-26.74668,6.316895,34.54973,-24.93764,4.700408,35.89352,-23.471897,2.4350278,38.68532,-21.863523,0.17190845,40.661194,-20.479994,-1.1094481,42.25756
5,-26.73045,6.310082,34.551674,-24.928633,4.6924434,35.907566,-23.460115,2.4312255,38.696575,-21.852394,0.16884443,40.673553,-20.4675,-1.1099637,42.271442
6,-26.735249,6.288931,34.543926,-24.929802,4.678292,35.91672,-23.460445,2.4238105,38.700706,-21.85309,0.17243181,40.67409,-20.469162,-1.1142578,42.270702
7,-26.740917,6.2859015,34.540752,-24.935812,4.6777377,35.910534,-23.462784,2.4255793,38.707706,-21.863285,0.17728345,40.68712,-20.47259,-1.1140833,42.260807
8,-26.735464,6.3088775,34.551502,-24.934149,4.6907544,35.90294,-23.464031,2.4368856,38.702854,-21.8715,0.17778502,40.678967,-20.482393,-1.1112767,42.268703
9,-26.727203,6.325528,34.563374,-24.926804,4.7027545,35.905106,-23.455805,2.4441347,38.694798,-21.867712,0.18490998,40.679745,-20.4793,-1.1039438,42.261738
10,-26.705055,6.330781,34.550945,-24.919916,4.7072496,35.905186,-23.447552,2.450264,38.692993,-21.86057,0.18672618,40.672527,-20.47626,-1.0983589,42.260757
11,-26.70945,6.3376284,34.555614,-24.921612,4.7128186,35.905716,-23.442045,2.456993,38.69547,-21.866245,0.19500603,40.67985,-20.477026,-1.0932987,42.26243
12,-26.7014,6.3434076,34.545517,-24.923983,4.725213,35.907413,-23.432644,2.4685764,38.681217,-21.865063,0.19875878,40.672173,-20.479557,-1.0802783,42.25272
13,-26.695156,6.3380713,34.540474,-24.917685,4.7219377,35.92081,-23.42362,2.4735885,38.68958,-21.864985,0.20348342,40.683594,-20.479303,-1.079461,42.256165
14,-26.688879,6.3275533,34.53908,-24.90784,4.7117224,35.932556,-23.420828,2.4767134,38.71069,-21.868685,0.20504314,40.700405,-20.486086,-1.0804075,42.2764
15,-26.689274,6.3091063,34.546947,-24.90837,4.690297,35.942406,-23.444174,2.457938,38.747044,-21.89047,0.20078982,40.712265,-20.503145,-1.0994786,42.283966
16,-26.702715,6.242334,34.550636,-24.93075,4.6465526,35.9672,-23.468853,2.4299376,38.769188,-21.91875,0.1805384,40.72987,-20.54574,-1.1413702,42.310974
17,-26.704967,6.188111,34.550026,-24.941322,4.5954375,35.97552,-23.481852,2.4052708,38.811462,-21.928638,0.16450195,40.75747,-20.564104,-1.1637262,42.33805
