timestamp,euler1,euler2
135119225190,"(0.72430419921875, -0.6187744140625, -0.30413818359375, 0.00250244140625)","(0.0, 0.0, 0.0, 0.0)"
135119235851,"(0.72430419921875, -0.6187744140625, -0.3040771484375, 0.0025634765625)","(0.0, 0.0, 0.0, 0.0)"
135119247986,"(0.72430419921875, -0.6187744140625, -0.30401611328125, 0.00262451171875)","(0.0, 0.0, 0.0, 0.0)"
135119258680,"(0.724365234375, -0.6187744140625, -0.30401611328125, 0.002685546875)","(0.0, 0.0, 0.0, 0.0)"
135119269683,"(0.724365234375, -0.6187744140625, -0.30389404296875, 0.00274658203125)","(0.0, 0.0, 0.0, 0.0)"
135119279942,"(0.73223876953125, -0.6187744140625, -0.3038330078125, 0.00286865234375)","(1.0, 0.0, 0.00048828125, 0.0)"
135119289623,"(0.7322998046875, -0.61871337890625, -0.3038330078125, 0.0029296875)","(1.0078125, 0.0, 0.0006103515625, 0.0)"
135119297028,"(0.7322998046875, -0.61871337890625, -0.3038330078125, 0.0029296875)","(1.0078125, -6.103515625e-05, 0.000732421875, 0.0)"
135119305461,"(0.73236083984375, -0.61865234375, -0.30377197265625, 0.0030517578125)","(1.0078125, -0.0001220703125, 0.000732421875, 0.0)"
135119316855,"(0.72454833984375, -0.61865234375, -0.30377197265625, 0.0030517578125)","(1.0078125, -0.00018310546875, 0.00079345703125, 0.0)"
135119326330,"(0.73236083984375, -0.61865234375, -0.30377197265625, 0.0030517578125)","(1.0, -0.00018310546875, 0.00079345703125, 0.0)"
135119334193,"(0.724609375, -0.61865234375, -0.3037109375, 0.00311279296875)","(0.78057861328125, 0.02545166015625, 0.6341552734375, 0.0001220703125)"
135119345732,"(0.724609375, -0.61865234375, -0.30364990234375, 0.003173828125)","(0.780517578125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119354904,"(0.724609375, -0.61871337890625, -0.3035888671875, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119364843,"(0.724609375, -0.61871337890625, -0.3035888671875, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119374067,"(0.732421875, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119382924,"(0.724609375, -0.61865234375, -0.3035888671875, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119389781,"(0.724609375, -0.61871337890625, -0.3035888671875, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119395319,"(0.724609375, -0.61871337890625, -0.3035888671875, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119403682,"(0.724609375, -0.61871337890625, -0.30352783203125, 0.00323486328125)","(0.772705078125, 0.02545166015625, 0.63427734375, 0.0001220703125)"
135119411682,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.0255126953125, 0.63427734375, 0.0001220703125)"
135119416785,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.0255126953125, 0.63427734375, 0.00018310546875)"
135119424393,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.0255126953125, 0.63427734375, 0.00018310546875)"
135119431541,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.02557373046875, 0.63427734375, 0.000244140625)"
135119436542,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.02557373046875, 0.63427734375, 0.000244140625)"
135119444361,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.772705078125, 0.025634765625, 0.63427734375, 0.00030517578125)"
135119452012,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.77264404296875, 0.025634765625, 0.63433837890625, 0.0003662109375)"
135119457433,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.7725830078125, 0.025634765625, 0.6343994140625, 0.0003662109375)"
135119464831,"(0.724609375, -0.61865234375, -0.3035888671875, 0.003173828125)","(0.7725830078125, 0.025634765625, 0.6343994140625, 0.0003662109375)"
135119472965,"(0.724609375, -0.61865234375, -0.30352783203125, 0.00323486328125)","(0.7724609375, 0.02569580078125, 0.634521484375, 0.0003662109375)"
135119479243,"(0.732421875, -0.61865234375, -0.30352783203125, 0.00323486328125)","(0.78021240234375, 0.02569580078125, 0.6346435546875, 0.0003662109375)"
135119486249,"(0.732421875, -0.61871337890625, -0.303466796875, 0.0032958984375)","(0.78009033203125, 0.025634765625, 0.634765625, 0.0003662109375)"
135119495619,"(0.73248291015625, -0.61871337890625, -0.3033447265625, 0.00335693359375)","(0.78009033203125, 0.025634765625, 0.634765625, 0.0003662109375)"
135119504921,"(0.72467041015625, -0.6187744140625, -0.30328369140625, 0.00347900390625)","(0.772216796875, 0.025634765625, 0.6348876953125, 0.00018310546875)"
135119514619,"(0.73248291015625, -0.61883544921875, -0.30322265625, 0.0035400390625)","(0.7799072265625, 0.02557373046875, 0.63494873046875, 0.0001220703125)"
135119523902,"(0.73248291015625, -0.61883544921875, -0.3031005859375, 0.0035400390625)","(0.77197265625, 0.02557373046875, 0.6351318359375, 0.0001220703125)"
135119531363,"(0.7325439453125, -0.618896484375, -0.30291748046875, 0.003662109375)","(0.7796630859375, 0.02557373046875, 0.63525390625, 0.0001220703125)"
135119538237,"(0.7325439453125, -0.618896484375, -0.30291748046875, 0.003662109375)","(0.77960205078125, 0.02557373046875, 0.6353759765625, 0.00018310546875)"
135119546268,"(0.7247314453125, -0.61895751953125, -0.30279541015625, 0.0037841796875)","(0.77178955078125, 0.02557373046875, 0.6353759765625, 0.00018310546875)"
135119555177,"(0.7247314453125, -0.61895751953125, -0.30267333984375, 0.00384521484375)","(0.77166748046875, 0.02557373046875, 0.63555908203125, 0.00018310546875)"
135119565459,"(0.7247314453125, -0.6190185546875, -0.3026123046875, 0.00396728515625)","(0.7794189453125, 0.0255126953125, 0.6356201171875, 0.00018310546875)"
135119574442,"(0.7325439453125, -0.6190185546875, -0.30255126953125, 0.0040283203125)","(0.77935791015625, 0.0255126953125, 0.63568115234375, 0.00018310546875)"
135119581403,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.779296875, 0.0255126953125, 0.6357421875, 0.000244140625)"
135119587255,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77142333984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119595517,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77923583984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119604511,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77923583984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119613378,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77923583984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119619619,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77923583984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119626443,"(0.7325439453125, -0.61907958984375, -0.302490234375, 0.00408935546875)","(0.77142333984375, 0.0255126953125, 0.63580322265625, 0.000244140625)"
135119634440,"(0.7325439453125, -0.6190185546875, -0.30255126953125, 0.0040283203125)","(0.779296875, 0.0255126953125, 0.6357421875, 0.000244140625)"
135119643130,"(0.7325439453125, -0.6190185546875, -0.3026123046875, 0.00396728515625)","(0.77935791015625, 0.0255126953125, 0.6356201171875, 0.000244140625)"
135119650948,"(0.7325439453125, -0.61895751953125, -0.302734375, 0.0037841796875)","(0.77947998046875, 0.0255126953125, 0.635498046875, 0.000244140625)"
135119657532,"(0.7325439453125, -0.61895751953125, -0.302734375, 0.0037841796875)","(0.77166748046875, 0.0255126953125, 0.635498046875, 0.000244140625)"
135119665766,"(0.7325439453125, -0.618896484375, -0.3028564453125, 0.00360107421875)","(0.7796630859375, 0.0255126953125, 0.63531494140625, 0.000244140625)"
135119673238,"(0.73248291015625, -0.61883544921875, -0.30303955078125, 0.00341796875)","(0.77978515625, 0.0255126953125, 0.6351318359375, 0.000244140625)"
135119679526,"(0.73248291015625, -0.61883544921875, -0.30303955078125, 0.00341796875)","(0.77978515625, 0.0255126953125, 0.6351318359375, 0.000244140625)"
135119685495,"(0.73248291015625, -0.61883544921875, -0.30322265625, 0.00323486328125)","(0.77996826171875, 0.0255126953125, 0.6348876953125, 0.000244140625)"
135119693492,"(0.732421875, -0.61883544921875, -0.3033447265625, 0.00299072265625)","(0.7801513671875, 0.0255126953125, 0.63470458984375, 0.000244140625)"
135119699083,"(0.7322998046875, -0.61883544921875, -0.3035888671875, 0.0028076171875)","(0.78045654296875, 0.0255126953125, 0.63433837890625, 0.000244140625)"
135119706383,"(0.7322998046875, -0.61883544921875, -0.3035888671875, 0.0028076171875)","(0.78045654296875, 0.0255126953125, 0.63433837890625, 0.000244140625)"
135119715560,"(0.73211669921875, -0.61883544921875, -0.303955078125, 0.00244140625)","(0.78082275390625, 0.02545166015625, 0.6339111328125, 0.000244140625)"
135119723092,"(0.73193359375, -0.618896484375, -0.30438232421875, 0.00201416015625)","(0.7734375, 0.025390625, 0.63336181640625, 0.000244140625)"
135119728622,"(0.73193359375, -0.618896484375, -0.30438232421875, 0.00201416015625)","(0.7734375, 0.025390625, 0.63336181640625, 0.000244140625)"
135119735143,"(0.731689453125, -0.618896484375, -0.30499267578125, 0.0015869140625)","(0.77398681640625, 0.02532958984375, 0.6326904296875, 0.00030517578125)"
135119741785,"(0.73138427734375, -0.618896484375, -0.3055419921875, 0.0010986328125)","(0.7745361328125, 0.02520751953125, 0.632080078125, 0.00042724609375)"
135119748031,"(0.73138427734375, -0.618896484375, -0.3055419921875, 0.0010986328125)","(0.7750244140625, 0.025146484375, 0.63140869140625, 0.00042724609375)"
135119756130,"(0.73114013671875, -0.61895751953125, -0.30609130859375, 0.00067138671875)","(0.7750244140625, 0.025146484375, 0.63140869140625, 0.00042724609375)"
135119765075,"(0.73089599609375, -0.61895751953125, -0.306640625, 0.00018310546875)","(0.77557373046875, 0.025146484375, 0.6307373046875, 0.00042724609375)"
135119772178,"(0.73065185546875, -0.61895751953125, -0.30718994140625, -0.00030517578125)","(0.77618408203125, 0.025146484375, 0.6300048828125, 0.0003662109375)"
135119777749,"(0.73065185546875, -0.61895751953125, -0.30718994140625, -0.00030517578125)","(0.77618408203125, 0.025146484375, 0.6300048828125, 0.0003662109375)"
135119783921,"(0.73040771484375, -0.618896484375, -0.307861328125, -0.0008544921875)","(0.77679443359375, 0.02520751953125, 0.62921142578125, 0.0003662109375)"
135119790237,"(0.72259521484375, -0.618896484375, -0.307861328125, -0.0008544921875)","(0.77740478515625, 0.0252685546875, 0.6285400390625, 0.00030517578125)"
135119796471,"(0.73016357421875, -0.61883544921875, -0.30859375, -0.00140380859375)","(0.77740478515625, 0.0252685546875, 0.6285400390625, 0.00030517578125)"
135119804891,"(0.72998046875, -0.6187744140625, -0.30926513671875, -0.00201416015625)","(0.7779541015625, 0.0252685546875, 0.6278076171875, 0.00030517578125)"
135119813178,"(0.729736328125, -0.61865234375, -0.30999755859375, -0.0025634765625)","(0.778564453125, 0.0252685546875, 0.6270751953125, 0.000244140625)"
135119818866,"(0.729736328125, -0.61865234375, -0.30999755859375, -0.0025634765625)","(0.77911376953125, 0.02520751953125, 0.62640380859375, 0.00030517578125)"
135119826312,"(0.72955322265625, -0.61846923828125, -0.31072998046875, -0.0030517578125)","(0.77911376953125, 0.02520751953125, 0.62640380859375, 0.00030517578125)"
135119832038,"(0.72943115234375, -0.61834716796875, -0.3114013671875, -0.0035400390625)","(0.77960205078125, 0.02508544921875, 0.625732421875, 0.0003662109375)"
135119838464,"(0.72943115234375, -0.61834716796875, -0.3114013671875, -0.0035400390625)","(0.77960205078125, 0.02508544921875, 0.625732421875, 0.0003662109375)"
135119845404,"(0.729248046875, -0.6181640625, -0.31201171875, -0.00396728515625)","(0.78009033203125, 0.02496337890625, 0.62518310546875, 0.00048828125)"
135119853293,"(0.7291259765625, -0.6180419921875, -0.31256103515625, -0.00433349609375)","(0.780517578125, 0.0247802734375, 0.62469482421875, 0.0006103515625)"
135119860379,"(0.72906494140625, -0.617919921875, -0.31304931640625, -0.00469970703125)","(0.78082275390625, 0.02459716796875, 0.624267578125, 0.000732421875)"
135119867349,"(0.72906494140625, -0.617919921875, -0.31304931640625, -0.00469970703125)","(0.78082275390625, 0.02459716796875, 0.624267578125, 0.000732421875)"
135119875104,"(0.72894287109375, -0.6177978515625, -0.31341552734375, -0.0050048828125)","(0.78106689453125, 0.0244140625, 0.62396240234375, 0.000732421875)"
135119881645,"(0.7288818359375, -0.6177978515625, -0.31365966796875, -0.0052490234375)","(0.78118896484375, 0.02423095703125, 0.62384033203125, 0.00067138671875)"
135119887588,"(0.7288818359375, -0.6177978515625, -0.31365966796875, -0.0052490234375)","(0.78118896484375, 0.02423095703125, 0.62384033203125, 0.00067138671875)"
135119895373,"(0.72882080078125, -0.6177978515625, -0.313720703125, -0.00537109375)","(0.7890625, 0.024169921875, 0.62371826171875, 0.00054931640625)"
135119903335,"(0.728759765625, -0.617919921875, -0.31378173828125, -0.00543212890625)","(0.78912353515625, 0.0240478515625, 0.62371826171875, 0.0003662109375)"
