scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-24.061857,5.495175,35.584286,-22.369379,3.6924477,36.98386,-21.18244,1.4302496,39.953968,-19.841713,-1.040159,41.969513,-18.4547,-2.4574604,43.84777
1,-24.061108,5.497712,35.583,-22.367733,3.6925528,36.983925,-21.182648,1.4304793,39.95278,-19.841957,-1.040421,41.96973,-18.45445,-2.457289,43.847816
2,-24.05606,5.4978824,35.58744,-22.365465,3.69474,36.984615,-21.181108,1.4302357,39.951958,-19.841734,-1.0414578,41.97137,-18.454533,-2.4572418,43.847137
3,-24.054197,5.4976597,35.585136,-22.363415,3.6928732,36.98232,-21.176771,1.4306177,39.945404,-19.84001,-1.0416373,41.969353,-18.453419,-2.4585292,43.8509
4,-24.054026,5.4973693,35.585163,-22.36189,3.6910455,36.98301,-21.178257,1.4301544,39.952965,-19.838682,-1.0420071,41.967983,-18.45304,-2.4591422,43.85189
5,-24.051737,5.4942036,35.580467,-22.361034,3.6868412,36.979103,-21.17789,1.4260818,39.949978,-19.838608,-1.0451409,41.967827,-18.45282,-2.4613967,43.857834
6,-24.053885,5.4928136,35.57826,-22.36368,3.684017,36.979275,-21.178953,1.4248691,39.95158,-19.839111,-1.0470331,41.969193,-18.453442,-2.4617476,43.85538
7,-24.053091,5.4923987,35.577087,-22.363499,3.6848364,36.978954,-21.177488,1.4249305,39.949135,-19.83897,-1.0457925,41.96909,-18.454361,-2.4610512,43.85427
8,-24.052773,5.4919257,35.5765,-22.363169,3.6857562,36.978817,-21.17868,1.4267937,39.950115,-19.83855,-1.0451404,41.968132,-18.454296,-2.4610693,43.856506
9,-24.05338,5.4912286,35.581276,-22.364626,3.683641,36.981007,-21.17535,1.4236734,39.952385,-19.837934,-1.0446825,41.970524,-18.450365,-2.4592247,43.851677
10,-24.054018,5.490965,35.583794,-22.36598,3.6841488,36.983604,-21.174835,1.4236457,39.95251,-19.837934,-1.0445509,41.97042,-18.447529,-2.4582672,43.84983
11,-24.053772,5.490921,35.58499,-22.363829,3.6831236,36.983532,-21.174393,1.4233477,39.952095,-19.835411,-1.043587,41.969032,-18.44355,-2.4566212,43.85853
12,-24.053326,5.4896555,35.586407,-22.363749,3.6823838,36.983982,-21.174116,1.4235518,39.9516,-19.835466,-1.0435288,41.969345,-18.443169,-2.4560597,43.85785
13,-24.055273,5.4892735,35.587093,-22.365723,3.6822383,36.98238,-21.175066,1.4233396,39.953537,-19.835762,-1.0432848,41.970024,-18.44356,-2.4559414,43.857178
14,-24.05677,5.487772,35.58776,-22.367662,3.682052,36.98411,-21.178366,1.4236593,39.960377,-19.836294,-1.043492,41.97102,-18.444355,-2.4552107,43.858078
15,-24.061499,5.4889708,35.588257,-22.369465,3.6820905,36.983917,-21.178959,1.4240125,39.960674,-19.836977,-1.0431726,41.97262,-18.445082,-2.4552438,43.858784
16,-24.061441,5.4890733,35.58866,-22.37005,3.6821709,36.984783,-21.17822,1.4238422,39.95905,-19.837023,-1.0428097,41.972588,-18.444546,-2.4560256,43.857162
17,-24.063103,5.4894147,35.58166,-22.371964,3.684015,36.986885,-21.178905,1.4243557,39.960594,-19.838339,-1.0414535,41.968918,-18.445486,-2.455407,43.85622
