timestamp,quat1,quat2
135925002771,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
135925014267,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
135925024877,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
135925034774,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
135925044096,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.0, 0.0, 0.0, 0.0)"
135925053814,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925064567,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925074392,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925083684,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925093795,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925100599,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925104088,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(1.0, 0.0, 0.0, 0.0)"
135925110163,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925117070,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925121004,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925128288,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925132242,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925139224,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925143358,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925150253,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925154006,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925160378,"(0.718017578125, -0.66619873046875, -0.201416015625, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925166989,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925171108,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925178495,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925182009,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925189463,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
135925193512,"(0.718017578125, -0.66619873046875, -0.20147705078125, 0.00018310546875)","(0.7373046875, 0.0479736328125, 0.67388916015625, 0.0)"
