timestamp,quat1,quat2
140729028156,"(0.6107177734375, -0.72320556640625, -0.32244873046875, -0.0006103515625)","(0.0, 0.0, 0.0, 0.0)"
140729041106,"(0.6104736328125, -0.72332763671875, -0.3226318359375, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
140729053470,"(0.61041259765625, -0.723388671875, -0.32275390625, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
140729065043,"(0.6103515625, -0.723388671875, -0.32281494140625, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
140729076461,"(0.6103515625, -0.723388671875, -0.32281494140625, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
140729087097,"(0.61029052734375, -0.723388671875, -0.32281494140625, -0.00067138671875)","(1.0, 6.103515625e-05, 0.0, -0.00054931640625)"
140729098893,"(0.6103515625, -0.723388671875, -0.32275390625, -0.000732421875)","(1.0, 0.00018310546875, 0.0001220703125, -0.00042724609375)"
140729109112,"(0.61041259765625, -0.723388671875, -0.32269287109375, -0.00079345703125)","(1.0, 0.000244140625, 0.00018310546875, -0.00018310546875)"
140729119811,"(0.610595703125, -0.72332763671875, -0.3223876953125, -0.00079345703125)","(1.0, 0.0003662109375, 0.00030517578125, 0.0)"
140729128030,"(0.610595703125, -0.72332763671875, -0.3223876953125, -0.00079345703125)","(1.0, 0.0003662109375, 0.00030517578125, 0.0)"
140729135369,"(0.61077880859375, -0.72332763671875, -0.32220458984375, -0.0008544921875)","(1.0, 0.00048828125, 0.00042724609375, 0.000244140625)"
140729142432,"(0.61090087890625, -0.7232666015625, -0.322021484375, -0.0008544921875)","(0.77227783203125, 0.1065673828125, 0.6263427734375, 0.0)"
140729147971,"(0.61090087890625, -0.7232666015625, -0.322021484375, -0.0008544921875)","(0.77227783203125, 0.1065673828125, 0.6263427734375, 0.0)"
140729156323,"(0.61102294921875, -0.7232666015625, -0.32183837890625, -0.00091552734375)","(0.772216796875, 0.10675048828125, 0.62628173828125, 6.103515625e-05)"
140729165337,"(0.611083984375, -0.7232666015625, -0.32171630859375, -0.00091552734375)","(0.772216796875, 0.10693359375, 0.62628173828125, 0.00018310546875)"
140729171813,"(0.6112060546875, -0.72320556640625, -0.32159423828125, -0.0009765625)","(0.772216796875, 0.10699462890625, 0.62628173828125, 0.00030517578125)"
140729177841,"(0.6112060546875, -0.72320556640625, -0.32159423828125, -0.0009765625)","(0.772216796875, 0.10699462890625, 0.62628173828125, 0.00030517578125)"
140729185383,"(0.6112060546875, -0.72320556640625, -0.32147216796875, -0.00103759765625)","(0.772216796875, 0.10711669921875, 0.62628173828125, 0.0003662109375)"
140729191107,"(0.61126708984375, -0.72320556640625, -0.32147216796875, -0.00115966796875)","(0.772216796875, 0.107177734375, 0.626220703125, 0.00042724609375)"
140729197839,"(0.61126708984375, -0.72320556640625, -0.32147216796875, -0.00115966796875)","(0.772216796875, 0.107177734375, 0.626220703125, 0.00042724609375)"
140729206623,"(0.61126708984375, -0.72320556640625, -0.32147216796875, -0.00115966796875)","(0.77227783203125, 0.107177734375, 0.62615966796875, 0.00048828125)"
140729215254,"(0.61126708984375, -0.72314453125, -0.321533203125, -0.001220703125)","(0.77227783203125, 0.10723876953125, 0.62615966796875, 0.00054931640625)"
140729222405,"(0.61126708984375, -0.72314453125, -0.321533203125, -0.001220703125)","(0.78009033203125, 0.10723876953125, 0.62615966796875, 0.00054931640625)"
140729228726,"(0.61907958984375, -0.72314453125, -0.321533203125, -0.001220703125)","(0.77227783203125, 0.10723876953125, 0.62615966796875, 0.00054931640625)"
140729237518,"(0.61907958984375, -0.72314453125, -0.321533203125, -0.001220703125)","(0.77227783203125, 0.10723876953125, 0.62615966796875, 0.00054931640625)"
140729246756,"(0.6190185546875, -0.72320556640625, -0.321533203125, -0.00128173828125)","(0.78009033203125, 0.10723876953125, 0.62615966796875, 0.00054931640625)"
140729256526,"(0.6190185546875, -0.72320556640625, -0.32159423828125, -0.0013427734375)","(0.78009033203125, 0.107177734375, 0.626220703125, 0.00048828125)"
140729265692,"(0.61895751953125, -0.7232666015625, -0.3216552734375, -0.00140380859375)","(0.78009033203125, 0.10711669921875, 0.62615966796875, 0.0003662109375)"
140729273910,"(0.61883544921875, -0.7232666015625, -0.32171630859375, -0.00146484375)","(0.7801513671875, 0.1070556640625, 0.62615966796875, 0.00030517578125)"
