scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-24.810339,3.399009,36.991974,-22.905628,1.7756445,38.393856,-21.15861,0.1846819,41.39797,-19.768946,-1.8416624,43.30122,-18.244474,-3.24314,44.992615
1,-24.812649,3.397361,36.994305,-22.908821,1.773336,38.394333,-21.159054,0.18391114,41.40056,-19.770706,-1.843392,43.300125,-18.246304,-3.2433732,44.9966
2,-24.813286,3.3964984,36.99418,-22.910028,1.7711583,38.395927,-21.16088,0.18157755,41.397682,-19.772806,-1.8454372,43.30281,-18.248331,-3.2442937,44.99298
3,-24.815058,3.3952072,36.99342,-22.91185,1.7675405,38.394073,-21.168442,0.17839013,41.41116,-19.776987,-1.848323,43.306084,-18.248863,-3.2463837,44.997643
4,-24.814615,3.3948734,36.992973,-22.912193,1.7691174,38.394592,-21.162994,0.17885856,41.40241,-19.776976,-1.8486637,43.30606,-18.25006,-3.2473068,45.000526
5,-24.81469,3.3976529,36.994286,-22.913328,1.770725,38.393723,-21.165537,0.17855111,41.407402,-19.778952,-1.8500689,43.307793,-18.255083,-3.2490587,44.999393
6,-24.814764,3.3994489,36.993347,-22.91349,1.7708938,38.392864,-21.164461,0.17815854,41.401043,-19.779663,-1.8506716,43.30781,-18.256184,-3.251233,45.003136
7,-24.814198,3.4000385,36.994877,-22.914045,1.7726029,38.391296,-21.166992,0.17797011,41.401447,-19.779623,-1.8507669,43.30751,-18.256308,-3.251105,45.003162
8,-24.814594,3.40029,36.993126,-22.915005,1.7723848,38.390854,-21.166794,0.17804307,41.400085,-19.78301,-1.8514022,43.306587,-18.256266,-3.2513235,45.003212
9,-24.81612,3.3996196,36.99446,-22.91675,1.7674358,38.38626,-21.167519,0.17577931,41.40112,-19.784092,-1.8534223,43.305668,-18.256718,-3.2536135,44.9949
10,-24.815939,3.399612,36.994484,-22.916973,1.76639,38.386803,-21.16972,0.17258807,41.396507,-19.78505,-1.8551712,43.306118,-18.258152,-3.2567983,45.000267
11,-24.817038,3.3976142,36.992085,-22.918283,1.7642957,38.385563,-21.170954,0.17035046,41.397385,-19.786089,-1.8573772,43.306725,-18.261295,-3.2596197,44.999214
12,-24.818497,3.3961308,36.99165,-22.91953,1.7625209,38.383556,-21.172197,0.16948308,41.399906,-19.787119,-1.8597442,43.307335,-18.262028,-3.263042,45.00037
13,-24.816353,3.395147,36.991814,-22.919502,1.7595239,38.385826,-21.174335,0.16563006,41.404602,-19.785772,-1.8620689,43.30696,-18.260906,-3.2626219,44.99996
14,-24.816082,3.3949127,36.9924,-22.919931,1.7583984,38.38671,-21.174332,0.16570145,41.40401,-19.78503,-1.8635926,43.30592,-18.259819,-3.264282,45.000694
15,-24.815485,3.394747,36.99171,-22.919308,1.758356,38.387478,-21.17334,0.16399506,41.40843,-19.784418,-1.8647543,43.307995,-18.257097,-3.2661588,44.997242
16,-24.814981,3.395079,36.994473,-22.919146,1.7587581,38.38771,-21.173431,0.16394542,41.408676,-19.78436,-1.8649371,43.30816,-18.256462,-3.266001,44.998867
17,-24.815214,3.3944268,36.992756,-22.918606,1.7584273,38.389915,-21.173246,0.16348761,41.411415,-19.78338,-1.8636922,43.307106,-18.255116,-3.2627444,44.995144
