timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
095658700724,0,0,0,12678927
095658700724,1502,0,0,12683706
095658700724,308,0,0,12692239
095658700724,5428,0,0,12683877
095658700724,2526,0,0,12684559
095658723783,5257,0,0,12683194
095658723783,5086,0,0,12672442
095658723783,0,0,0,12678415
095658723783,3038,0,0,12678757
095658723783,0,0,0,12683706
095658730225,0,0,0,12680293
095658730225,0,0,0,12683877
095658730225,3380,0,0,12680805
095658730225,3550,0,0,12679269
095658730225,0,0,0,12675855
095658735974,2356,0,0,12670394
095658735974,137,0,0,12689508
095658735974,0,0,0,12688314
095658735974,0,0,0,12684047
095658735974,1673,0,0,12692068
095658744331,0,0,0,12681658
095658744331,649,0,0,12683365
095658744331,4916,0,0,12683535
095658744331,0,0,0,12685071
095658744331,8158,0,0,12694458
095658750999,6964,0,0,12679269
095658750999,6281,0,0,12677562
095658750999,8329,0,0,12686095
095658750999,0,0,0,12684559
095658750999,1502,0,0,12689338
095658758026,308,0,0,12679098
095658758026,0,0,0,12688996
095658758026,0,0,0,12679269
095658758026,308,0,0,12688996
095658758026,0,0,0,12684218
095658766302,0,0,0,12686436
095658766302,0,0,0,12680634
095658766302,0,0,0,12673466
095658766302,0,0,0,12684389
095658766302,820,0,0,12690020
095658772346,6452,0,0,12671759
095658772346,0,0,0,12686095
095658772346,1844,0,0,12675173
095658772346,478,0,0,12685924
095658772346,1502,0,0,12681999
095658780122,0,0,0,12680975
095658780122,4574,0,0,12683706
095658780122,1844,0,0,12688314
095658780122,5257,0,0,12678415
095658780122,0,0,0,12689508
095658786361,649,0,0,12681487
095658786361,0,0,0,12681487
095658786361,0,0,0,12680463
095658786361,0,0,0,12687290
095658786361,5769,0,0,12689679
095658794553,8670,0,0,12677562
095658794553,3380,0,0,12688655
095658794553,2014,0,0,12679610
095658794553,3380,0,0,12681146
095658794553,8158,0,0,12689167
095658801517,6964,0,0,12691215
095658801517,3038,0,0,12699066
095658801517,8500,0,0,12684218
095658801517,6281,0,0,12678757
095658801517,478,0,0,12684730
095658809157,0,0,0,12672613
095658809157,0,0,0,12674661
095658809157,0,0,0,12683194
095658809157,3380,0,0,12690703
095658809157,0,0,0,12688655
095658816117,2526,0,0,12682341
095658816117,0,0,0,12677733
095658816117,0,0,0,12689679
095658816117,0,0,0,12678757
095658816117,0,0,0,12678415
095658823149,6793,0,0,12687119
095658823149,0,0,0,12687631
095658823149,4916,0,0,12683023
095658823149,0,0,0,12686607
095658823149,0,0,0,12688826
095658830314,0,0,0,12693092
095658830314,0,0,0,12677050
095658830314,6281,0,0,12686607
095658830314,3721,0,0,12696847
095658830314,4574,0,0,12692068
095658834871,0,0,0,12686436
095658834871,0,0,0,12687119
095658834871,0,0,0,12681317
095658834871,6110,0,0,12694970
095658834871,0,0,0,12684559
095658842140,3038,0,0,12695823
095658842140,0,0,0,12688314
095658842140,1502,0,0,12694116
095658842140,1673,0,0,12678586
095658842140,9012,0,0,12690020
095658849120,7988,0,0,12699748
095658849120,308,0,0,12698724
095658849120,9012,0,0,12697700
095658849120,6281,0,0,12698212
095658849120,1161,0,0,12686095
095658856507,820,0,0,12685924
095658856507,4745,0,0,12682341
095658856507,137,0,0,12689338
095658856507,3209,0,0,12691044
095658856507,0,0,0,12684047
095658863492,7134,0,0,12694287
095658863492,0,0,0,12691044
095658863492,1844,0,0,12685412
095658863492,1332,0,0,12692580
095658863492,0,0,0,12682682
095658870711,0,0,0,12692580
095658870711,2185,0,0,12695482
095658870711,308,0,0,12684218
095658870711,3892,0,0,12685754
095658870711,0,0,0,12694628
095658877838,0,0,0,12686436
095658877838,0,0,0,12696164
095658877838,4404,0,0,12701796
095658877838,0,0,0,12698383
095658877838,3550,0,0,12681999
095658884959,0,0,0,12684900
095658884959,137,0,0,12686948
095658884959,5940,0,0,12694116
095658884959,478,0,0,12688314
095658884959,4233,0,0,12685924
095658892849,0,0,0,12694287
095658892849,7988,0,0,12696847
095658892849,3380,0,0,12686266
095658892849,0,0,0,12683365
095658892849,11230,0,0,12691044
095658899261,0,0,0,12687631
095658899261,0,0,0,12690191
095658899261,7476,0,0,12695652
095658899261,7134,0,0,12694799
095658899261,1332,0,0,12692580
095658906437,4233,0,0,12683706
095658906437,2697,0,0,12688996
095658906437,0,0,0,12686778
095658906437,2014,0,0,12687802
095658906437,5769,0,0,12684047
095658913769,0,0,0,12692751
095658913769,1844,0,0,12685071
095658913769,1161,0,0,12675514
095658913769,0,0,0,12693434
095658913769,3550,0,0,12687460
095658920784,4574,0,0,12680975
095658920784,0,0,0,12687119
095658920784,308,0,0,12692580
095658920784,0,0,0,12683877
095658920784,0,0,0,12693092
095658927880,7646,0,0,12679610
095658927880,0,0,0,12686095
095658927880,2014,0,0,12694116
095658927880,1502,0,0,12686778
095658927880,5257,0,0,12678074
095658935036,649,0,0,12685583
095658935036,0,0,0,12691215
095658935036,3209,0,0,12693604
095658935036,820,0,0,12678415
095658935036,1161,0,0,12683194
095658942419,0,0,0,12693604
095658942419,5769,0,0,12684047
095658942419,7646,0,0,12694116
095658942419,0,0,0,12695994
095658942419,6622,0,0,12690191
095658949346,8841,0,0,12689338
095658949346,0,0,0,12696676
095658949346,4916,0,0,12701796
095658949346,5086,0,0,12692751
095658949346,5086,0,0,12696335
095658956756,2356,0,0,12690020
095658956756,0,0,0,12686095
095658956756,4745,0,0,12685924
095658956756,649,0,0,12683365
095658956756,3380,0,0,12691386
095658963696,1673,0,0,12675343
095658963696,0,0,0,12692068
095658963696,3038,0,0,12694116
095658963696,1161,0,0,12680293
095658963696,0,0,0,12692580
095658970878,0,0,0,12678245
095658970878,0,0,0,12687802
095658970878,0,0,0,12677562
095658970878,3892,0,0,12688996
095658970878,0,0,0,12682853
095658978329,5428,0,0,12694458
095658978329,5769,0,0,12676879
095658978329,0,0,0,12685583
095658978329,0,0,0,12686948
095658978329,478,0,0,12690362
095658985303,2185,0,0,12691215
095658985303,0,0,0,12693434
095658985303,1332,0,0,12672954
095658985303,2526,0,0,12680293
095658985303,0,0,0,12691727
095658992438,1844,0,0,12694799
095658992438,8500,0,0,12685412
095658992438,0,0,0,12696335
