timestamp,euler1,euler2
124432565167,"(0.557373046875, -0.75152587890625, -0.35247802734375, -0.01788330078125)","(0.0, 0.0, 0.0, 0.0)"
124432575445,"(0.5574951171875, -0.75146484375, -0.35235595703125, -0.0174560546875)","(0.0, 0.0, 0.0, 0.0)"
124432585673,"(0.55767822265625, -0.75140380859375, -0.352294921875, -0.01708984375)","(0.0, 0.0, 0.0, 0.0)"
124432595676,"(0.55792236328125, -0.75128173828125, -0.35223388671875, -0.01629638671875)","(0.0, 0.0, 0.0, 0.0)"
124432606498,"(0.5579833984375, -0.75115966796875, -0.352294921875, -0.01593017578125)","(0.0, 0.0, 0.0, 0.0)"
124432616040,"(0.5579833984375, -0.75115966796875, -0.352294921875, -0.01593017578125)","(1.0, -0.0003662109375, 0.00115966796875, 0.0001220703125)"
124432625191,"(0.55804443359375, -0.75115966796875, -0.35235595703125, -0.01556396484375)","(1.0, -0.00042724609375, 0.0013427734375, -6.103515625e-05)"
124432634767,"(0.55804443359375, -0.7510986328125, -0.35235595703125, -0.01513671875)","(1.0, -0.00042724609375, 0.00152587890625, -0.000244140625)"
124432645127,"(0.55804443359375, -0.75115966796875, -0.35235595703125, -0.0146484375)","(1.0, -0.00042724609375, 0.001708984375, -0.00048828125)"
124432655686,"(0.5579833984375, -0.751220703125, -0.35235595703125, -0.01422119140625)","(1.0, -0.00042724609375, 0.0018310546875, -0.00067138671875)"
124432665596,"(0.55792236328125, -0.75128173828125, -0.35235595703125, -0.0137939453125)","(1.0, -0.00042724609375, 0.0018310546875, -0.00067138671875)"
124432672364,"(0.557861328125, -0.7513427734375, -0.35235595703125, -0.0133056640625)","(1.0, -0.00042724609375, 0.001953125, -0.00091552734375)"
124432676269,"(0.557861328125, -0.7513427734375, -0.35235595703125, -0.0133056640625)","(1.0, -0.00042724609375, 0.001953125, -0.00091552734375)"
124432681437,"(0.55780029296875, -0.7513427734375, -0.3524169921875, -0.0128173828125)","(0.7781982421875, 0.1627197265625, 0.6065673828125, -0.000244140625)"
124432685179,"(0.55780029296875, -0.7513427734375, -0.3524169921875, -0.0128173828125)","(0.7781982421875, 0.1627197265625, 0.6065673828125, -0.000244140625)"
124432692078,"(0.55767822265625, -0.7513427734375, -0.3525390625, -0.01239013671875)","(0.7781982421875, 0.16253662109375, 0.60662841796875, -0.00030517578125)"
124432696092,"(0.55767822265625, -0.7513427734375, -0.3525390625, -0.01239013671875)","(0.7781982421875, 0.16253662109375, 0.60662841796875, -0.00030517578125)"
124432702802,"(0.5576171875, -0.75140380859375, -0.35260009765625, -0.011962890625)","(0.77813720703125, 0.16229248046875, 0.60675048828125, -0.0003662109375)"
124432707258,"(0.5576171875, -0.75140380859375, -0.35260009765625, -0.011962890625)","(0.77813720703125, 0.16229248046875, 0.60675048828125, -0.0003662109375)"
124432713321,"(0.55755615234375, -0.75140380859375, -0.35272216796875, -0.01153564453125)","(0.77813720703125, 0.16204833984375, 0.60687255859375, -0.00042724609375)"
124432717128,"(0.55755615234375, -0.75140380859375, -0.35272216796875, -0.01153564453125)","(0.77813720703125, 0.16204833984375, 0.60687255859375, -0.00042724609375)"
124432722541,"(0.5574951171875, -0.75140380859375, -0.35284423828125, -0.0111083984375)","(0.778076171875, 0.1617431640625, 0.60699462890625, -0.00042724609375)"
124432726054,"(0.5574951171875, -0.75140380859375, -0.35284423828125, -0.0111083984375)","(0.778076171875, 0.1617431640625, 0.60699462890625, -0.00042724609375)"
124432731410,"(0.557373046875, -0.75140380859375, -0.35302734375, -0.01068115234375)","(0.77801513671875, 0.16143798828125, 0.60711669921875, -0.00048828125)"
124432734958,"(0.557373046875, -0.75140380859375, -0.35302734375, -0.01068115234375)","(0.77801513671875, 0.16143798828125, 0.60711669921875, -0.00048828125)"
124432742030,"(0.55731201171875, -0.75140380859375, -0.3531494140625, -0.01025390625)","(0.77801513671875, 0.1611328125, 0.60723876953125, -0.00054931640625)"
124432745394,"(0.55731201171875, -0.75140380859375, -0.3531494140625, -0.01025390625)","(0.77801513671875, 0.1611328125, 0.60723876953125, -0.00054931640625)"
124432752722,"(0.55712890625, -0.75146484375, -0.353271484375, -0.00982666015625)","(0.7779541015625, 0.16082763671875, 0.60736083984375, -0.00067138671875)"
124432757019,"(0.55712890625, -0.75146484375, -0.353271484375, -0.00982666015625)","(0.7779541015625, 0.16082763671875, 0.60736083984375, -0.00067138671875)"
124432763544,"(0.5570068359375, -0.75152587890625, -0.3533935546875, -0.0093994140625)","(0.77801513671875, 0.1605224609375, 0.607421875, -0.000732421875)"
124432766921,"(0.5570068359375, -0.75152587890625, -0.3533935546875, -0.0093994140625)","(0.77801513671875, 0.1605224609375, 0.607421875, -0.000732421875)"
124432772690,"(0.556884765625, -0.75152587890625, -0.35357666015625, -0.00897216796875)","(0.77801513671875, 0.16021728515625, 0.607421875, -0.00079345703125)"
124432776234,"(0.556884765625, -0.75152587890625, -0.35357666015625, -0.00897216796875)","(0.77801513671875, 0.16021728515625, 0.607421875, -0.00079345703125)"
124432781713,"(0.55670166015625, -0.7515869140625, -0.35382080078125, -0.008544921875)","(0.778076171875, 0.15985107421875, 0.60748291015625, -0.0008544921875)"
124432785141,"(0.55670166015625, -0.7515869140625, -0.35382080078125, -0.008544921875)","(0.778076171875, 0.15985107421875, 0.60748291015625, -0.0008544921875)"
124432791476,"(0.5565185546875, -0.7515869140625, -0.35406494140625, -0.00811767578125)","(0.77813720703125, 0.15948486328125, 0.6075439453125, -0.0009765625)"
124432794842,"(0.5565185546875, -0.7515869140625, -0.35406494140625, -0.00811767578125)","(0.77813720703125, 0.15948486328125, 0.6075439453125, -0.0009765625)"
124432802159,"(0.55633544921875, -0.7515869140625, -0.35430908203125, -0.0076904296875)","(0.77813720703125, 0.15911865234375, 0.60760498046875, -0.00103759765625)"
124432805641,"(0.55633544921875, -0.7515869140625, -0.35430908203125, -0.0076904296875)","(0.77813720703125, 0.15911865234375, 0.60760498046875, -0.00103759765625)"
124432812725,"(0.55615234375, -0.7515869140625, -0.35455322265625, -0.0072021484375)","(0.77813720703125, 0.1588134765625, 0.607666015625, -0.00103759765625)"
124432816081,"(0.55615234375, -0.7515869140625, -0.35455322265625, -0.0072021484375)","(0.77813720703125, 0.1588134765625, 0.607666015625, -0.00103759765625)"
124432821681,"(0.5560302734375, -0.75164794921875, -0.35467529296875, -0.0067138671875)","(0.778076171875, 0.15850830078125, 0.6077880859375, -0.0010986328125)"
124432825157,"(0.5560302734375, -0.75164794921875, -0.35467529296875, -0.0067138671875)","(0.778076171875, 0.15850830078125, 0.6077880859375, -0.0010986328125)"
124432829575,"(0.555908203125, -0.75164794921875, -0.3548583984375, -0.0062255859375)","(0.778076171875, 0.15850830078125, 0.6077880859375, -0.0010986328125)"
124432834373,"(0.555908203125, -0.75164794921875, -0.3548583984375, -0.0062255859375)","(0.77801513671875, 0.158203125, 0.60797119140625, -0.0010986328125)"
124432838082,"(0.55584716796875, -0.75164794921875, -0.35498046875, -0.00567626953125)","(0.77801513671875, 0.158203125, 0.60797119140625, -0.0010986328125)"
124432843780,"(0.55584716796875, -0.75164794921875, -0.35498046875, -0.00567626953125)","(0.7779541015625, 0.15789794921875, 0.608154296875, -0.0010986328125)"
124432849427,"(0.55572509765625, -0.75164794921875, -0.355224609375, -0.00518798828125)","(0.7779541015625, 0.15789794921875, 0.608154296875, -0.0010986328125)"
124432854430,"(0.55572509765625, -0.75164794921875, -0.355224609375, -0.00518798828125)","(0.77789306640625, 0.1575927734375, 0.60833740234375, -0.00103759765625)"
124432860022,"(0.55560302734375, -0.75164794921875, -0.35540771484375, -0.004638671875)","(0.77789306640625, 0.1575927734375, 0.60833740234375, -0.00103759765625)"
124432864334,"(0.55560302734375, -0.75164794921875, -0.35540771484375, -0.004638671875)","(0.77783203125, 0.15728759765625, 0.6085205078125, -0.00103759765625)"
124432867828,"(0.55560302734375, -0.75164794921875, -0.35540771484375, -0.004638671875)","(0.77783203125, 0.15728759765625, 0.6085205078125, -0.00103759765625)"
124432873684,"(0.5555419921875, -0.7515869140625, -0.3555908203125, -0.004150390625)","(-1.2222900390625, 0.156982421875, 0.60870361328125, -0.0009765625)"
124432877300,"(0.5555419921875, -0.7515869140625, -0.3555908203125, -0.004150390625)","(0.7777099609375, 0.156982421875, 0.60870361328125, -0.0009765625)"
124432883062,"(0.5555419921875, -0.7515869140625, -0.355712890625, -0.00360107421875)","(0.777587890625, 0.15667724609375, 0.60894775390625, -0.00091552734375)"
124432886416,"(0.5555419921875, -0.7515869140625, -0.355712890625, -0.00360107421875)","(0.777587890625, 0.15667724609375, 0.60894775390625, -0.00091552734375)"
124432893581,"(0.55548095703125, -0.75152587890625, -0.35589599609375, -0.0030517578125)","(0.77740478515625, 0.15643310546875, 0.60919189453125, -0.0086669921875)"
124432898878,"(0.555419921875, -0.75152587890625, -0.35601806640625, -0.00250244140625)","(0.77740478515625, 0.15643310546875, 0.60919189453125, -0.0008544921875)"
124432904458,"(0.555419921875, -0.75152587890625, -0.35601806640625, -0.00250244140625)","(0.77728271484375, 0.15618896484375, 0.60943603515625, -0.00079345703125)"
124432909703,"(0.55535888671875, -0.75152587890625, -0.35614013671875, -0.00189208984375)","(0.77728271484375, 0.15618896484375, 0.60943603515625, -0.00079345703125)"
124432913749,"(0.55535888671875, -0.75152587890625, -0.35614013671875, -0.00189208984375)","(0.77716064453125, 0.156005859375, 0.609619140625, -0.00067138671875)"
124432917121,"(0.55535888671875, -0.75152587890625, -0.35614013671875, -0.00189208984375)","(0.77716064453125, 0.156005859375, 0.609619140625, -0.00067138671875)"
124432920520,"(0.55535888671875, -0.75146484375, 1.64373779296875, -0.00140380859375)","(0.77703857421875, 0.15582275390625, 0.60980224609375, -0.0006103515625)"
124432924880,"(0.55535888671875, -0.75146484375, -0.35626220703125, -0.00140380859375)","(0.77703857421875, 0.15582275390625, 0.60980224609375, -0.0006103515625)"
124432928315,"(0.55535888671875, -0.75146484375, -0.35626220703125, -0.00140380859375)","(0.77703857421875, 0.15582275390625, 0.60980224609375, -0.0006103515625)"
124432933608,"(0.5552978515625, -0.75140380859375, -0.3564453125, -0.0008544921875)","(0.7769775390625, 0.1556396484375, 0.6099853515625, -0.00048828125)"
124432938022,"(0.5552978515625, -0.75128173828125, -0.35662841796875, -0.0003662109375)","(0.7769775390625, 0.1556396484375, 0.6099853515625, -0.00048828125)"
124432944023,"(0.5552978515625, -0.75128173828125, -0.35662841796875, -0.0003662109375)","(0.77685546875, 0.15545654296875, 0.61016845703125, -0.00042724609375)"
124432950744,"(0.5552978515625, -0.751220703125, -0.3568115234375, 0.0001220703125)","(0.77679443359375, 0.15521240234375, 0.6103515625, -0.00030517578125)"
124432955098,"(0.5552978515625, -0.751220703125, -0.3568115234375, 0.0001220703125)","(0.77679443359375, 0.15521240234375, 0.6103515625, -0.00030517578125)"
124432960488,"(0.55523681640625, -0.75115966796875, -0.35699462890625, 0.00054931640625)","(0.77679443359375, 0.15521240234375, 0.6103515625, -0.00030517578125)"
124432964235,"(0.55523681640625, -0.75115966796875, -0.35699462890625, 0.00054931640625)","(0.7767333984375, 0.1549072265625, 0.6104736328125, -0.00030517578125)"
124432967963,"(0.55523681640625, -0.75115966796875, -0.35699462890625, 0.00054931640625)","(0.7767333984375, 0.1549072265625, 0.6104736328125, -0.00030517578125)"
124432971859,"(0.55517578125, -0.7510986328125, -0.35723876953125, 0.0009765625)","(0.77667236328125, 0.1546630859375, 0.610595703125, -0.00030517578125)"
124432975647,"(0.55517578125, -0.7510986328125, -0.35723876953125, 0.0009765625)","(0.77667236328125, 0.1546630859375, 0.610595703125, -0.00030517578125)"
124432979187,"(0.55511474609375, -0.75103759765625, -0.357421875, 0.00140380859375)","(0.77667236328125, 0.1546630859375, 0.610595703125, -0.00030517578125)"
124432984257,"(0.55511474609375, -0.75103759765625, -0.357421875, 0.00140380859375)","(0.776611328125, 0.15447998046875, 0.61077880859375, -0.000244140625)"
124432987981,"(0.55511474609375, -0.75103759765625, -0.357421875, 0.00140380859375)","(0.776611328125, 0.15447998046875, 0.61077880859375, -0.000244140625)"
124432994066,"(0.5550537109375, -0.75103759765625, -0.35760498046875, 0.00189208984375)","(0.77655029296875, 0.15423583984375, 0.61090087890625, -0.000244140625)"
124433000974,"(0.55499267578125, -0.7509765625, -0.3577880859375, 0.00225830078125)","(0.7764892578125, 0.15411376953125, 0.61102294921875, -0.00018310546875)"
124433005294,"(0.55499267578125, -0.7509765625, -0.3577880859375, 0.00225830078125)","(0.7764892578125, 0.15411376953125, 0.61102294921875, -0.00018310546875)"
124433010429,"(0.554931640625, -0.75091552734375, -0.35797119140625, 0.002685546875)","(0.7764892578125, 0.15411376953125, 0.61102294921875, -0.00018310546875)"
124433014140,"(0.554931640625, -0.75091552734375, -0.35797119140625, 0.002685546875)","(0.7763671875, 0.15399169921875, 0.61114501953125, -0.0001220703125)"
124433017865,"(0.554931640625, -0.75091552734375, -0.35797119140625, 0.002685546875)","(0.7763671875, 0.15399169921875, 0.61114501953125, -0.0001220703125)"
124433021515,"(0.554931640625, -0.75091552734375, -0.3580322265625, 0.0030517578125)","(0.7762451171875, 0.15386962890625, 0.61138916015625, -6.103515625e-05)"
124433025601,"(0.554931640625, -0.75091552734375, -0.3580322265625, 0.0030517578125)","(0.7762451171875, 0.15386962890625, 0.61138916015625, -6.103515625e-05)"
124433029166,"(0.554931640625, -0.7508544921875, -0.35809326171875, 0.00347900390625)","(0.7762451171875, 0.15386962890625, 0.61138916015625, -6.103515625e-05)"
124433034478,"(0.554931640625, -0.7508544921875, -0.35809326171875, 0.00347900390625)","(0.7760009765625, 0.15386962890625, 0.6116943359375, 0.0)"
124433040351,"(0.55499267578125, -0.7508544921875, -0.3580322265625, 0.00390625)","(0.7760009765625, 0.15386962890625, 0.6116943359375, 0.0)"
124433045188,"(0.55499267578125, -0.7508544921875, -0.3502197265625, 0.00390625)","(0.7757568359375, 0.15386962890625, 0.61199951171875, 6.103515625e-05)"
124433051680,"(0.5550537109375, -0.7508544921875, -0.35791015625, 0.00439453125)","(0.7755126953125, 0.15380859375, 0.6123046875, 0.0001220703125)"
124433056229,"(0.5550537109375, -0.7508544921875, -0.35791015625, 0.00439453125)","(0.7755126953125, 0.15380859375, 0.6123046875, 0.0001220703125)"
124433061647,"(0.55511474609375, -0.7508544921875, -0.35784912109375, 0.00482177734375)","(0.7755126953125, 0.15380859375, 0.6123046875, 0.0001220703125)"
124433065715,"(0.55511474609375, -0.7508544921875, -0.35784912109375, 0.00482177734375)","(0.775390625, 0.15362548828125, 0.612548828125, 0.00018310546875)"
124433069092,"(0.55511474609375, -0.7508544921875, -0.35784912109375, 0.00482177734375)","(0.775390625, 0.15362548828125, 0.612548828125, 0.00018310546875)"
124433072643,"(0.55511474609375, -0.7508544921875, -0.35784912109375, 0.0052490234375)","(0.7752685546875, 0.1533203125, 0.61273193359375, 0.00018310546875)"
124433076384,"(0.55511474609375, -0.7508544921875, -0.35784912109375, 0.0052490234375)","(0.7752685546875, 0.1533203125, 0.61273193359375, 0.00018310546875)"
124433079732,"(0.5550537109375, -0.75079345703125, -0.35797119140625, 0.005615234375)","(0.7752685546875, 0.1533203125, 0.61273193359375, 0.00018310546875)"
124433084692,"(0.5550537109375, -0.75079345703125, -0.35797119140625, 0.005615234375)","(0.775146484375, 0.15301513671875, 0.61297607421875, 0.00018310546875)"
124433091745,"(0.554931640625, -0.7508544921875, -0.35809326171875, 0.0059814453125)","(0.77508544921875, 0.15277099609375, 0.6131591796875, 0.00018310546875)"
124433095726,"(0.554931640625, -0.7508544921875, -0.35809326171875, 0.0059814453125)","(0.77508544921875, 0.15277099609375, 0.6131591796875, 0.00018310546875)"
124433102999,"(0.5548095703125, -0.7508544921875, -0.35821533203125, 0.00628662109375)","(0.77496337890625, 0.1524658203125, 0.61334228515625, 0.0001220703125)"
124433107183,"(0.5548095703125, -0.7508544921875, -0.35821533203125, 0.00628662109375)","(0.77496337890625, 0.1524658203125, 0.61334228515625, 0.0001220703125)"
124433112084,"(0.5546875, -0.75091552734375, -0.35833740234375, 0.00665283203125)","(0.77490234375, 0.15228271484375, 0.613525390625, 6.103515625e-05)"
124433115658,"(0.5546875, -0.75091552734375, -0.35833740234375, 0.00665283203125)","(0.77490234375, 0.15228271484375, 0.613525390625, 6.103515625e-05)"
124433119372,"(0.5545654296875, -0.7509765625, -0.3583984375, 0.00701904296875)","(0.77490234375, 0.15228271484375, 0.613525390625, 6.103515625e-05)"
124433122964,"(0.5545654296875, -0.7509765625, -0.3583984375, 0.00701904296875)","(0.7747802734375, 0.152099609375, 0.6136474609375, 0.0)"
124433126782,"(0.5545654296875, -0.7509765625, -0.3583984375, 0.00701904296875)","(0.7747802734375, 0.152099609375, 0.6136474609375, 0.0)"
124433130188,"(0.55438232421875, -0.75103759765625, -0.35845947265625, 0.00738525390625)","(0.7747802734375, 0.152099609375, 0.6136474609375, 0.0)"
