scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-25.06119,1.6272923,36.906754,-23.0252,0.5461707,38.537205,-21.12585,-0.1660905,41.673965,-19.568707,-1.5099437,43.393627,-17.39612,-2.4780042,45.22513
1,-25.076038,1.6130942,36.88978,-23.04175,0.532891,38.530922,-21.131325,-0.17519242,41.67896,-19.574257,-1.5237119,43.396687,-17.404327,-2.4847107,45.23194
2,-25.07631,1.6137362,36.89435,-23.041626,0.5330284,38.530983,-21.13164,-0.17865883,41.679665,-19.575085,-1.5292147,43.394676,-17.415018,-2.4972622,45.24133
3,-25.07842,1.596311,36.90422,-23.041359,0.5152528,38.540115,-21.126963,-0.1948132,41.704235,-19.579454,-1.5359775,43.403824,-17.410088,-2.5012898,45.24481
4,-25.088902,1.5700983,36.91866,-23.050661,0.48365176,38.553978,-21.12608,-0.2178659,41.71662,-19.592915,-1.5536337,43.42339,-17.407757,-2.5251217,45.266197
5,-25.091625,1.571929,36.913376,-23.055016,0.4777944,38.562614,-21.130156,-0.22115073,41.7284,-19.603153,-1.5615425,43.420345,-17.413023,-2.542103,45.271305
6,-25.092043,1.5998574,36.892605,-23.05803,0.50899637,38.53369,-21.131844,-0.21179987,41.716476,-19.607836,-1.5579137,43.413975,-17.432995,-2.5401206,45.249367
7,-25.078686,1.6474508,36.883865,-23.058592,0.5484899,38.53337,-21.132086,-0.1731064,41.671463,-19.599424,-1.5501597,43.4105,-17.43689,-2.5346549,45.25248
8,-25.06478,1.6790863,36.86191,-23.044197,0.5791292,38.521095,-21.134697,-0.14951658,41.655888,-19.584908,-1.5317132,43.389175,-17.438677,-2.5115378,45.235306
9,-25.081682,1.6634445,36.872524,-23.059307,0.5621622,38.53487,-21.142462,-0.15836608,41.653645,-19.584356,-1.5398033,43.39225,-17.432796,-2.5095732,45.234352
10,-25.102486,1.6593874,36.887905,-23.069956,0.5585501,38.534206,-21.149233,-0.16247381,41.66515,-19.584198,-1.5412824,43.393055,-17.431517,-2.5082517,45.23021
11,-25.104885,1.6543341,36.877945,-23.070827,0.5571566,38.536037,-21.14935,-0.16245721,41.66444,-19.586653,-1.5454515,43.39285,-17.431278,-2.5081415,45.230675
12,-25.104979,1.656528,36.87613,-23.069841,0.5584495,38.534466,-21.149042,-0.16278969,41.663673,-19.586447,-1.5457822,43.393387,-17.431093,-2.5089352,45.23157
13,-25.072956,1.6838758,36.878796,-23.046043,0.5885763,38.524723,-21.140158,-0.1438213,41.67263,-19.572344,-1.5289396,43.38822,-17.419664,-2.495203,45.233994
14,-25.057104,1.6846887,36.872833,-23.03012,0.58885586,38.522545,-21.1348,-0.14460574,41.66232,-19.569874,-1.5230817,43.390167,-17.409807,-2.4905055,45.22211
15,-25.064182,1.6751624,36.888103,-23.033682,0.58147234,38.52715,-21.13256,-0.15064617,41.66448,-19.57429,-1.5288217,43.395626,-17.41037,-2.4917655,45.224094
16,-25.064892,1.7023416,36.84377,-23.03268,0.6044245,38.51662,-21.134966,-0.13801163,41.660416,-19.570528,-1.5113119,43.38361,-17.406025,-2.4805493,45.21288
17,-25.06105,1.7005354,36.87088,-23.033432,0.60011387,38.518684,-21.136118,-0.13741337,41.66278,-19.572939,-1.5091246,43.38583,-17.406078,-2.480592,45.21308
