scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-26.142519,6.6856227,34.196186,-24.733461,4.8438272,35.818558,-23.460867,2.525607,38.613976,-21.681704,0.40377036,40.546043,-20.455515,-0.9293637,42.12826
1,-26.101536,6.6889324,34.20887,-24.723717,4.8500247,35.81346,-23.458557,2.5330942,38.620205,-21.680208,0.4072705,40.54505,-20.454021,-0.9263376,42.1296
2,-26.101967,6.6936045,34.206394,-24.722902,4.8538575,35.809303,-23.452982,2.5349894,38.620872,-21.677532,0.40991893,40.543243,-20.452255,-0.92365986,42.129623
3,-26.10908,6.683706,34.205063,-24.724218,4.8540096,35.81131,-23.451326,2.5355222,38.618908,-21.677794,0.4098723,40.54388,-20.451838,-0.9235887,42.1299
4,-26.123995,6.678465,34.18756,-24.725203,4.855191,35.812565,-23.451262,2.5358667,38.61852,-21.678064,0.40977144,40.54392,-20.452192,-0.9235609,42.130516
5,-26.128328,6.678888,34.185783,-24.726357,4.857898,35.81406,-23.455896,2.537659,38.61839,-21.678225,0.41105694,40.54528,-20.452526,-0.9212919,42.133045
6,-26.129366,6.6795163,34.187176,-24.72601,4.8600655,35.812634,-23.456463,2.5378473,38.62101,-21.67862,0.41240603,40.546337,-20.45271,-0.9206196,42.13383
7,-26.131601,6.679557,34.18892,-24.727892,4.8601,35.81381,-23.457712,2.5367212,38.62191,-21.679457,0.41263473,40.546272,-20.45336,-0.9191766,42.13575
8,-26.13387,6.6814203,34.191647,-24.729525,4.8594637,35.814045,-23.458214,2.5367868,38.622574,-21.680347,0.4122618,40.545944,-20.453014,-0.91669244,42.13562
9,-26.133883,6.683677,34.19455,-24.729202,4.8625946,35.817226,-23.458,2.5381925,38.62318,-21.680138,0.41376665,40.546444,-20.45359,-0.91843367,42.13671
10,-26.12664,6.678876,34.18546,-24.726074,4.8662195,35.81609,-23.456987,2.5413654,38.620605,-21.67971,0.41598392,40.547146,-20.454458,-0.9185281,42.13537
11,-26.125864,6.6777315,34.185028,-24.726166,4.8662386,35.816135,-23.456974,2.5421693,38.623627,-21.679775,0.4159631,40.547188,-20.454473,-0.9187737,42.135162
12,-26.12494,6.6782117,34.183437,-24.726175,4.8659825,35.815308,-23.457848,2.542214,38.627144,-21.679705,0.41598216,40.54718,-20.45416,-0.92071766,42.13401
13,-26.132298,6.6817193,34.18828,-24.725868,4.864025,35.814804,-23.456774,2.5411665,38.625378,-21.680866,0.41254058,40.54808,-20.454044,-0.92223394,42.13285
14,-26.133917,6.67916,34.187935,-24.72644,4.861979,35.815056,-23.458729,2.53906,38.624897,-21.681192,0.41105613,40.547928,-20.454323,-0.92284507,42.13347
15,-26.134539,6.6744165,34.184284,-24.72716,4.8582554,35.812675,-23.458895,2.5374832,38.6203,-21.681738,0.41013846,40.547443,-20.455976,-0.92515093,42.128803
16,-26.136736,6.669354,34.18412,-24.727505,4.8515005,35.82186,-23.460379,2.5301135,38.618412,-21.68276,0.40600732,40.547955,-20.457224,-0.9251183,42.130302
17,-26.14067,6.664677,34.177464,-24.731844,4.845722,35.824867,-23.462936,2.5248919,38.6209,-21.686394,0.40364274,40.550938,-20.456932,-0.92813396,42.128517
