timestamp,quat1,quat2
135729044954,"(0.646484375, -0.6929931640625, -0.31915283203125, 0.0006103515625)","(0.0, 0.0, 0.0, 0.0)"
135729056717,"(0.646484375, -0.6929931640625, -0.31915283203125, 0.0006103515625)","(0.0, 0.0, 0.0, 0.0)"
135729070033,"(0.646484375, -0.6929931640625, -0.31915283203125, 0.0006103515625)","(0.0, 0.0, 0.0, 0.0)"
135729084000,"(0.646484375, -0.6929931640625, -0.31915283203125, 0.00067138671875)","(0.0078125, 0.0, 0.0, 0.0)"
135729094934,"(0.654296875, -0.6929931640625, -0.31915283203125, 0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
135729103883,"(0.646484375, -0.6929931640625, -0.31915283203125, 0.00067138671875)","(1.0078125, 0.0, 0.0001220703125, 6.103515625e-05)"
135729114096,"(0.64654541015625, -0.69293212890625, -0.319091796875, 0.000732421875)","(1.0078125, 0.0, 0.0001220703125, 6.103515625e-05)"
135729124399,"(0.6544189453125, -0.69293212890625, -0.31903076171875, 0.00079345703125)","(1.0078125, 0.0, 0.0001220703125, 6.103515625e-05)"
135729135131,"(0.6466064453125, -0.69293212890625, -0.31903076171875, 0.00079345703125)","(1.0078125, -6.103515625e-05, 0.0001220703125, 6.103515625e-05)"
135729144758,"(0.6544189453125, -0.69293212890625, -0.31903076171875, 0.00079345703125)","(1.0, -6.103515625e-05, 0.0001220703125, 6.103515625e-05)"
135729153768,"(0.65435791015625, -0.69293212890625, -0.31903076171875, 0.0008544921875)","(1.0, -0.00018310546875, 0.0001220703125, 6.103515625e-05)"
135729164099,"(0.64654541015625, -0.69293212890625, -0.31903076171875, 0.0008544921875)","(0.78961181640625, 0.099853515625, 0.615478515625, 0.0001220703125)"
135729174762,"(0.64654541015625, -0.69293212890625, -0.319091796875, 0.00091552734375)","(0.78179931640625, 0.099853515625, 0.615478515625, 0.0001220703125)"
135729183548,"(0.64654541015625, -0.69293212890625, -0.31915283203125, 0.00091552734375)","(0.78179931640625, 0.09979248046875, 0.615478515625, 0.00018310546875)"
135729188122,"(0.64654541015625, -0.69293212890625, -0.31915283203125, 0.00091552734375)","(0.78179931640625, 0.09979248046875, 0.615478515625, 0.00018310546875)"
135729193591,"(0.646484375, -0.69293212890625, -0.3192138671875, 0.0009765625)","(0.78179931640625, 0.09979248046875, 0.615478515625, 0.00018310546875)"
135729197968,"(0.646484375, -0.69293212890625, -0.3192138671875, 0.0009765625)","(0.78179931640625, 0.09979248046875, 0.615478515625, 0.00018310546875)"
