scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-24.409729,2.2655742,37.561623,-22.38914,0.83436793,38.956757,-18.796255,-2.915432,38.597862,-18.68589,-1.7933223,43.87852,-16.735308,-2.9668415,45.8556
1,-24.409697,2.265826,37.561523,-22.390242,0.83184487,38.958652,-18.798706,-2.916922,38.599476,-18.688976,-1.7959652,43.879658,-16.735584,-2.9670017,45.85649
2,-24.417112,2.2568715,37.571598,-22.396261,0.8214016,38.958046,-18.796211,-2.924281,38.591694,-18.692377,-1.7987434,43.880764,-16.741528,-2.9759352,45.85139
3,-24.424755,2.239249,37.584145,-22.40496,0.8040142,38.950558,-18.799513,-2.9354572,38.599693,-18.696651,-1.8021103,43.88294,-16.74321,-2.977629,45.853405
4,-24.4277,2.2379603,37.591007,-22.403095,0.7970885,38.965218,-18.79534,-2.9345205,38.58814,-18.69826,-1.8033738,43.882282,-16.742008,-2.9785748,45.859978
5,-24.420767,2.254404,37.588116,-22.399902,0.8085537,38.962887,-18.7983,-2.9304237,38.60952,-18.69748,-1.799513,43.878807,-16.749912,-2.9778094,45.8598
6,-24.415922,2.2680926,37.575806,-22.396507,0.81876147,38.955673,-18.80405,-2.922123,38.614487,-18.696629,-1.7958273,43.877506,-16.748583,-2.9764612,45.847244
7,-24.412758,2.27917,37.571938,-22.393803,0.8273388,38.963276,-18.803991,-2.9205358,38.616753,-18.696127,-1.7937746,43.877678,-16.751347,-2.9773939,45.847378
8,-24.408577,2.2860036,37.568798,-22.390762,0.83209527,38.959866,-18.810356,-2.9231396,38.625294,-18.695822,-1.7926071,43.8778,-16.752987,-2.9776921,45.84906
9,-24.409332,2.2933125,37.57586,-22.38842,0.8344265,38.959843,-18.805227,-2.9177864,38.615257,-18.695631,-1.7905365,43.877953,-16.753551,-2.9777894,45.850815
10,-24.40713,2.2938936,37.572746,-22.38831,0.83490545,38.959457,-18.80491,-2.9166355,38.618202,-18.695702,-1.7883474,43.87818,-16.754465,-2.9783902,45.85244
11,-24.40637,2.299239,37.573467,-22.387651,0.83892536,38.95655,-18.805786,-2.9123003,38.615936,-18.69338,-1.7787334,43.875347,-16.752918,-2.9724603,45.855114
12,-24.405214,2.3079937,37.57959,-22.385021,0.84348065,38.95669,-18.80726,-2.9105475,38.61562,-18.690353,-1.7744824,43.87886,-16.75121,-2.968673,45.858086
13,-24.400158,2.3181086,37.57192,-22.385433,0.8470483,38.954247,-18.80639,-2.9087732,38.611843,-18.687994,-1.7702658,43.875397,-16.752048,-2.9677403,45.857395
14,-24.404627,2.3240867,37.553562,-22.384865,0.8514832,38.953217,-18.807928,-2.9057674,38.60493,-18.685677,-1.7661858,43.871105,-16.752028,-2.9656317,45.85741
15,-24.404196,2.3272748,37.55673,-22.384575,0.8523817,38.952866,-20.360775,-0.2111973,42.11952,-18.684,-1.7615921,43.87033,-16.752953,-2.9631174,45.851665
16,-24.404976,2.3301165,37.557217,-22.38511,0.85427225,38.95283,-18.809351,-2.8983881,38.60239,-18.683685,-1.7597941,43.866688,-16.752686,-2.9624267,45.853954
17,-24.405632,2.336456,37.561764,-22.384958,0.8564425,38.951847,-20.35795,-0.20040967,42.123363,-18.683805,-1.7595743,43.867832,-16.754227,-2.962289,45.848072
