scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,-26.775702,6.34108,34.33459,-25.172508,4.510336,35.69489,-23.768757,2.348586,38.599026,-21.989565,0.2303094,40.576748,-20.674599,-1.0421784,42.176647
1,-26.773956,6.3408346,34.337635,-25.16769,4.510158,35.692432,-23.762878,2.347112,38.594696,-21.98789,0.23023328,40.573326,-20.675959,-1.0423853,42.16911
2,-26.772526,6.3401155,34.34087,-25.166056,4.5105157,35.693424,-23.763401,2.3462756,38.59931,-21.987337,0.23062761,40.575752,-20.671247,-1.0405579,42.17859
3,-26.772152,6.337199,34.34188,-25.167307,4.5059114,35.691914,-23.762474,2.340257,38.60368,-21.987453,0.22955184,40.577374,-20.6722,-1.0428964,42.18072
4,-26.772017,6.334876,34.34453,-25.16766,4.502456,35.6939,-23.762302,2.3406732,38.604958,-21.987648,0.22886845,40.579468,-20.67284,-1.0430226,42.18198
5,-26.766745,6.3420105,34.343105,-25.162437,4.5090213,35.697403,-23.760574,2.34461,38.605885,-21.984934,0.23322445,40.579525,-20.66968,-1.0389943,42.17409
6,-26.764145,6.351619,34.342476,-25.15752,4.519089,35.698353,-23.758894,2.3518567,38.6051,-21.982744,0.23666504,40.578766,-20.666441,-1.0368342,42.169815
7,-26.763409,6.3521743,34.34564,-25.159422,4.5142717,35.69281,-23.763533,2.3526952,38.600193,-21.986301,0.23251376,40.577568,-20.668653,-1.0355362,42.169853
8,-26.767979,6.3371453,34.345737,-25.166521,4.502346,35.694153,-23.76518,2.342035,38.60427,-21.989124,0.22552624,40.58062,-20.670418,-1.0454321,42.184113
9,-26.772495,6.32715,34.33489,-25.172358,4.488482,35.6939,-23.765886,2.3319793,38.605118,-21.993484,0.21883601,40.57498,-20.678041,-1.0519369,42.176918
10,-26.775066,6.324487,34.338284,-25.171682,4.4870358,35.69293,-23.768728,2.3296669,38.609737,-21.996096,0.21685657,40.579845,-20.679403,-1.0549041,42.17893
11,-26.778502,6.3208947,34.337875,-25.17491,4.4832163,35.690193,-23.773193,2.3237808,38.603516,-21.997292,0.21381347,40.579185,-20.682026,-1.057426,42.180214
12,-26.782303,6.3144264,34.337177,-25.175356,4.4776444,35.68567,-23.774761,2.312554,38.60343,-21.99864,0.21055236,40.578976,-20.682854,-1.0616051,42.181877
13,-26.787321,6.3057165,34.337128,-25.177206,4.4734225,35.686382,-23.77937,2.3085642,38.601913,-22.000101,0.20668061,40.578384,-20.684504,-1.0648232,42.182762
14,-26.789467,6.3026752,34.335487,-25.179054,4.4683657,35.685566,-23.784958,2.3039112,38.607677,-22.001463,0.2031585,40.57797,-20.685986,-1.0662426,42.184708
15,-26.790703,6.3017592,34.334305,-25.180157,4.465772,35.686493,-23.78537,2.3031383,38.607887,-22.00237,0.20079611,40.57818,-20.688074,-1.0700101,42.17875
16,-26.79148,6.3016567,34.33621,-25.181688,4.462795,35.690147,-23.78715,2.3024902,38.609833,-22.002838,0.2005783,40.57856,-20.691273,-1.0729951,42.180176
17,-26.790874,6.2998104,34.33378,-25.182072,4.4606643,35.69127,-23.78319,2.3026042,38.604294,-22.002829,0.19975536,40.578815,-20.688808,-1.0718323,42.184746
