timestamp,euler1,euler2
204205229963,"(0.4849853515625, 0.2529296875, -0.837158203125, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
204205241717,"(0.4849853515625, 0.2529296875, -0.837158203125, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
204205256010,"(0.4849853515625, 0.2529296875, -0.837158203125, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
204205268921,"(0.48504638671875, 0.2529296875, -0.83709716796875, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
204205280004,"(0.48504638671875, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205290977,"(0.48504638671875, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205305314,"(0.48504638671875, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205315786,"(0.485107421875, 0.25299072265625, -0.8370361328125, -6.103515625e-05)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205324256,"(0.485107421875, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205330212,"(0.4849853515625, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(1.0, 0.0, -6.103515625e-05, 6.103515625e-05)"
204205337336,"(0.4849853515625, 0.25299072265625, -0.83709716796875, -0.0001220703125)","(0.9608154296875, 0.27398681640625, 0.04180908203125, 0.0)"
204205345952,"(0.48516845703125, 0.25299072265625, -0.8370361328125, -6.103515625e-05)","(0.9608154296875, 0.27398681640625, 0.04180908203125, 0.0)"
204205355393,"(0.48516845703125, 0.25299072265625, -0.8370361328125, -6.103515625e-05)","(0.9608154296875, 0.27398681640625, 0.04180908203125, 0.0)"
204205363616,"(0.48516845703125, 0.25299072265625, -0.8370361328125, -6.103515625e-05)","(0.9608154296875, 0.27398681640625, 0.04180908203125, 0.0)"
