timestamp,quat1,quat2
205149888989,"(0.48028564453125, 0.24969482421875, -0.8408203125, -0.00079345703125)","(0.0, 0.0, 0.0, 0.0)"
205149903205,"(0.48040771484375, 0.249755859375, -0.8406982421875, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
205149916513,"(0.4803466796875, 0.249755859375, -0.84075927734375, -0.00067138671875)","(0.0078125, 0.0, 0.0, 0.0)"
205149927346,"(0.48046875, 0.249755859375, -0.8406982421875, -0.00067138671875)","(0.0, 0.0, 0.0, 0.0)"
205149936825,"(0.48046875, 0.249755859375, -0.8406982421875, -0.00067138671875)","(0.0078125, 0.0, 0.0, 0.0)"
205149946560,"(0.48046875, 0.249755859375, -0.8406982421875, -0.00067138671875)","(1.0, 0.0, 0.0, -6.103515625e-05)"
205149956647,"(0.48046875, 0.249755859375, -0.8406982421875, -0.00067138671875)","(1.0, 0.0, 0.0, -6.103515625e-05)"
205149966759,"(0.48052978515625, 0.249755859375, -0.84063720703125, -0.00067138671875)","(1.0, 0.0, 0.0, -6.103515625e-05)"
205149976874,"(0.48052978515625, 0.249755859375, -0.84063720703125, -0.00067138671875)","(1.0, 0.0, 0.0, -6.103515625e-05)"
205149986431,"(0.48052978515625, 0.249755859375, -0.8406982421875, -0.00067138671875)","(1.0, 0.0, 0.0, -6.103515625e-05)"
205149996668,"(0.48052978515625, 0.249755859375, -0.8406982421875, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150006452,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150016206,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150024317,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150031347,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150037148,"(0.48065185546875, 0.249755859375, -0.840576171875, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150044869,"(0.48065185546875, 0.249755859375, -0.840576171875, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150053454,"(0.4805908203125, 0.249755859375, -0.840576171875, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150060238,"(0.48052978515625, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150066316,"(0.48052978515625, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150074629,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150081876,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150087282,"(0.4805908203125, 0.249755859375, -0.84063720703125, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150095137,"(0.48052978515625, 0.249755859375, -0.84063720703125, -0.00067138671875)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150103454,"(0.4805908203125, 0.24981689453125, -0.840576171875, -0.00054931640625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
205150109566,"(0.48052978515625, 0.24981689453125, -0.84063720703125, -0.0006103515625)","(0.96417236328125, 0.264404296875, 0.02239990234375, -6.103515625e-05)"
