timestamp,quat1,quat2
105705724886,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.0, 0.0, 0.0, 0.0)"
105705736911,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.0, 0.0, 0.0, 0.0)"
105705751138,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.0, 0.0, 0.0, 0.0)"
105705762829,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.0078125, 0.0, 0.0, 0.0)"
105705773114,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.0, 0.0, 0.0, 0.0)"
105705782324,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(1.0, -6.103515625e-05, 0.0, 0.0)"
105705792885,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(1.0, -6.103515625e-05, 0.0, 0.0)"
105705803262,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(1.0078125, -6.103515625e-05, 0.0, 0.0)"
105705813594,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(1.0078125, -6.103515625e-05, -6.103515625e-05, 0.0)"
105705824246,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(1.0, -6.103515625e-05, -6.103515625e-05, 0.0)"
105705832998,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40716552734375, -0.6461181640625, 0.64556884765625, 0.0001220703125)"
105705843339,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41497802734375, -0.6461181640625, 0.64556884765625, 0.0001220703125)"
105705853434,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41497802734375, -0.6461181640625, 0.64556884765625, 0.0001220703125)"
105705862872,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4149169921875, -0.6461181640625, 0.6456298828125, 0.0001220703125)"
105705871830,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4149169921875, -0.6461181640625, 0.6456298828125, 0.0001220703125)"
105705878569,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4149169921875, -0.6461181640625, 0.6456298828125, 0.0001220703125)"
105705884782,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.64617919921875, 0.6456298828125, 0.0001220703125)"
105705893776,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.64617919921875, 0.6456298828125, 0.0001220703125)"
105705902379,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.6461181640625, 0.6456298828125, 0.00018310546875)"
105705912463,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406982421875, -0.6461181640625, 0.64569091796875, 0.0001220703125)"
105705920861,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.6461181640625, 0.64569091796875, 0.0001220703125)"
105705927508,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406982421875, -0.6461181640625, 0.6456298828125, 0.00018310546875)"
105705934374,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.6461181640625, 0.6456298828125, 0.00018310546875)"
105705943301,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406982421875, -0.6461181640625, 0.64569091796875, 0.0001220703125)"
105705953339,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.6461181640625, 0.64569091796875, 0.0001220703125)"
105705962721,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.414794921875, -0.6461181640625, 0.64569091796875, 0.0001220703125)"
105705971305,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105705977472,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105705984589,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40692138671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105705994018,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706002983,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706012311,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706020077,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706026501,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40692138671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706034003,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40692138671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706043826,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40692138671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706053227,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41473388671875, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706063433,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.40692138671875, -0.64617919921875, 0.64569091796875, 0.0001220703125)"
105706073131,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41461181640625, -0.64617919921875, 0.64569091796875, 0.0001220703125)"
105706081009,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4146728515625, -0.64617919921875, 0.64569091796875, 0.00018310546875)"
105706087598,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41448974609375, -0.646240234375, 0.645751953125, 0.00018310546875)"
105706095210,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41448974609375, -0.646240234375, 0.645751953125, 0.00018310546875)"
105706104780,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41448974609375, -0.646240234375, 0.645751953125, 0.00018310546875)"
105706113806,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.41461181640625, -0.64617919921875, 0.64569091796875, 0.0001220703125)"
105706122155,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4144287109375, -0.64630126953125, 0.645751953125, 0.0001220703125)"
105706129458,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4144287109375, -0.64630126953125, 0.645751953125, 0.0001220703125)"
105706135831,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4066162109375, -0.64630126953125, 0.645751953125, 0.0001220703125)"
105706144454,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4144287109375, -0.64630126953125, 0.645751953125, 6.103515625e-05)"
105706154225,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406494140625, -0.6463623046875, 0.645751953125, 0.0)"
105706164058,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406494140625, -0.6463623046875, 0.645751953125, 0.0)"
105706173260,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.406494140625, -0.6463623046875, 0.645751953125, 0.0)"
105706180072,"(0.7174072265625, -0.01617431640625, 0.69647216796875, 0.0)","(0.4063720703125, -0.64642333984375, 0.64581298828125, 0.0)"
