timestamp,euler1,euler2
114455934284,"(0.723388671875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
114455951769,"(0.723388671875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
114455963529,"(0.723388671875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
114455973444,"(0.731201171875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(0.0078125, 0.0, 0.0, 0.0)"
114455981298,"(0.731201171875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(1.0, 0.0, 0.0, 0.0)"
114455991385,"(0.723388671875, -0.04364013671875, 0.68902587890625, -6.103515625e-05)","(1.0078125, 0.0, 0.0, 0.0)"
114455999167,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(1.0, 0.0, 0.0, 0.0)"
114456011640,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(1.0078125, 0.0, 0.0, 0.0)"
114456023436,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(1.0, 0.0, 0.0, 0.0)"
114456029888,"(0.723388671875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456034700,"(0.723388671875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456043539,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456053133,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456061134,"(0.731201171875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456066955,"(0.723388671875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456074537,"(0.723388671875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05322265625, 0.00640869140625, 0.0)"
114456081393,"(0.723388671875, -0.04364013671875, 0.6890869140625, -6.103515625e-05)","(0.99853515625, -0.05316162109375, 0.00640869140625, 0.0)"
