timestamp,euler1,euler2
121425210090,"(0.66436767578125, -0.0953369140625, -0.74822998046875, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
121425223207,"(0.66436767578125, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
121425235309,"(0.65655517578125, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.0078125, 0.0, 0.0, 0.0)"
121425246373,"(0.6644287109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0078125, 0.0, 0.0, 0.0)"
121425256456,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0, 0.0, 0.0, 0.0)"
121425264999,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0, 0.0, 0.0, 0.0)"
121425274734,"(0.6644287109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0078125, 0.0, 0.0, 0.0)"
121425285808,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0078125, -6.103515625e-05, 0.0, 0.0)"
121425297351,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(1.0, -6.103515625e-05, 0.0, 0.0)"
121425303716,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.072998046875, 0.00518798828125, 0.0)"
121425308857,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(None, None, None, None)"
121425313839,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425317585,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425324547,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425328269,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425334991,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, -1.99481201171875, 0.0)"
121425339460,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425345833,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425349886,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425355445,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425359779,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425366090,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425370095,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425375805,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425380691,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425386663,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425390931,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(-1.002685546875, -0.07305908203125, 0.00518798828125, 0.0)"
121425396053,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425401045,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425406435,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425411692,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425416390,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425422236,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425426959,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425433454,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425437319,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425443675,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425447725,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425452889,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425456930,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425463052,"(0.6566162109375, -0.0953369140625, 1.2518310546875, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425467344,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425473914,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425477818,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425484904,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425488757,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425495400,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425499194,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425504495,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425508406,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425515518,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425519658,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425526011,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425530322,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425536454,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425541069,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425546570,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425551086,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425556486,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425561577,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425566826,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.00518798828125, 0.0)"
121425573639,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425577064,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425583401,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425587261,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425592012,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425596922,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425600465,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.07305908203125, 0.0052490234375, 0.0)"
121425606380,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425610106,"(0.6566162109375, -0.0953369140625, -0.7481689453125, -0.0001220703125)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425616647,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -6.103515625e-05)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425620087,"(0.6566162109375, -0.09539794921875, -0.7481689453125, -6.103515625e-05)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425626492,"(0.65655517578125, -0.09539794921875, -0.74822998046875, -6.103515625e-05)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425629929,"(0.65655517578125, -0.09539794921875, -0.74822998046875, -6.103515625e-05)","(0.997314453125, -0.0731201171875, 0.0052490234375, 0.0)"
121425636812,"(0.656494140625, -0.09539794921875, -0.748291015625, -6.103515625e-05)","(0.997314453125, -0.07318115234375, 0.0052490234375, 0.0)"
121425640312,"(0.656494140625, -0.09539794921875, -0.748291015625, -6.103515625e-05)","(0.997314453125, -0.0732421875, 0.0052490234375, 0.0)"
121425647043,"(0.65643310546875, -0.09539794921875, -0.74835205078125, -6.103515625e-05)","(0.997314453125, -0.0732421875, 0.0052490234375, 0.0)"
121425651214,"(0.65643310546875, -0.09539794921875, -0.74835205078125, -6.103515625e-05)","(0.997314453125, -0.0732421875, 0.0052490234375, 0.0)"
121425656264,"(0.6563720703125, -0.0953369140625, -0.7484130859375, -0.0001220703125)","(0.997314453125, -0.07330322265625, 0.0052490234375, 0.0)"
121425663928,"(0.65625, -0.0953369140625, -0.74847412109375, -6.103515625e-05)","(0.997314453125, -0.0733642578125, 0.0052490234375, 6.103515625e-05)"
121425667899,"(0.65625, -0.0953369140625, -0.74847412109375, -6.103515625e-05)","(0.997314453125, -0.0733642578125, 0.0052490234375, 6.103515625e-05)"
121425674338,"(0.65618896484375, -0.0953369140625, -0.74853515625, -6.103515625e-05)","(0.997314453125, -0.07342529296875, 0.0052490234375, 6.103515625e-05)"
121425678095,"(0.65618896484375, -0.0953369140625, -0.74853515625, -6.103515625e-05)","(0.997314453125, -0.07342529296875, 0.0052490234375, 6.103515625e-05)"
