timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
131257229521,0,0,0,12873484
131257229521,0,0,0,12868705
131257229521,0,0,0,12866999
131257229521,0,0,0,12877751
131257229521,0,0,0,12873655
131257252665,0,0,0,12867511
131257252665,5769,0,0,12867682
131257252665,0,0,0,12866828
131257252665,0,0,0,12866487
131257252665,0,0,0,12870753
131257258185,0,0,0,12867340
131257258185,0,0,0,12868876
131257258185,649,0,0,12869900
131257258185,0,0,0,12872460
131257258185,0,0,0,12867682
131257264010,0,0,0,12869729
131257264010,0,0,0,12866316
131257264010,0,0,0,12876727
131257264010,820,0,0,12865634
131257264010,0,0,0,12870241
131257273210,3380,0,0,12872119
131257273210,2697,0,0,12882017
131257273210,137,0,0,12868535
131257273210,0,0,0,12868705
131257273210,0,0,0,12874679
131257279547,137,0,0,12875191
131257279547,2185,0,0,12875532
131257279547,0,0,0,12869729
131257279547,0,0,0,12869559
131257279547,1502,0,0,12876385
131257287814,308,0,0,12871607
131257287814,0,0,0,12877409
131257287814,3892,0,0,12866316
131257287814,3038,0,0,12868535
131257287814,0,0,0,12867170
131257293255,0,0,0,12868705
131257293255,0,0,0,12873143
131257293255,0,0,0,12872801
131257293255,0,0,0,12878945
131257293255,0,0,0,12872972
131257300242,0,0,0,12875191
131257300242,0,0,0,12876556
131257300242,478,0,0,12870412
131257300242,0,0,0,12875703
131257300242,820,0,0,12869729
131257307031,0,0,0,12870071
131257307031,1161,0,0,12866658
131257307031,0,0,0,12878092
131257307031,0,0,0,12873655
131257307031,0,0,0,12874508
131257313802,0,0,0,12871265
131257313802,308,0,0,12869217
131257313802,0,0,0,12867511
131257313802,0,0,0,12870924
131257313802,0,0,0,12873996
131257321027,1844,0,0,12878263
131257321027,0,0,0,12881164
131257321027,0,0,0,12879628
131257321027,2697,0,0,12864780
131257321027,0,0,0,12869388
131257327609,2185,0,0,12885772
131257327609,0,0,0,12867682
131257327609,308,0,0,12876044
131257327609,2185,0,0,12879457
131257327609,0,0,0,12879969
131257335570,0,0,0,12876044
131257335570,0,0,0,12871265
131257335570,0,0,0,12870924
131257335570,0,0,0,12870241
131257335570,0,0,0,12871607
131257342285,0,0,0,12878945
131257342285,478,0,0,12877751
131257342285,0,0,0,12876727
131257342285,0,0,0,12870583
131257342285,0,0,0,12875020
131257349394,3380,0,0,12879628
131257349394,0,0,0,12878092
131257349394,0,0,0,12875532
131257349394,0,0,0,12877751
131257349394,0,0,0,12872460
