timestamp,quat1,quat2
131437750849,"(0.71783447265625, -0.67401123046875, -0.174560546875, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
131437761703,"(0.71783447265625, -0.67401123046875, -0.174560546875, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
131437773608,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
131437788003,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
131437799389,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.0078125, 0.0, 0.0, 0.0)"
131437809487,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.00018310546875)"
131437819031,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.00018310546875)"
131437827470,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.00018310546875)"
131437835237,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.00018310546875)"
131437841670,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.000244140625)"
131437849708,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(1.0, -6.103515625e-05, 0.0, 0.000244140625)"
131437856909,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.75616455078125, 0.13885498046875, 0.6395263671875, 0.000244140625)"
131437863256,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.000244140625)"
131437870346,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.000244140625)"
131437878716,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.000244140625)"
131437886540,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.000244140625)"
131437891851,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.00030517578125)"
131437899616,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.756103515625, 0.13885498046875, 0.6395263671875, 0.00030517578125)"
131437907064,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.75616455078125, 0.1387939453125, 0.63946533203125, 0.00030517578125)"
131437912217,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.75616455078125, 0.1387939453125, 0.63946533203125, 0.00030517578125)"
131437919652,"(0.71783447265625, -0.67401123046875, -0.17449951171875, 0.00054931640625)","(0.75616455078125, 0.1387939453125, 0.63946533203125, 0.00030517578125)"
131437928343,"(0.71783447265625, -0.67401123046875, -0.174560546875, 0.00054931640625)","(0.7562255859375, 0.1387939453125, 0.639404296875, 0.00030517578125)"
131437934523,"(0.7177734375, -0.67401123046875, -0.17462158203125, 0.00054931640625)","(0.7562255859375, 0.1387939453125, 0.639404296875, 0.00030517578125)"
131437940860,"(0.7177734375, -0.67401123046875, -0.17462158203125, 0.00054931640625)","(0.7562255859375, 0.1387939453125, 0.639404296875, 0.00030517578125)"
131437949623,"(0.7177734375, -0.67401123046875, -0.1746826171875, 0.00054931640625)","(0.7562255859375, 0.1387939453125, 0.639404296875, 0.00030517578125)"
131437956479,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75628662109375, 0.13873291015625, 0.63934326171875, 0.0003662109375)"
131437962165,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.1387939453125, 0.6392822265625, 0.0003662109375)"
131437970428,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.1387939453125, 0.6392822265625, 0.0003662109375)"
131437978809,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.1387939453125, 0.6392822265625, 0.0003662109375)"
131437987036,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.13885498046875, 0.6392822265625, 0.00042724609375)"
131437993269,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.138916015625, 0.6392822265625, 0.00048828125)"
131438000658,"(0.7177734375, -0.67401123046875, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.138916015625, 0.6392822265625, 0.00048828125)"
131438007865,"(0.7177734375, -0.67401123046875, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.6392822265625, 0.00048828125)"
131438014920,"(0.7177734375, -0.67401123046875, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.6392822265625, 0.00048828125)"
131438020990,"(0.7177734375, -0.67401123046875, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.6392822265625, 0.00048828125)"
131438029739,"(0.7177734375, -0.67401123046875, -0.17474365234375, 0.00054931640625)","(0.75634765625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438039230,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438045529,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438052454,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438060328,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438069019,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76416015625, 0.138916015625, 0.63922119140625, 0.00048828125)"
131438078373,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.76422119140625, 0.138916015625, 0.63916015625, 0.00048828125)"
131438088358,"(0.7177734375, -0.6739501953125, -0.17474365234375, 0.00054931640625)","(0.7642822265625, 0.13885498046875, 0.63909912109375, 0.00048828125)"
131438095342,"(0.7177734375, -0.6739501953125, -0.1748046875, 0.00054931640625)","(0.76434326171875, 0.13885498046875, 0.6390380859375, 0.00048828125)"
131438102578,"(0.7177734375, -0.6739501953125, -0.1748046875, 0.00054931640625)","(0.75653076171875, 0.13885498046875, 0.6390380859375, 0.00048828125)"
131438110274,"(0.7177734375, -0.6739501953125, -0.1749267578125, 0.00054931640625)","(0.764404296875, 0.13873291015625, 0.63897705078125, 0.00048828125)"
131438119369,"(0.7177734375, -0.6739501953125, -0.17498779296875, 0.00048828125)","(0.75665283203125, 0.13873291015625, 0.638916015625, 0.00042724609375)"
131438128800,"(0.7177734375, -0.6739501953125, -0.17498779296875, 0.00042724609375)","(0.75677490234375, 0.138671875, 0.63885498046875, 0.0003662109375)"
131438138228,"(0.7177734375, -0.67388916015625, -0.17510986328125, 0.00042724609375)","(0.7646484375, 0.1385498046875, 0.6387939453125, 0.00030517578125)"
131438145393,"(0.7177734375, -0.67388916015625, -0.1751708984375, 0.00042724609375)","(0.76470947265625, 0.13836669921875, 0.63873291015625, 0.00018310546875)"
131438152039,"(0.7177734375, -0.67388916015625, -0.1751708984375, 0.00042724609375)","(0.76470947265625, 0.13836669921875, 0.63873291015625, 0.00018310546875)"
131438159072,"(0.71771240234375, -0.67388916015625, -0.17529296875, 0.0003662109375)","(0.7647705078125, 0.1383056640625, 0.638671875, 0.0001220703125)"
131438167910,"(0.71771240234375, -0.67388916015625, -0.17535400390625, 0.00042724609375)","(0.76483154296875, 0.13824462890625, 0.63861083984375, 0.0)"
131438173704,"(0.71771240234375, -0.67388916015625, -0.17535400390625, 0.00042724609375)","(0.76483154296875, 0.13818359375, 0.63861083984375, -0.0001220703125)"
131438181334,"(0.71771240234375, -0.67388916015625, -0.17535400390625, 0.00042724609375)","(0.76483154296875, 0.13818359375, 0.63861083984375, -0.0001220703125)"
131438190324,"(0.71771240234375, -0.67388916015625, -0.17535400390625, 0.00042724609375)","(0.76483154296875, 0.13818359375, 0.63861083984375, -0.000244140625)"
131438198226,"(0.71771240234375, -0.67388916015625, -0.17529296875, 0.00048828125)","(0.76483154296875, 0.13824462890625, 0.63861083984375, -0.00030517578125)"
131438205326,"(0.71771240234375, -0.6739501953125, -0.1751708984375, 0.00048828125)","(0.7647705078125, 0.1383056640625, 0.638671875, -0.00030517578125)"
131438213294,"(0.71771240234375, -0.6739501953125, -0.1751708984375, 0.00048828125)","(None, None, None, None)"
131438218874,"(0.71771240234375, -0.6739501953125, -0.1751708984375, 0.00048828125)","(0.76470947265625, 0.13836669921875, 0.63873291015625, -0.0003662109375)"
