timestamp,euler1,euler2
134611722655,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(0.0078125, 0.0, 0.0, 0.0)"
134611733574,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
134611744521,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
134611754953,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(0.0078125, 0.0, 0.0, 0.0)"
134611764642,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(0.0078125, 0.0, 0.0, 0.0)"
134611772987,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(1.0078125, -6.103515625e-05, 0.0, 0.0)"
134611782176,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(1.0078125, -6.103515625e-05, -6.103515625e-05, 0.0)"
134611792367,"(0.712158203125, -0.65069580078125, -0.263427734375, -0.000244140625)","(1.0, -6.103515625e-05, -6.103515625e-05, 0.0)"
134611801897,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(1.0078125, -0.0001220703125, -0.00018310546875, 0.0)"
134611812195,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.00030517578125)","(1.0078125, -0.0001220703125, -0.00018310546875, 0.0)"
134611822135,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.00030517578125)","(1.0078125, -0.0001220703125, -0.00018310546875, 0.0)"
134611831000,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.00030517578125)","(0.78924560546875, 0.09521484375, 0.60662841796875, 0.0001220703125)"
134611840821,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.78924560546875, 0.09527587890625, 0.606689453125, 0.0001220703125)"
134611851148,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.78924560546875, 0.09527587890625, 0.606689453125, 0.0001220703125)"
134611862069,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.78924560546875, 0.0953369140625, 0.606689453125, 0.00018310546875)"
134611872259,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.78924560546875, 0.0953369140625, 0.606689453125, 0.00018310546875)"
134611881377,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.7891845703125, 0.0953369140625, 0.60675048828125, 0.00018310546875)"
134611891558,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.78912353515625, 0.0953369140625, 0.6068115234375, 0.000244140625)"
134611900825,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.7890625, 0.0953369140625, 0.60687255859375, 0.000244140625)"
134611908988,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.79681396484375, 0.0953369140625, 0.60693359375, 0.000244140625)"
134611915364,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.7967529296875, 0.0953369140625, 0.6070556640625, 0.000244140625)"
134611923097,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.7967529296875, 0.0953369140625, 0.6070556640625, 0.000244140625)"
134611930500,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.79669189453125, 0.0953369140625, 0.60711669921875, 0.000244140625)"
134611939442,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.0953369140625, 0.607177734375, 0.000244140625)"
134611946734,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.0953369140625, 0.607177734375, 0.000244140625)"
134611953248,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.0953369140625, 0.607177734375, 0.000244140625)"
134611962086,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.0953369140625, 0.607177734375, 0.00030517578125)"
134611971799,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.09527587890625, 0.60723876953125, 0.0003662109375)"
134611979227,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.09521484375, 0.60723876953125, 0.00042724609375)"
134611984952,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.796630859375, 0.0950927734375, 0.607177734375, 0.00042724609375)"
134611992804,"(0.712158203125, -0.65069580078125, -0.26348876953125, -0.00030517578125)","(0.788818359375, 0.0950927734375, 0.607177734375, 0.00042724609375)"
134612002273,"(0.712158203125, -0.65069580078125, -0.2635498046875, -0.0003662109375)","(0.79669189453125, 0.09503173828125, 0.607177734375, 0.00048828125)"
134612012341,"(0.712158203125, -0.650634765625, -0.263671875, -0.0003662109375)","(0.7889404296875, 0.094970703125, 0.60711669921875, 0.00054931640625)"
134612022380,"(0.71209716796875, -0.650634765625, -0.2637939453125, -0.0003662109375)","(0.7967529296875, 0.09490966796875, 0.6070556640625, 0.0006103515625)"
134612030435,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.78900146484375, 0.09478759765625, 0.6070556640625, 0.00067138671875)"
134612039952,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.79681396484375, 0.0947265625, 0.6070556640625, 0.000732421875)"
134612048207,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.79681396484375, 0.0947265625, 0.6070556640625, 0.000732421875)"
134612054316,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.7967529296875, 0.0947265625, 0.60711669921875, 0.000732421875)"
134612063207,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.7889404296875, 0.0947265625, 0.60711669921875, 0.000732421875)"
134612072867,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.00030517578125)","(0.78887939453125, 0.0947265625, 0.60723876953125, 0.00079345703125)"
134612081953,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.000244140625)","(0.788818359375, 0.0947265625, 0.6072998046875, 0.00079345703125)"
134612091558,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.000244140625)","(0.78875732421875, 0.09466552734375, 0.60736083984375, 0.00079345703125)"
134612101661,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.000244140625)","(0.7965087890625, 0.09466552734375, 0.607421875, 0.00079345703125)"
134612112257,"(0.71209716796875, -0.650634765625, -0.26385498046875, -0.000244140625)","(0.79644775390625, 0.0947265625, 0.6075439453125, 0.0008544921875)"
134612120788,"(0.71209716796875, -0.65069580078125, -0.2637939453125, -0.00018310546875)","(0.79632568359375, 0.09478759765625, 0.607666015625, 0.0009765625)"
134612127751,"(0.71209716796875, -0.65069580078125, -0.263671875, -0.0001220703125)","(0.79620361328125, 0.09478759765625, 0.60784912109375, 0.0009765625)"
134612134253,"(0.71209716796875, -0.65069580078125, -0.263671875, -0.0001220703125)","(0.79608154296875, 0.09478759765625, 0.60797119140625, 0.0009765625)"
134612143249,"(0.71209716796875, -0.6507568359375, -0.26361083984375, -6.103515625e-05)","(0.78826904296875, 0.09478759765625, 0.60797119140625, 0.0009765625)"
134612153215,"(0.71209716796875, -0.6507568359375, -0.26348876953125, 0.0)","(0.7957763671875, 0.09490966796875, 0.60833740234375, 0.0009765625)"
134612163632,"(0.71209716796875, -0.65081787109375, -0.26336669921875, 0.0001220703125)","(0.7957763671875, 0.09490966796875, 0.60833740234375, 0.0009765625)"
134612172454,"(0.71209716796875, -0.65081787109375, -0.2633056640625, 0.0001220703125)","(0.79571533203125, 0.094970703125, 0.60845947265625, 0.00091552734375)"
134612178882,"(0.71209716796875, -0.65081787109375, -0.26324462890625, 0.00018310546875)","(0.79559326171875, 0.094970703125, 0.60858154296875, 0.00091552734375)"
134612186142,"(0.71209716796875, -0.65081787109375, -0.26324462890625, 0.00018310546875)","(0.79547119140625, 0.09503173828125, 0.6087646484375, 0.00091552734375)"
134612194118,"(0.712158203125, -0.65087890625, -0.26312255859375, 0.000244140625)","(0.79547119140625, 0.09503173828125, 0.6087646484375, 0.00091552734375)"
134612202639,"(0.712158203125, -0.65087890625, -0.2630615234375, 0.000244140625)","(0.78753662109375, 0.0950927734375, 0.60888671875, 0.00091552734375)"
134612213513,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.79522705078125, 0.09515380859375, 0.6090087890625, 0.0008544921875)"
134612222346,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.795166015625, 0.09515380859375, 0.609130859375, 0.00091552734375)"
134612229662,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.79510498046875, 0.09515380859375, 0.60919189453125, 0.00091552734375)"
134612235506,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.78729248046875, 0.09515380859375, 0.60919189453125, 0.00091552734375)"
134612243402,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.79510498046875, 0.09515380859375, 0.60919189453125, 0.00091552734375)"
134612252604,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.7950439453125, 0.09515380859375, 0.6092529296875, 0.00091552734375)"
134612262391,"(0.712158203125, -0.65093994140625, -0.26300048828125, 0.00030517578125)","(0.79498291015625, 0.09515380859375, 0.60931396484375, 0.00091552734375)"
134612269686,"(0.712158203125, -0.65093994140625, -0.262939453125, 0.0003662109375)","(0.794921875, 0.09515380859375, 0.60943603515625, 0.00091552734375)"
134612275670,"(0.712158203125, -0.65093994140625, -0.262939453125, 0.0003662109375)","(0.79486083984375, 0.09515380859375, 0.6094970703125, 0.00091552734375)"
134612283901,"(0.712158203125, -0.65093994140625, -0.26287841796875, 0.00042724609375)","(0.79486083984375, 0.09515380859375, 0.6094970703125, 0.00091552734375)"
134612292535,"(0.712158203125, -0.65093994140625, -0.26287841796875, 0.00042724609375)","(0.7869873046875, 0.09515380859375, 0.60955810546875, 0.0009765625)"
134612302503,"(0.712158203125, -0.65093994140625, -0.26287841796875, 0.00042724609375)","(0.7869873046875, 0.09515380859375, 0.609619140625, 0.0009765625)"
134612313006,"(0.712158203125, -0.65093994140625, -0.26287841796875, 0.00042724609375)","(0.79473876953125, 0.09515380859375, 0.60968017578125, 0.0009765625)"
134612322603,"(0.712158203125, -0.65093994140625, -0.2628173828125, 0.00042724609375)","(0.794677734375, 0.09515380859375, 0.6097412109375, 0.0009765625)"
134612331586,"(0.712158203125, -0.6510009765625, -0.2628173828125, 0.00054931640625)","(0.78680419921875, 0.09515380859375, 0.60980224609375, 0.0009765625)"
134612341644,"(0.712158203125, -0.6510009765625, -0.26275634765625, 0.0006103515625)","(0.7867431640625, 0.09515380859375, 0.60986328125, 0.0009765625)"
134612351718,"(0.712158203125, -0.65106201171875, -0.2626953125, 0.00067138671875)","(0.78668212890625, 0.09515380859375, 0.6099853515625, 0.0009765625)"
134612361944,"(0.712158203125, -0.65106201171875, -0.26263427734375, 0.000732421875)","(0.79443359375, 0.09515380859375, 0.61004638671875, 0.00103759765625)"
134612370694,"(0.712158203125, -0.65106201171875, -0.26263427734375, 0.000732421875)","(0.79437255859375, 0.09515380859375, 0.61016845703125, 0.00103759765625)"
134612377568,"(0.712158203125, -0.65106201171875, -0.26263427734375, 0.000732421875)","(0.7943115234375, 0.09515380859375, 0.6102294921875, 0.00103759765625)"
134612385774,"(0.712158203125, -0.65106201171875, -0.26263427734375, 0.000732421875)","(0.79425048828125, 0.09515380859375, 0.61029052734375, 0.00103759765625)"
134612394568,"(0.712158203125, -0.65106201171875, -0.26263427734375, 0.000732421875)","(0.78643798828125, 0.09515380859375, 0.61029052734375, 0.00103759765625)"
134612403976,"(0.712158203125, -0.65106201171875, -0.2625732421875, 0.000732421875)","(0.794189453125, 0.09515380859375, 0.6103515625, 0.00103759765625)"
134612414094,"(0.712158203125, -0.651123046875, -0.26251220703125, 0.00079345703125)","(0.78631591796875, 0.09515380859375, 0.61041259765625, 0.0010986328125)"
134612423766,"(0.712158203125, -0.651123046875, -0.26251220703125, 0.0008544921875)","(0.7862548828125, 0.09515380859375, 0.61053466796875, 0.0010986328125)"
134612433140,"(0.712158203125, -0.651123046875, -0.262451171875, 0.00091552734375)","(0.78619384765625, 0.09515380859375, 0.610595703125, 0.0010986328125)"
134612443792,"(0.712158203125, -0.65118408203125, -0.26239013671875, 0.0009765625)","(0.7861328125, 0.09515380859375, 0.61065673828125, 0.0010986328125)"
134612454182,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7861328125, 0.09521484375, 0.61065673828125, 0.0010986328125)"
134612464647,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7861328125, 0.09521484375, 0.61065673828125, 0.0010986328125)"
134612473830,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7861328125, 0.09521484375, 0.61065673828125, 0.0010986328125)"
134612483443,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7861328125, 0.09521484375, 0.61065673828125, 0.0010986328125)"
134612493628,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.78607177734375, 0.09521484375, 0.6107177734375, 0.0010986328125)"
134612503438,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.79388427734375, 0.09521484375, 0.61077880859375, 0.0010986328125)"
134612513446,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.79388427734375, 0.09521484375, 0.61077880859375, 0.0010986328125)"
134612521555,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7938232421875, 0.09521484375, 0.61083984375, 0.00115966796875)"
134612527593,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7938232421875, 0.09521484375, 0.61083984375, 0.00115966796875)"
134612535089,"(0.712158203125, -0.65118408203125, -0.2623291015625, 0.00103759765625)","(0.7938232421875, 0.09521484375, 0.61083984375, 0.00115966796875)"
134612544245,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.00103759765625)","(0.79376220703125, 0.09521484375, 0.61090087890625, 0.00115966796875)"
134612553808,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.00103759765625)","(0.79376220703125, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612562827,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.79376220703125, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612571698,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.79376220703125, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612578563,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.79376220703125, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612589200,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.793701171875, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612595893,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.785888671875, 0.09521484375, 0.6109619140625, 0.00115966796875)"
134612604857,"(0.712158203125, -0.65118408203125, -0.26226806640625, 0.0010986328125)","(0.785888671875, 0.09521484375, 0.6109619140625, 0.00115966796875)"
