timestamp,euler1,euler2
142251366207,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
142251379292,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
142251395401,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
142251407046,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.0078125, 0.0, 0.0, 0.0)"
142251416278,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0, 0.0, 0.0, 0.0)"
142251424851,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0078125, 0.0, 0.0, 0.0)"
142251433507,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0078125, 0.0, 0.0, 0.0)"
142251442716,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0078125, 0.0, 0.0, 0.0)"
142251454202,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0, 0.0, 0.0, 0.0)"
142251460826,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(1.0, 0.0, 0.0, 0.0)"
142251466386,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251474815,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251482159,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251489335,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251497993,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251506668,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251514196,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251520299,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251528061,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251536026,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251543027,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251549803,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251557374,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251566004,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251573560,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251579448,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251587777,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251596272,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251601974,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251609143,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251616861,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251624134,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251630479,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251638986,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251647318,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251655048,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251663422,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251670527,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251678445,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251687523,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251696321,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251703167,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251710282,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251717847,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251727873,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251735853,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251743999,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251750911,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251759498,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251766991,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.0338134765625, 0.0277099609375, 0.0)"
142251775045,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251782262,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251790129,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251798557,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251807585,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251816224,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251821681,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251829241,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251838281,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251845779,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251850822,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251859031,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251865777,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251871026,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251878632,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251885520,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251891219,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251899000,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251904764,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251911216,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251917895,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251927742,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
142251934794,"(0.7171630859375, -0.0394287109375, 0.69580078125, 0.000244140625)","(0.9990234375, -0.03375244140625, 0.0277099609375, 0.0)"
