timestamp,quat1,quat2
101949356697,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
101949368801,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
101949381861,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
101949393921,"(0.73150634765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
101949404866,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.0, 0.0, 0.0, 0.0)"
101949415693,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0078125, 0.0, 0.0, 0.0)"
101949426742,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0, 0.0, 0.0, 0.0)"
101949438179,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0, 0.0, 0.0, 0.0)"
101949447443,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0, 0.0, 0.0, 0.0)"
101949455621,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0, 0.0, 0.0, 0.0)"
101949462714,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(1.0, 0.0, 0.0, 0.0)"
101949469513,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949477595,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949485704,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949493766,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949499674,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949507301,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949514878,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949520337,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(None, None, None, None)"
101949525824,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949533276,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949538800,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949547416,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949556602,"(0.73150634765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949565000,"(0.73150634765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949573225,"(0.73150634765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949581199,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949589950,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949599743,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949608817,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949617579,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949627430,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949636973,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
101949647213,"(0.72369384765625, -0.03228759765625, 0.68939208984375, 0.0)","(0.9970703125, -0.071044921875, -0.02911376953125, 0.0)"
